cf,cm,mode,rload,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
390p,470p,10,100k,2.611k,2.2n,576670,98.7706,70.4452
390p,470p,10,100k,2.611k,2.7n,563999,98.3075,70.4452
390p,470p,10,100k,2.611k,3.3n,547932,98.0313,70.4452
390p,470p,10,100k,2.611k,4.7n,512973,98.0405,70.4452
390p,470p,10,10k,1m,1f,582964,105.046,70.2775
390p,470p,10,10k,1m,470p,590912,103.407,70.2775
390p,470p,10,10k,1m,1n,593317,101.736,70.2776
390p,470p,10,10k,1m,1.5n,589113,100.483,70.2776
390p,470p,10,10k,1m,2.2n,575663,99.3177,70.2776
390p,470p,10,10k,1m,2.7n,563200,98.8406,70.2777
390p,470p,10,10k,1m,3.3n,547356,98.5443,70.2777
390p,470p,10,10k,1m,4.7n,512728,98.5101,70.2778
390p,470p,10,10k,2.611k,1f,582791,104.574,70.2775
390p,470p,10,10k,2.611k,470p,590726,102.93,70.2775
390p,470p,10,10k,2.611k,1n,593129,101.258,70.2776
390p,470p,10,10k,2.611k,1.5n,588931,100.009,70.2776
390p,470p,10,10k,2.611k,2.2n,575501,98.8535,70.2776
390p,470p,10,10k,2.611k,2.7n,563053,98.386,70.2777
390p,470p,10,10k,2.611k,3.3n,547227,98.1016,70.2777
390p,470p,10,10k,2.611k,4.7n,512628,98.0941,70.2778
470p,470p,0,100k,1m,1f,909920,66.2147,81.4173
470p,470p,0,100k,1m,470p,925470,63.444,81.4173
470p,470p,0,100k,1m,1n,928078,60.546,81.4173
470p,470p,0,100k,1m,1.5n,917478,58.5078,81.4173
470p,470p,0,100k,1m,2.2n,892241,56.8818,81.4173
470p,470p,0,100k,1m,2.7n,872866,56.3593,81.4173
470p,470p,0,100k,1m,3.3n,851246,56.1609,81.4173
470p,470p,0,100k,1m,4.7n,811487,56.564,81.4173
470p,470p,0,100k,2.611k,1f,909595,65.4772,81.4173
470p,470p,0,100k,2.611k,470p,925114,62.6957,81.4173
470p,470p,0,100k,2.611k,1n,927722,59.7969,81.4173
470p,470p,0,100k,2.611k,1.5n,917141,57.7677,81.4173
470p,470p,0,100k,2.611k,2.2n,891947,56.1613,81.4173
470p,470p,0,100k,2.611k,2.7n,872599,55.6536,81.4173
470p,470p,0,100k,2.611k,3.3n,851007,55.4718,81.4173
470p,470p,0,100k,2.611k,4.7n,811286,55.9056,81.4173
470p,470p,0,10k,1m,1f,908708,66.2031,81.2287
470p,470p,0,10k,1m,470p,924026,63.4653,81.2287
470p,470p,0,10k,1m,1n,926687,60.5983,81.2288
470p,470p,0,10k,1m,1.5n,916338,58.5743,81.2288
470p,470p,0,10k,1m,2.2n,891518,56.9477,81.2288
470p,470p,0,10k,1m,2.7n,872375,56.4188,81.2289
470p,470p,0,10k,1m,3.3n,850955,56.2116,81.2289
470p,470p,0,10k,1m,4.7n,811427,56.5975,81.229
470p,470p,0,10k,2.611k,1f,908383,65.4666,81.2287
470p,470p,0,10k,2.611k,470p,923671,62.7182,81.2287
470p,470p,0,10k,2.611k,1n,926332,59.8504,81.2288
470p,470p,0,10k,2.611k,1.5n,916003,57.8351,81.2288
470p,470p,0,10k,2.611k,2.2n,891225,56.2278,81.2288
470p,470p,0,10k,2.611k,2.7n,872108,55.7135,81.2289
470p,470p,0,10k,2.611k,3.3n,850718,55.5226,81.2289
470p,470p,0,10k,2.611k,4.7n,811226,55.9391,81.229
470p,470p,10,100k,1m,1f,692090,99.0932,70.4452
470p,470p,10,100k,1m,470p,703512,96.912,70.4452
470p,470p,10,100k,1m,1n,706353,94.8144,70.4452
470p,470p,10,100k,1m,1.5n,699571,93.4162,70.4452
470p,470p,10,100k,1m,2.2n,680155,92.4128,70.4452
470p,470p,10,100k,1m,2.7n,663337,92.2021,70.4452
