mode,c124,c137,riso,rsrc,rload,ccable,pm_deg
0,4.465E-10,3.135E-10,47.47,2.611k,100k,2n,62.1411
0,4.465E-10,3.135E-10,47.47,2.611k,100k,2.3n,61.8306
0,4.465E-10,3.135E-10,47.47,2.611k,100k,2.5n,61.6988
0,4.465E-10,3.135E-10,47.47,2.611k,100k,2.7n,61.6128
0,4.465E-10,3.135E-10,47.47,2.611k,100k,2.9n,61.5674
0,4.465E-10,3.135E-10,47.47,2.611k,100k,3.1n,61.5557
0,4.465E-10,3.135E-10,47.47,2.611k,100k,3.3n,61.5693
0,4.465E-10,3.135E-10,47.47,2.611k,100k,3.5n,61.606
0,4.465E-10,3.135E-10,47.47,2.611k,100k,3.8n,61.6943
0,4.465E-10,3.135E-10,47.47,2.611k,100k,4.2n,61.8555
0,4.465E-10,3.135E-10,47.47,2.611k,100k,4.7n,62.1034
0,4.465E-10,3.135E-10,47.47,2.611k,10k,2n,62.1956
0,4.465E-10,3.135E-10,47.47,2.611k,10k,2.3n,61.8823
0,4.465E-10,3.135E-10,47.47,2.611k,10k,2.5n,61.7483
0,4.465E-10,3.135E-10,47.47,2.611k,10k,2.7n,61.6599
0,4.465E-10,3.135E-10,47.47,2.611k,10k,2.9n,61.612
0,4.465E-10,3.135E-10,47.47,2.611k,10k,3.1n,61.5979
0,4.465E-10,3.135E-10,47.47,2.611k,10k,3.3n,61.6091
0,4.465E-10,3.135E-10,47.47,2.611k,10k,3.5n,61.6435
0,4.465E-10,3.135E-10,47.47,2.611k,10k,3.8n,61.7286
0,4.465E-10,3.135E-10,47.47,2.611k,10k,4.2n,61.8858
0,4.465E-10,3.135E-10,47.47,2.611k,10k,4.7n,62.1293
0,4.465E-10,3.465E-10,46.53,2.5k,100k,2n,62.1124
0,4.465E-10,3.465E-10,46.53,2.5k,100k,2.3n,61.796
0,4.465E-10,3.465E-10,46.53,2.5k,100k,2.5n,61.6589
0,4.465E-10,3.465E-10,46.53,2.5k,100k,2.7n,61.5717
