mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,2.571k,2,3.3n,662654,55,81.1551,10k
0db,2.571k,2,4.7n,674647,49.0561,81.1551,10k
0db,2.611k,1,1f,621135,67.6239,81.1552,10k
0db,2.611k,1,47p,621750,67.4652,81.1552,10k
0db,2.611k,1,100p,622410,67.2855,81.1552,10k
0db,2.611k,1,220p,623766,66.8766,81.1552,10k
0db,2.611k,1,470p,625935,66.0233,81.1552,10k
0db,2.611k,1,1n,627404,64.2823,81.1552,10k
0db,2.611k,1,1.5n,625040,62.8382,81.1553,10k
0db,2.611k,1,2.2n,617069,61.2794,81.1553,10k
0db,2.611k,1,2.7n,609551,60.4966,81.1553,10k
0db,2.611k,1,3.3n,599728,59.8696,81.1554,10k
0db,2.611k,1,4.7n,577850,59.3056,81.1555,10k
0db,2.611k,2,1f,621135,67.6239,81.1552,10k
0db,2.611k,2,47p,621770,67.4637,81.1552,10k
0db,2.611k,2,100p,622486,67.2823,81.1552,10k
0db,2.611k,2,220p,624103,66.869,81.1552,10k
0db,2.611k,2,470p,627452,65.9957,81.1552,10k
0db,2.611k,2,1n,634543,64.0873,81.1552,10k
0db,2.611k,2,1.5n,641134,62.2173,81.1551,10k
0db,2.611k,2,2.2n,650032,59.4917,81.1551,10k
0db,2.611k,2,2.7n,656036,57.4747,81.1551,10k
0db,2.611k,2,3.3n,662650,54.9919,81.1551,10k
0db,2.611k,2,4.7n,674642,49.0479,81.1551,10k
3db,1m,1,1f,579773,78.9423,77.8571,100k
3db,1m,1,47p,580364,78.7891,77.8571,100k
3db,1m,1,100p,580998,78.6161,77.8571,100k
3db,1m,1,220p,582301,78.2242,77.8571,100k
3db,1m,1,470p,584390,77.4134,77.8571,100k
3db,1m,1,1n,585844,75.7846,77.8571,100k
3db,1m,1,1.5n,583616,74.456,77.8571,100k
3db,1m,1,2.2n,575912,73.047,77.8571,100k
3db,1m,1,2.7n,568502,72.3546,77.8571,100k
3db,1m,1,3.3n,558692,71.8167,77.8571,100k
3db,1m,1,4.7n,536286,71.3986,77.8571,100k
3db,1m,2,1f,579773,78.9423,77.8571,100k
3db,1m,2,47p,580378,78.7888,77.8571,100k
3db,1m,2,100p,581059,78.6151,77.8571,100k
3db,1m,2,220p,582599,78.2195,77.8571,100k
3db,1m,2,470p,585790,77.3849,77.8571,100k
3db,1m,2,1n,592543,75.566,77.8571,100k
3db,1m,2,1.5n,598811,73.7909,77.8571,100k
3db,1m,2,2.2n,607298,71.2147,77.8571,100k
3db,1m,2,2.7n,613031,69.3173,77.8571,100k
3db,1m,2,3.3n,619414,66.989,77.857,100k
3db,1m,2,4.7n,631208,61.4489,77.857,100k
3db,1k,1,1f,579752,78.7606,77.8571,100k
3db,1k,1,47p,580343,78.6073,77.8571,100k
3db,1k,1,100p,580977,78.4341,77.8571,100k
3db,1k,1,220p,582280,78.0418,77.8571,100k
3db,1k,1,470p,584369,77.2305,77.8571,100k
3db,1k,1,1n,585822,75.6013,77.8571,100k
3db,1k,1,1.5n,583595,74.2734,77.8571,100k
3db,1k,1,2.2n,575892,72.8668,77.8571,100k
3db,1k,1,2.7n,568484,72.1766,77.8571,100k
3db,1k,1,3.3n,558674,71.6418,77.8571,100k
3db,1k,1,4.7n,536271,71.2306,77.8571,100k
3db,1k,2,1f,579752,78.7606,77.8571,100k
3db,1k,2,47p,580356,78.607,77.8571,100k
3db,1k,2,100p,581038,78.4331,77.8571,100k
3db,1k,2,220p,582577,78.037,77.8571,100k
3db,1k,2,470p,585768,77.2015,77.8571,100k
3db,1k,2,1n,592519,75.3805,77.8571,100k
3db,1k,2,1.5n,598787,73.6036,77.8571,100k
3db,1k,2,2.2n,607272,71.025,77.8571,100k
3db,1k,2,2.7n,613004,69.1259,77.8571,100k
3db,1k,2,3.3n,619385,66.7957,77.857,100k
3db,1k,2,4.7n,631177,61.2524,77.857,100k
3db,2.5k,1,1f,579679,78.4906,77.8571,100k
3db,2.5k,1,47p,580270,78.337,77.8571,100k
3db,2.5k,1,100p,580903,78.1635,77.8571,100k
3db,2.5k,1,220p,582206,77.7707,77.8571,100k
3db,2.5k,1,470p,584294,76.9585,77.8571,100k
3db,2.5k,1,1n,585746,75.3289,77.8571,100k
3db,2.5k,1,1.5n,583521,74.0022,77.8571,100k
3db,2.5k,1,2.2n,575822,72.5992,77.8571,100k
3db,2.5k,1,2.7n,568418,71.9124,77.8571,100k
3db,2.5k,1,3.3n,558614,71.3819,77.8571,100k
3db,2.5k,1,4.7n,536220,70.9807,77.8571,100k
3db,2.5k,2,1f,579679,78.4906,77.8571,100k
3db,2.5k,2,47p,580284,78.3367,77.8571,100k
3db,2.5k,2,100p,580964,78.1625,77.8571,100k
3db,2.5k,2,220p,582503,77.7658,77.8571,100k
3db,2.5k,2,470p,585692,76.9289,77.8571,100k
3db,2.5k,2,1n,592438,75.1052,77.8571,100k
3db,2.5k,2,1.5n,598702,73.3257,77.8571,100k
3db,2.5k,2,2.2n,607181,70.7438,77.8571,100k
3db,2.5k,2,2.7n,612910,68.8425,77.8571,100k
3db,2.5k,2,3.3n,619284,66.5101,77.857,100k
3db,2.5k,2,4.7n,631067,60.9629,77.857,100k
3db,2.571k,1,1f,579674,78.4779,77.8571,100k
3db,2.571k,1,47p,580265,78.3243,77.8571,100k
3db,2.571k,1,100p,580899,78.1508,77.8571,100k
3db,2.571k,1,220p,582201,77.7579,77.8571,100k
3db,2.571k,1,470p,584289,76.9457,77.8571,100k
3db,2.571k,1,1n,585742,75.3161,77.8571,100k
3db,2.571k,1,1.5n,583516,73.9894,77.8571,100k
3db,2.571k,1,2.2n,575818,72.5866,77.8571,100k
3db,2.571k,1,2.7n,568414,71.8999,77.8571,100k
3db,2.571k,1,3.3n,558610,71.3696,77.8571,100k
3db,2.571k,1,4.7n,536217,70.9689,77.8571,100k
3db,2.571k,2,1f,579674,78.4779,77.8571,100k
3db,2.571k,2,47p,580279,78.3239,77.8571,100k
3db,2.571k,2,100p,580960,78.1497,77.8571,100k
3db,2.571k,2,220p,582499,77.753,77.8571,100k
3db,2.571k,2,470p,585688,76.9161,77.8571,100k
3db,2.571k,2,1n,592433,75.0923,77.8571,100k
3db,2.571k,2,1.5n,598697,73.3127,77.8571,100k
3db,2.571k,2,2.2n,607175,70.7306,77.8571,100k
3db,2.571k,2,2.7n,612904,68.8292,77.8571,100k
3db,2.571k,2,3.3n,619278,66.4967,77.857,100k
3db,2.571k,2,4.7n,631060,60.9494,77.857,100k
3db,2.611k,1,1f,579672,78.4707,77.8571,100k
3db,2.611k,1,47p,580262,78.3171,77.8571,100k
3db,2.611k,1,100p,580896,78.1436,77.8571,100k
3db,2.611k,1,220p,582198,77.7507,77.8571,100k
3db,2.611k,1,470p,584286,76.9385,77.8571,100k
3db,2.611k,1,1n,585739,75.3088,77.8571,100k
3db,2.611k,1,1.5n,583513,73.9822,77.8571,100k
3db,2.611k,1,2.2n,575815,72.5795,77.8571,100k
3db,2.611k,1,2.7n,568412,71.8929,77.8571,100k
3db,2.611k,1,3.3n,558608,71.3628,77.8571,100k
3db,2.611k,1,4.7n,536215,70.9623,77.8571,100k
3db,2.611k,2,1f,579672,78.4707,77.8571,100k
3db,2.611k,2,47p,580276,78.3168,77.8571,100k
3db,2.611k,2,100p,580957,78.1426,77.8571,100k
3db,2.611k,2,220p,582496,77.7458,77.8571,100k
3db,2.611k,2,470p,585685,76.9089,77.8571,100k
3db,2.611k,2,1n,592430,75.085,77.8571,100k
3db,2.611k,2,1.5n,598694,73.3053,77.8571,100k
3db,2.611k,2,2.2n,607172,70.7232,77.8571,100k
3db,2.611k,2,2.7n,612901,68.8217,77.8571,100k
3db,2.611k,2,3.3n,619274,66.4892,77.857,100k
3db,2.611k,2,4.7n,631056,60.9418,77.857,100k
3db,1m,1,1f,578933,78.948,77.6773,10k
3db,1m,1,47p,579516,78.7965,77.6773,10k
3db,1m,1,100p,580142,78.6255,77.6773,10k
3db,1m,1,220p,581428,78.238,77.6773,10k
3db,1m,1,470p,583492,77.4365,77.6773,10k
3db,1m,1,1n,584947,75.8254,77.6774,10k
3db,1m,1,1.5n,582782,74.5091,77.6774,10k
3db,1m,1,2.2n,575229,73.1084,77.6774,10k
3db,1m,1,2.7n,567942,72.4166,77.6774,10k
3db,1m,1,3.3n,558267,71.8761,77.6775,10k
3db,1m,1,4.7n,536085,71.4471,77.6776,10k
3db,1m,2,1f,578933,78.948,77.6773,10k
3db,1m,2,47p,579535,78.7949,77.6773,10k
3db,1m,2,100p,580213,78.6217,77.6773,10k
3db,1m,2,220p,581744,78.2273,77.6773,10k
3db,1m,2,470p,584917,77.3952,77.6773,10k
3db,1m,2,1n,591610,75.5829,77.6773,10k
3db,1m,2,1.5n,597840,73.8137,77.6773,10k
3db,1m,2,2.2n,606249,71.2482,77.6772,10k
3db,1m,2,2.7n,611945,69.358,77.6772,10k
3db,1m,2,3.3n,618253,67.041,77.6772,10k
3db,1m,2,4.7n,629966,61.5247,77.6772,10k
3db,1k,1,1f,578912,78.7666,77.6773,10k
3db,1k,1,47p,579495,78.615,77.6773,10k
3db,1k,1,100p,580120,78.4438,77.6773,10k
3db,1k,1,220p,581406,78.0559,77.6773,10k
3db,1k,1,470p,583471,77.2538,77.6773,10k
3db,1k,1,1n,584925,75.6423,77.6774,10k
3db,1k,1,1.5n,582760,74.3268,77.6774,10k
3db,1k,1,2.2n,575209,72.9284,77.6774,10k
3db,1k,1,2.7n,567923,72.2388,77.6774,10k
3db,1k,1,3.3n,558250,71.7014,77.6775,10k
3db,1k,1,4.7n,536070,71.2791,77.6776,10k
3db,1k,2,1f,578912,78.7666,77.6773,10k
3db,1k,2,47p,579514,78.6134,77.6773,10k
3db,1k,2,100p,580191,78.44,77.6773,10k
3db,1k,2,220p,581723,78.0451,77.6773,10k
3db,1k,2,470p,584896,77.212,77.6773,10k
3db,1k,2,1n,591586,75.3977,77.6773,10k
3db,1k,2,1.5n,597816,73.6267,77.6773,10k
3db,1k,2,2.2n,606222,71.0587,77.6772,10k
3db,1k,2,2.7n,611918,69.1669,77.6772,10k
3db,1k,2,3.3n,618225,66.8481,77.6772,10k
3db,1k,2,4.7n,629936,61.3285,77.6772,10k
3db,2.5k,1,1f,578840,78.497,77.6773,10k
3db,2.5k,1,47p,579422,78.3451,77.6773,10k
3db,2.5k,1,100p,580047,78.1736,77.6773,10k
3db,2.5k,1,220p,581333,77.7852,77.6773,10k
3db,2.5k,1,470p,583396,76.9823,77.6773,10k
3db,2.5k,1,1n,584850,75.3704,77.6774,10k
3db,2.5k,1,1.5n,582687,74.0559,77.6774,10k
3db,2.5k,1,2.2n,575141,72.661,77.6774,10k
3db,2.5k,1,2.7n,567858,71.9748,77.6774,10k
3db,2.5k,1,3.3n,558190,71.4416,77.6775,10k
3db,2.5k,1,4.7n,536019,71.0293,77.6776,10k
3db,2.5k,2,1f,578840,78.497,77.6773,10k
