variante,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
r1.40k,1m,3.3n,837419,55.2698,82.1531
r1.40k,1m,4.7n,797105,55.5287,82.1531
r1.40k,2.611k,1f,889057,65.5964,82.1531
r1.40k,2.611k,470p,906366,62.722,82.1531
r1.40k,2.611k,1n,911252,59.6239,82.1531
r1.40k,2.611k,1.5n,902290,57.3756,82.1531
r1.40k,2.611k,2.2n,878066,55.5187,82.1531
r1.40k,2.611k,2.7n,858856,54.8834,82.1531
r1.40k,2.611k,3.3n,837191,54.5913,82.1531
r1.40k,2.611k,4.7n,796913,54.8815,82.1531
r1.45k,1m,1f,889349,66.3056,82.0235
r1.45k,1m,470p,906059,63.4872,82.0235
r1.45k,1m,1n,910459,60.4529,82.0235
r1.45k,1m,1.5n,901358,58.2464,82.0235
r1.45k,1m,2.2n,877288,56.4109,82.0235
r1.45k,1m,2.7n,858267,55.7747,82.0235
r1.45k,1m,3.3n,836820,55.4739,82.0235
r1.45k,1m,4.7n,796942,55.7357,82.0235
r1.45k,2.611k,1f,889044,65.5837,82.0235
r1.45k,2.611k,470p,905724,62.7535,82.0235
r1.45k,2.611k,1n,910122,59.7171,82.0235
r1.45k,2.611k,1.5n,901039,57.5185,82.0235
r1.45k,2.611k,2.2n,877010,55.7017,82.0235
r1.45k,2.611k,2.7n,858015,55.0802,82.0235
r1.45k,2.611k,3.3n,836593,54.7958,82.0235
r1.45k,2.611k,4.7n,796750,55.0885,82.0235
r1.50k,1m,1f,889338,66.2927,81.8951
r1.50k,1m,470p,905472,63.5139,81.8951
r1.50k,1m,1n,909426,60.5352,81.8951
r1.50k,1m,1.5n,900208,58.3737,81.8951
r1.50k,1m,2.2n,876310,56.5752,81.8951
r1.50k,1m,2.7n,857482,55.952,81.8951
r1.50k,1m,3.3n,836255,55.6588,81.8951
r1.50k,1m,4.7n,796774,55.9237,81.8951
r1.50k,2.611k,1f,889033,65.5709,81.8951
r1.50k,2.611k,470p,905138,62.7806,81.8951
r1.50k,2.611k,1n,909091,59.8001,81.8951
r1.50k,2.611k,1.5n,899890,57.6466,81.8951
r1.50k,2.611k,2.2n,876032,55.8668,81.8951
r1.50k,2.611k,2.7n,857230,55.258,81.8951
r1.50k,2.611k,3.3n,836027,54.9811,81.8951
r1.50k,2.611k,4.7n,796581,55.2767,81.8951
r1.69k,1m,1f,889301,66.2427,81.4173
r1.69k,1m,470p,903643,63.585,81.4173
r1.69k,1m,1n,906199,60.7763,81.4173
r1.69k,1m,1.5n,896588,58.7536,81.4173
r1.69k,1m,2.2n,873176,57.0717,81.4173
r1.69k,1m,2.7n,854926,56.4907,81.4173
r1.69k,1m,3.3n,834369,56.2233,81.4173
r1.69k,1m,4.7n,796118,56.5021,81.4173
r1.69k,2.611k,1f,888996,65.5209,81.4173
r1.69k,2.611k,470p,903311,62.8532,81.4173
r1.69k,2.611k,1n,905868,60.0437,81.4173
r1.69k,2.611k,1.5n,896274,58.0291,81.4173
r1.69k,2.611k,2.2n,872900,56.3655,81.4173
r1.69k,2.611k,2.7n,854676,55.7985,81.4173
r1.69k,2.611k,3.3n,834141,55.547,81.4173
r1.69k,2.611k,4.7n,795924,55.8555,81.4173
