col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
8.22518633e-05,0.141516319,8.22518633e-05,0.271235767,8.22518633e-05,0.187805704,8.22518633e-05,0.239514771,8.22518633e-05,0.0498147033,8.22518633e-05,5.8621108,8.22518633e-05,1.86877515,8.22518633e-05,0.0,8.22518633e-05,0.1880911
8.72518633e-05,0.136954222,8.72518633e-05,0.274039118,8.72518633e-05,0.186357982,8.72518633e-05,0.240930692,8.72518633e-05,0.0476882667,8.72518633e-05,6.18791459,8.72518633e-05,1.97145055,8.72518633e-05,0.0,8.72518633e-05,0.186642185
9.22518633e-05,0.132428824,9.22518633e-05,0.276742935,9.22518633e-05,0.184936509,9.22518633e-05,0.242318586,9.22518633e-05,0.045599629,9.22518633e-05,6.50760424,9.22518633e-05,2.07216684,9.22518633e-05,0.0,9.22518633e-05,0.18521965
9.72518633e-05,0.127947418,9.72518633e-05,0.279347344,9.72518633e-05,0.183542963,9.72518633e-05,0.243677441,9.72518633e-05,0.0435510271,9.72518633e-05,6.82086435,9.72518633e-05,2.17082585,9.72518633e-05,0.0,9.72518633e-05,0.183824862
0.000102251863,0.123517364,0.000102251863,0.281852554,0.000102251863,0.182178579,0.000102251863,0.245005678,0.000102251863,0.0415445983,0.000102251863,7.12738603,0.000102251863,2.26732913,0.000102251863,0.0,0.000102251863,0.182459361
0.000107251863,0.119146017,0.000107251863,0.28425904,0.000107251863,0.180844978,0.000107251863,0.246302344,0.000107251863,0.0395824973,0.000107251863,7.42686687,0.000107251863,2.36158245,0.000107251863,0.0,0.000107251863,0.181124469
0.000112251863,0.114840749,0.000112251863,0.286567321,0.000112251863,0.179543342,0.000112251863,0.247565929,0.000112251863,0.0376667781,0.000112251863,7.71901162,0.000112251863,2.45349191,0.000112251863,0.0,0.000112251863,0.179821662
0.000117251863,0.110608902,0.000117251863,0.288778173,0.000117251863,0.178275229,0.000117251863,0.248795544,0.000117251863,0.0357995028,0.000117251863,8.00353202,0.000117251863,2.54296764,0.000117251863,0.0,0.000117251863,0.17855221
0.000122251863,0.106457786,0.000122251863,0.290892375,0.000122251863,0.177041763,0.000122251863,0.249989746,0.000122251863,0.0339826317,0.000122251863,8.28014764,0.000122251863,2.6299206,0.000122251863,0.0,0.000122251863,0.177317518
0.000127251863,0.102394648,0.000127251863,0.292910955,0.000127251863,0.175844428,0.000127251863,0.251147715,0.000127251863,0.0322181239,0.000127251863,8.54858551,0.000127251863,2.71426567,0.000127251863,0.0,0.000127251863,0.176118798
0.000132251863,0.0984266618,0.000132251863,0.294834901,0.000132251863,0.174684287,0.000132251863,0.252268083,0.000132251863,0.0305078363,0.000132251863,8.80858111,0.000132251863,2.79591901,0.000132251863,0.0,0.000132251863,0.174957379
0.000137251863,0.0945608993,0.000137251863,0.296665443,0.000137251863,0.173562745,0.000137251863,0.253350099,0.000137251863,0.0288536152,0.000137251863,9.05987786,0.000137251863,2.87480062,0.000137251863,0.0,0.000137251863,0.173834406
0.000142251863,0.0908043181,0.000142251863,0.298403723,0.000142251863,0.172480794,0.000142251863,0.254392473,0.000142251863,0.0272572045,0.000142251863,9.30222816,0.000142251863,2.95083213,0.000142251863,0.0,0.000142251863,0.172751126
0.000147251863,0.0871637397,0.000147251863,0.30005112,0.000147251863,0.171439757,0.000147251863,0.255394526,0.000147251863,0.0257203283,0.000147251863,9.53539283,0.000147251863,3.02393902,0.000147251863,0.0,0.000147251863,0.171708613
0.000152251863,0.0836458282,0.000152251863,0.301608881,0.000152251863,0.17044055,0.000152251863,0.25635505,0.000152251863,0.0242446087,0.000152251863,9.75914219,0.000152251863,3.09404868,0.000152251863,0.0,0.000152251863,0.170708026
0.000157251863,0.0802570781,0.000157251863,0.303078479,0.000157251863,0.169484405,0.000157251863,0.257273442,0.000157251863,0.0228316392,0.000157251863,9.97325539,0.000157251863,3.16109237,0.000157251863,0.0,0.000157251863,0.169750362
0.000162251863,0.0770037857,0.000162251863,0.304461214,0.000162251863,0.168572157,0.000162251863,0.258148575,0.000162251863,0.0214829112,0.000162251863,10.1775216,0.000162251863,3.22500352,0.000162251863,0.0,0.000162251863,0.168836687
0.000167251863,0.073892045,0.000167251863,0.305758604,0.000167251863,0.167704945,0.000167251863,0.258979926,0.000167251863,0.0201998796,0.000167251863,10.3717391,0.000167251863,3.28571947,0.000167251863,0.0,0.000167251863,0.167967914
0.000172251863,0.0709277135,0.000172251863,0.30697195,0.000172251863,0.166883517,0.000172251863,0.259766454,0.000172251863,0.0189838973,0.000172251863,10.5557167,0.000172251863,3.34317991,0.000172251863,0.0,0.000172251863,0.167145014
0.000177251863,0.0681164148,0.000177251863,0.308102765,0.000177251863,0.166108914,0.000177251863,0.260507715,0.000177251863,0.0178362736,0.000177251863,10.7292728,0.000177251863,3.39732852,0.000177251863,0.0,0.000177251863,0.166368808
0.000182251863,0.0654635007,0.000182251863,0.309152304,0.000182251863,0.165381789,0.000182251863,0.261202756,0.000182251863,0.0167582157,0.000182251863,10.8922365,0.000182251863,3.44811152,0.000182251863,0.0,0.000182251863,0.165640169
0.000187251863,0.06297406,0.000187251863,0.31012203,0.000187251863,0.164703083,0.000187251863,0.261851216,0.000187251863,0.0157508803,0.000187251863,11.0444469,0.000187251863,3.49547912,0.000187251863,0.0,0.000187251863,0.164959824
0.000192251863,0.0606528773,0.000192251863,0.311013106,0.000192251863,0.164073354,0.000192251863,0.262452231,0.000192251863,0.0148153226,0.000192251863,11.1857542,0.000192251863,3.53938427,0.000192251863,0.0,0.000192251863,0.16432854
0.000197251863,0.0585044471,0.000197251863,0.311826901,0.000197251863,0.163493433,0.000197251863,0.263005524,0.000197251863,0.0139525413,0.000197251863,11.3160188,0.000197251863,3.57978394,0.000197251863,0.0,0.000197251863,0.163746946
0.000202251863,0.0565329316,0.000202251863,0.312564448,0.000202251863,0.162963781,0.000202251863,0.263510323,0.000202251863,0.0131634339,0.000202251863,11.4351126,0.000202251863,3.61663798,0.000202251863,0.0,0.000202251863,0.163215702
0.000207251863,0.054742179,0.000207251863,0.313226982,0.000207251863,0.162485118,0.000207251863,0.263966435,0.000207251863,0.0124488362,0.000207251863,11.5429179,0.000207251863,3.64991029,0.000207251863,0.0,0.000207251863,0.162735335
0.000212251863,0.0531356805,0.000212251863,0.313815372,0.000212251863,0.162057801,0.000212251863,0.264373182,0.000212251863,0.011809483,0.000212251863,11.6393287,0.000212251863,3.67956778,0.000212251863,0.0,0.000212251863,0.162306394
0.000217251863,0.0517165929,0.000217251863,0.314330684,0.000217251863,0.16168244,0.000217251863,0.264730457,0.000217251863,0.0112460436,0.000217251863,11.7242496,0.000217251863,3.70558142,0.000217251863,0.0,0.000217251863,0.161929302
0.000222251863,0.0504876956,0.000222251863,0.314773592,0.000222251863,0.161359284,0.000222251863,0.265037675,0.000222251863,0.0107590864,0.000222251863,11.7975971,0.000222251863,3.7279253,0.000222251863,0.0,0.000222251863,0.161604494
0.000227251863,0.0494514175,0.000227251863,0.315144966,0.000227251863,0.161088828,0.000227251863,0.265294815,0.000227251863,0.0103491112,0.000227251863,11.8592986,0.000227251863,3.74657761,0.000227251863,0.0,0.000227251863,0.161332285
0.000232251863,0.0486097935,0.000232251863,0.315445263,0.000232251863,0.160871214,0.000232251863,0.26550139,0.000232251863,0.0100165171,0.000232251863,11.9092935,0.000232251863,3.7615197,0.000232251863,0.0,0.000232251863,0.161112995
0.000237251863,0.0479644958,0.000237251863,0.315675135,0.000237251863,0.160706821,0.000237251863,0.265657464,0.000237251863,0.00976163244,0.000237251863,11.947532,0.000237251863,3.77273705,0.000237251863,0.0,0.000237251863,0.160946832
0.000242251863,0.0475167909,0.000242251863,0.315834801,0.000242251863,0.160595679,0.000242251863,0.265762648,0.000242251863,0.00958468558,0.000242251863,11.9739766,0.000242251863,3.78021837,0.000242251863,0.0,0.000242251863,0.160833998
0.000247251863,0.0472675747,0.000247251863,0.315924686,0.000247251863,0.160538053,0.000247251863,0.265817092,0.000247251863,0.00948583252,0.000247251863,11.9886008,0.000247251863,3.78395647,0.000247251863,0.0,0.000247251863,0.16077459
0.000252251863,0.0472173296,0.000252251863,0.315944761,0.000252251863,0.160533859,0.000252251863,0.265820503,0.000252251863,0.0094651298,0.000252251863,11.9913904,0.000252251863,3.78394746,0.000252251863,0.0,0.000252251863,0.160768693
0.000257251863,0.0473661642,0.000257251863,0.31589521,0.000257251863,0.160583246,0.000257251863,0.265773119,0.000257251863,0.00952256128,0.000257251863,11.9823419,0.000257251863,3.78019153,0.000257251863,0.0,0.000257251863,0.160816292
0.000262251863,0.0477137703,0.000262251863,0.315775759,0.000262251863,0.160686018,0.000262251863,0.265674746,0.000262251863,0.00965801184,0.000262251863,11.9614646,0.000262251863,3.7726922,0.000262251863,0.0,0.000262251863,0.160917357
0.000267251863,0.0482594675,0.000267251863,0.315586353,0.000267251863,0.160842205,0.000267251863,0.265525707,0.000267251863,0.0098712942,0.000267251863,11.9287784,0.000267251863,3.76145703,0.000267251863,0.0,0.000267251863,0.161071759
0.000272251863,0.0490021597,0.000272251863,0.315326471,0.000272251863,0.161051503,0.000272251863,0.265325905,0.000272251863,0.0101621226,0.000272251863,11.8843158,0.000272251863,3.74649694,0.000272251863,0.0,0.000272251863,0.161279352
0.000277251863,0.0499403852,0.000277251863,0.314995827,0.000277251863,0.161313823,0.000277251863,0.265075752,0.000277251863,0.0105301407,0.000277251863,11.8281202,0.000277251863,3.72782685,0.000277251863,0.0,0.000277251863,0.161539896
0.000282251863,0.0510722723,0.000282251863,0.314593668,0.000282251863,0.16162875,0.000282251863,0.264775246,0.000282251863,0.0109748941,0.000282251863,11.760247,0.000282251863,3.705465,0.000282251863,0.0,0.000282251863,0.161853128
0.000287251863,0.0523955951,0.000287251863,0.314119487,0.000287251863,0.16199608,0.000287251863,0.264424884,0.000287251863,0.0114958602,0.000287251863,11.6807628,0.000287251863,3.67943361,0.000287251863,0.0,0.000287251863,0.1622187
0.000292251863,0.0539077285,0.000292251863,0.313572316,0.000292251863,0.162415288,0.000292251863,0.264024763,0.000292251863,0.0120924191,0.000292251863,11.5897463,0.000292251863,3.64975822,0.000292251863,0.0,0.000292251863,0.162636233
0.000297251863,0.0556057093,0.000297251863,0.312951446,0.000297251863,0.162886059,0.000297251863,0.263575465,0.000297251863,0.0127638859,0.000297251863,11.4872867,0.000297251863,3.61646822,0.000297251863,0.0,0.000297251863,0.16310527
