c124,c137,rsep,rld,ccable,fcross_hz,pm_deg,tdb_20k
470p,220p,47,10k,2.7n,935453,61.7275,33.7213
470p,220p,47,10k,3.3n,912598,61.7752,33.72
470p,220p,47,10k,4.7n,872808,62.4709,33.7167
470p,220p,47,50k,1f,1.0097E+06,69.4332,33.7356
470p,220p,47,50k,470p,1.0176E+06,66.8426,33.7348
470p,220p,47,50k,1n,1.00915E+06,64.4211,33.7338
470p,220p,47,50k,1.5n,989893,62.9177,33.7329
470p,220p,47,50k,2.2n,957574,61.9027,33.7315
470p,220p,47,50k,2.7n,935719,61.6853,33.7304
470p,220p,47,50k,3.3n,912726,61.74,33.7291
470p,220p,47,50k,4.7n,872785,62.4485,33.7257
470p,220p,56,10k,1f,1.00851E+06,69.4352,33.7264
470p,220p,56,10k,470p,1.01508E+06,66.9036,33.7256
470p,220p,56,10k,1n,1.00347E+06,64.6891,33.7247
470p,220p,56,10k,1.5n,982232,63.4745,33.7237
470p,220p,56,10k,2.2n,950133,62.8404,33.7223
470p,220p,56,10k,2.7n,929845,62.8276,33.7212
470p,220p,56,10k,3.3n,909475,63.0504,33.7199
470p,220p,56,10k,4.7n,876110,63.9164,33.7164
470p,220p,56,50k,1f,1.0097E+06,69.4332,33.7356
470p,220p,56,50k,470p,1.01632E+06,66.8732,33.7348
470p,220p,56,50k,1n,1.00446E+06,64.6401,33.7338
470p,220p,56,50k,1.5n,982889,63.4236,33.7328
470p,220p,56,50k,2.2n,950436,62.7972,33.7314
470p,220p,56,50k,2.7n,929997,62.7914,33.7303
470p,220p,56,50k,3.3n,909519,63.0217,33.7289
470p,220p,56,50k,4.7n,876052,63.8998,33.7254
470p,220p,68,10k,1f,1.00851E+06,69.4352,33.7264
470p,220p,68,10k,470p,1.01345E+06,66.9523,33.7257
470p,220p,68,10k,1n,998098,64.9882,33.7247
470p,220p,68,10k,1.5n,975106,64.1075,33.7237
470p,220p,68,10k,2.2n,944305,63.8638,33.7222
470p,220p,68,10k,2.7n,926355,64.0333,33.7211
470p,220p,68,10k,3.3n,909266,64.3837,33.7197
470p,220p,68,10k,4.7n,883166,65.3059,33.7159
470p,220p,68,50k,1f,1.0097E+06,69.4332,33.7356
470p,220p,68,50k,470p,1.01466E+06,66.9183,33.7348
470p,220p,68,50k,1n,998947,64.9385,33.7338
470p,220p,68,50k,1.5n,975594,64.0598,33.7328
470p,220p,68,50k,2.2n,944478,63.8271,33.7313
470p,220p,68,50k,2.7n,926408,64.0042,33.7302
470p,220p,68,50k,3.3n,909243,64.3619,33.7287
470p,220p,68,50k,4.7n,883091,65.2946,33.7249
470p,330p,47,10k,1f,1.00992E+06,69.3715,33.7264
470p,330p,47,10k,470p,1.0178E+06,66.8043,33.7256
470p,330p,47,10k,1n,1.00952E+06,64.4021,33.7247
470p,330p,47,10k,1.5n,990490,62.9071,33.7238
470p,330p,47,10k,2.2n,958433,61.8933,33.7224
470p,330p,47,10k,2.7n,936695,61.674,33.7213
470p,330p,47,10k,3.3n,913790,61.7256,33.72
470p,330p,47,10k,4.7n,873927,62.4272,33.7167
470p,330p,47,50k,1f,1.01111E+06,69.3694,33.7356
470p,330p,47,50k,470p,1.01906E+06,66.7768,33.7348
470p,330p,47,50k,1n,1.01060E+06,64.3551,33.7338
470p,330p,47,50k,1.5n,991278,62.8549,33.7329
470p,330p,47,50k,2.2n,958873,61.8453,33.7315
470p,330p,47,50k,2.7n,936961,61.6319,33.7304
470p,330p,47,50k,3.3n,913918,61.6905,33.7291
470p,330p,47,50k,4.7n,873904,62.4049,33.7257
470p,330p,56,10k,1f,1.00992E+06,69.3715,33.7264
470p,330p,56,10k,470p,1.01654E+06,66.838,33.7256
470p,330p,56,10k,1n,1.00491E+06,64.624,33.7247
470p,330p,56,10k,1.5n,983601,63.4129,33.7237
470p,330p,56,10k,2.2n,951392,62.7848,33.7223
470p,330p,56,10k,2.7n,931055,62.7756,33.7212
470p,330p,56,10k,3.3n,910645,63.0016,33.7199
470p,330p,56,10k,4.7n,877247,63.8715,33.7164
470p,330p,56,50k,1f,1.01111E+06,69.3694,33.7356
470p,330p,56,50k,470p,1.01778E+06,66.8075,33.7348
470p,330p,56,50k,1n,1.0059E+06,64.575,33.7338
470p,330p,56,50k,1.5n,984258,63.362,33.7328
470p,330p,56,50k,2.2n,951695,62.7418,33.7314
470p,330p,56,50k,2.7n,931207,62.7394,33.7303
470p,330p,56,50k,3.3n,910688,62.9729,33.7289
470p,330p,56,50k,4.7n,877189,63.8549,33.7254
470p,330p,68,10k,1f,1.00992E+06,69.3715,33.7264
470p,330p,68,10k,470p,1.0149E+06,66.8869,33.7257
470p,330p,68,10k,1n,999489,64.9248,33.7247
470p,330p,68,10k,1.5n,976427,64.0479,33.7237
470p,330p,68,10k,2.2n,945562,63.8093,33.7222
470p,330p,68,10k,2.7n,927570,63.9816,33.7211
470p,330p,68,10k,3.3n,910447,64.3344,33.7197
470p,330p,68,10k,4.7n,884322,65.2591,33.7159
470p,330p,68,50k,1f,1.01111E+06,69.3694,33.7356
470p,330p,68,50k,470p,1.01611E+06,66.8528,33.7348
470p,330p,68,50k,1n,1.00035E+06,64.8748,33.7338
470p,330p,68,50k,1.5n,976914,64.0003,33.7328
470p,330p,68,50k,2.2n,945734,63.7726,33.7313
470p,330p,68,50k,2.7n,927623,63.9526,33.7302
470p,330p,68,50k,3.3n,910424,64.3127,33.7287
470p,330p,68,50k,4.7n,884247,65.2478,33.7249
560p,22p,47,10k,1f,842594,70.0074,32.2126
560p,22p,47,10k,470p,847260,67.9234,32.2119
560p,22p,47,10k,1n,842824,65.8794,32.2111
560p,22p,47,10k,1.5n,831362,64.4555,32.2103
560p,22p,47,10k,2.2n,810136,63.2712,32.2092
560p,22p,47,10k,2.7n,794436,62.8688,32.2082
560p,22p,47,10k,3.3n,776942,62.705,32.2071
560p,22p,47,10k,4.7n,744148,63.0356,32.2041
560p,22p,47,50k,1f,843563,70.0031,32.2217
560p,22p,47,50k,470p,848271,67.8986,32.221
560p,22p,47,50k,1n,843737,65.8371,32.2202
560p,22p,47,50k,1.5n,832090,64.4057,32.2194
560p,22p,47,50k,2.2n,810596,63.2216,32.2182
560p,22p,47,50k,2.7n,794755,62.8227,32.2173
560p,22p,47,50k,3.3n,777128,62.6646,32.2161
560p,22p,47,50k,4.7n,744169,63.0077,32.2132
560p,22p,56,10k,1f,842595,70.0074,32.2126
560p,22p,56,10k,470p,846556,67.9452,32.2119
560p,22p,56,10k,1n,840083,66.0216,32.2111
560p,22p,56,10k,1.5n,826825,64.8019,32.2103
560p,22p,56,10k,2.2n,804590,63.9465,32.2091
560p,22p,56,10k,2.7n,789298,63.7516,32.2082
560p,22p,56,10k,3.3n,773040,63.7857,32.2069
560p,22p,56,10k,4.7n,744467,64.3746,32.2038
560p,22p,56,50k,1f,843563,70.0031,32.2217
560p,22p,56,50k,470p,847558,67.9179,32.221
560p,22p,56,50k,1n,840941,65.9767,32.2202
560p,22p,56,50k,1.5n,827453,64.752,32.2194
560p,22p,56,50k,2.2n,804942,63.9,32.2182
560p,22p,56,50k,2.7n,789510,63.7104,32.2172
560p,22p,56,50k,3.3n,773139,63.7513,32.216
560p,22p,56,50k,4.7n,744442,64.3528,32.2128
560p,22p,68,10k,1f,842597,70.0074,32.2126
560p,22p,68,10k,470p,845636,67.9768,32.2119
560p,22p,68,10k,1n,836749,66.2192,32.2111
560p,22p,68,10k,1.5n,821806,65.2543,32.2103
560p,22p,68,10k,2.2n,799385,64.7588,32.209
560p,22p,68,10k,2.7n,785218,64.7638,32.208
560p,22p,68,10k,3.3n,770961,64.966,32.2067
560p,22p,68,10k,4.7n,747672,65.7153,32.2034
560p,22p,68,50k,1f,843563,70.0031,32.2217
560p,22p,68,50k,470p,846621,67.9463,32.221
560p,22p,68,50k,1n,837527,66.172,32.2202
560p,22p,68,50k,1.5n,822317,65.2053,32.2194
560p,22p,68,50k,2.2n,799620,64.7172,32.2181
560p,22p,68,50k,2.7n,785329,64.729,32.2171
560p,22p,68,50k,3.3n,770984,64.9386,32.2157
560p,22p,68,50k,4.7n,747616,65.6997,32.2124
560p,100p,47,10k,1f,844390,70.1774,32.2126
560p,100p,47,10k,470p,848979,68.0962,32.2119
560p,100p,47,10k,1n,844376,66.0545,32.2111
560p,100p,47,10k,1.5n,832721,64.6321,32.2103
560p,100p,47,10k,2.2n,811230,63.449,32.2092
560p,100p,47,10k,2.7n,795418,63.0453,32.2082
560p,100p,47,10k,3.3n,777806,62.8796,32.2071
560p,100p,47,10k,4.7n,744855,63.204,32.2041
560p,100p,47,50k,1f,845365,70.1733,32.2217
560p,100p,47,50k,470p,849995,68.0717,32.221
560p,100p,47,50k,1n,845292,66.0125,32.2202
560p,100p,47,50k,1.5n,833459,64.5824,32.2194
560p,100p,47,50k,2.2n,811689,63.3997,32.2182
560p,100p,47,50k,2.7n,795735,62.9995,32.2173
560p,100p,47,50k,3.3n,777991,62.8394,32.2161
560p,100p,47,50k,4.7n,744875,63.1762,32.2132
560p,100p,56,10k,1f,844392,70.1774,32.2126
560p,100p,56,10k,470p,848270,68.1179,32.2119
560p,100p,56,10k,1n,841620,66.1963,32.2111
560p,100p,56,10k,1.5n,828147,64.9784,32.2103
560p,100p,56,10k,2.2n,805688,64.1228,32.2091
560p,100p,56,10k,2.7n,790278,63.9267,32.2082
560p,100p,56,10k,3.3n,773922,63.9586,32.2069
560p,100p,56,10k,4.7n,745243,64.5411,32.2038
560p,100p,56,50k,1f,845365,70.1733,32.2217
560p,100p,56,50k,470p,849276,68.0909,32.221
560p,100p,56,50k,1n,842480,66.1517,32.2202
560p,100p,56,50k,1.5n,828774,64.9287,32.2194
560p,100p,56,50k,2.2n,806039,64.0765,32.2182
560p,100p,56,50k,2.7n,790488,63.8858,32.2172
560p,100p,56,50k,3.3n,774019,63.9243,32.216
560p,100p,56,50k,4.7n,745218,64.5194,32.2128
560p,100p,68,10k,1f,844393,70.1774,32.2126
560p,100p,68,10k,470p,847343,68.1493,32.2119
560p,100p,68,10k,1n,838268,66.3935,32.2111
560p,100p,68,10k,1.5n,823118,65.4298,32.2103
560p,100p,68,10k,2.2n,800500,64.9334,32.209
560p,100p,68,10k,2.7n,786234,64.9369,32.208
560p,100p,68,10k,3.3n,771898,65.1368,32.2067
560p,100p,68,10k,4.7n,748533,65.8803,32.2034
560p,100p,68,50k,1f,845365,70.1733,32.2217
560p,100p,68,50k,470p,848331,68.1191,32.221
560p,100p,68,50k,1n,839047,66.3465,32.2202
560p,100p,68,50k,1.5n,823627,65.3811,32.2194
560p,100p,68,50k,2.2n,800733,64.892,32.2181
