c124,c137,riso,mode,rsrc,ccable,fcross_hz,pm_deg,tdb_20k
560p,47p,82,0.1,2.5k,1.5n,259175,86.2313,22.2058
560p,47p,82,0.1,2.5k,2.2n,257627,85.5293,22.2045
560p,47p,82,0.1,2.5k,2.7n,256274,85.101,22.2034
560p,47p,82,0.1,2.5k,3.3n,254487,84.671,22.2021
560p,47p,82,0.1,2.5k,4.7n,250085,83.9932,22.1984
560p,100p,68,1g,1m,1f,794671,67.5228,32.222
560p,100p,68,1g,1m,470p,796978,65.6099,32.2214
560p,100p,68,1g,1m,1n,789769,63.8967,32.2205
560p,100p,68,1g,1m,1.5n,777380,62.8918,32.2197
560p,100p,68,1g,1m,2.2n,758291,62.2929,32.2184
560p,100p,68,1g,1m,2.7n,745952,62.2286,32.2174
560p,100p,68,1g,1m,3.3n,733319,62.3655,32.2161
560p,100p,68,1g,1m,4.7n,712230,63.0287,32.2126
560p,100p,68,1g,1k,1f,794650,67.3021,32.222
560p,100p,68,1g,1k,470p,796957,65.3886,32.2214
560p,100p,68,1g,1k,1n,789749,63.6774,32.2205
560p,100p,68,1g,1k,1.5n,777361,62.676,32.2197
560p,100p,68,1g,1k,2.2n,758275,62.0823,32.2184
560p,100p,68,1g,1k,2.7n,745937,62.0214,32.2174
560p,100p,68,1g,1k,3.3n,733304,62.1617,32.2161
560p,100p,68,1g,1k,4.7n,712217,62.8308,32.2126
560p,100p,68,1g,2.5k,1f,794578,66.9729,32.222
560p,100p,68,1g,2.5k,470p,796885,65.0586,32.2214
560p,100p,68,1g,2.5k,1n,789681,63.3505,32.2205
560p,100p,68,1g,2.5k,1.5n,777297,62.3541,32.2197
560p,100p,68,1g,2.5k,2.2n,758218,61.7681,32.2184
560p,100p,68,1g,2.5k,2.7n,745883,61.7122,32.2174
560p,100p,68,1g,2.5k,3.3n,733253,61.8577,32.2161
560p,100p,68,1g,2.5k,4.7n,712170,62.5354,32.2126
560p,100p,68,0.1,1m,1f,265929,93.0692,22.2093
560p,100p,68,0.1,1m,470p,266004,92.4772,22.2086
560p,100p,68,0.1,1m,1n,265682,91.8151,22.2078
560p,100p,68,0.1,1m,1.5n,265009,91.2125,22.2069
560p,100p,68,0.1,1m,2.2n,263549,90.4307,22.2057
560p,100p,68,0.1,1m,2.7n,262233,89.929,22.2047
560p,100p,68,0.1,1m,3.3n,260445,89.3967,22.2034
560p,100p,68,0.1,1m,4.7n,255823,88.4515,22.2
560p,100p,68,0.1,1k,1f,265928,92.9953,22.2093
560p,100p,68,0.1,1k,470p,266003,92.4033,22.2086
560p,100p,68,0.1,1k,1n,265682,91.7412,22.2078
560p,100p,68,0.1,1k,1.5n,265008,91.1388,22.2069
560p,100p,68,0.1,1k,2.2n,263548,90.3575,22.2057
560p,100p,68,0.1,1k,2.7n,262232,89.8561,22.2047
560p,100p,68,0.1,1k,3.3n,260444,89.3243,22.2034
560p,100p,68,0.1,1k,4.7n,255822,88.3803,22.2
560p,100p,68,0.1,2.5k,1f,265925,92.8847,22.2093
560p,100p,68,0.1,2.5k,470p,266000,92.2926,22.2086
560p,100p,68,0.1,2.5k,1n,265679,91.6307,22.2078
560p,100p,68,0.1,2.5k,1.5n,265006,91.0286,22.2069
560p,100p,68,0.1,2.5k,2.2n,263546,90.2478,22.2057
560p,100p,68,0.1,2.5k,2.7n,262230,89.747,22.2047
560p,100p,68,0.1,2.5k,3.3n,260442,89.216,22.2034
560p,100p,68,0.1,2.5k,4.7n,255820,88.2739,22.2
560p,100p,82,1g,1m,1f,794671,67.5228,32.222
560p,100p,82,1g,1m,470p,796141,65.6391,32.2214
560p,100p,82,1g,1m,1n,786984,64.0928,32.2205
560p,100p,82,1g,1m,1.5n,773499,63.3331,32.2196
560p,100p,82,1g,1m,2.2n,754925,63.0514,32.2182
560p,100p,82,1g,1m,2.7n,743832,63.1476,32.2172
560p,100p,82,1g,1m,3.3n,733167,63.4028,32.2158
560p,100p,82,1g,1m,4.7n,716596,64.1354,32.2121
560p,100p,82,1g,1k,1f,794650,67.3021,32.222
560p,100p,82,1g,1k,470p,796120,65.418,32.2214
560p,100p,82,1g,1k,1n,786965,63.8742,32.2205
560p,100p,82,1g,1k,1.5n,773482,63.1182,32.2196
560p,100p,82,1g,1k,2.2n,754909,62.8417,32.2182
560p,100p,82,1g,1k,2.7n,743817,62.9409,32.2172
560p,100p,82,1g,1k,3.3n,733152,63.1991,32.2158
560p,100p,82,1g,1k,4.7n,716582,63.9363,32.2121
560p,100p,82,1g,2.5k,1f,794578,66.9729,32.222
560p,100p,82,1g,2.5k,470p,796048,65.0883,32.2214
560p,100p,82,1g,2.5k,1n,786897,63.5484,32.2205
560p,100p,82,1g,2.5k,1.5n,773420,62.7979,32.2196
560p,100p,82,1g,2.5k,2.2n,754853,62.5289,32.2182
560p,100p,82,1g,2.5k,2.7n,743762,62.6326,32.2172
560p,100p,82,1g,2.5k,3.3n,733101,62.8951,32.2158
560p,100p,82,1g,2.5k,4.7n,716533,63.6391,32.2121
