c124,c137,riso,mode,rsrc,ccable,fcross_hz,pm_deg,tdb_20k
470p,100p,56,0.1,2.5k,2.2n,317030,91.1187,23.7189
470p,100p,56,0.1,2.5k,2.7n,315124,90.5062,23.7178
470p,100p,56,0.1,2.5k,3.3n,312531,89.8563,23.7164
470p,100p,56,0.1,2.5k,4.7n,305869,88.6988,23.7129
470p,100p,68,1g,1m,1f,933889,67.0872,33.7359
470p,100p,68,1g,1m,470p,937544,64.7915,33.7351
470p,100p,68,1g,1m,1n,926048,62.8543,33.7341
470p,100p,68,1g,1m,1.5n,907930,61.8657,33.7331
470p,100p,68,1g,1m,2.2n,882496,61.4387,33.7316
470p,100p,68,1g,1m,2.7n,867146,61.5044,33.7305
470p,100p,68,1g,1m,3.3n,852231,61.7654,33.729
470p,100p,68,1g,1m,4.7n,828903,62.5822,33.7252
470p,100p,68,1g,1k,1f,933854,66.8278,33.7359
470p,100p,68,1g,1k,470p,937509,64.5312,33.7351
470p,100p,68,1g,1k,1n,926016,62.5972,33.7341
470p,100p,68,1g,1k,1.5n,907901,61.6136,33.7331
470p,100p,68,1g,1k,2.2n,882470,61.1936,33.7316
470p,100p,68,1g,1k,2.7n,867122,61.2636,33.7305
470p,100p,68,1g,1k,3.3n,852207,61.5286,33.729
470p,100p,68,1g,1k,4.7n,828881,62.3519,33.7252
470p,100p,68,1g,2.5k,1f,933738,66.4412,33.7359
470p,100p,68,1g,2.5k,470p,937391,64.1434,33.7351
470p,100p,68,1g,2.5k,1n,925907,62.2142,33.7341
470p,100p,68,1g,2.5k,1.5n,907802,61.238,33.7331
470p,100p,68,1g,2.5k,2.2n,882381,60.8283,33.7316
470p,100p,68,1g,2.5k,2.7n,867038,60.9044,33.7305
470p,100p,68,1g,2.5k,3.3n,852127,61.1756,33.729
470p,100p,68,1g,2.5k,4.7n,828808,62.0083,33.7252
470p,100p,68,0.1,1m,1f,320272,94.548,23.723
470p,100p,68,0.1,1m,470p,320413,93.8327,23.7222
470p,100p,68,0.1,1m,1n,319849,93.0337,23.7212
470p,100p,68,0.1,1m,1.5n,318675,92.3163,23.7203
470p,100p,68,0.1,1m,2.2n,316192,91.4123,23.7188
470p,100p,68,0.1,1m,2.7n,314047,90.8544,23.7176
470p,100p,68,0.1,1m,3.3n,311199,90.2876,23.7162
470p,100p,68,0.1,1m,4.7n,304341,89.3648,23.7124
470p,100p,68,0.1,1k,1f,320270,94.459,23.723
470p,100p,68,0.1,1k,470p,320412,93.7436,23.7222
470p,100p,68,0.1,1k,1n,319847,92.9448,23.7212
470p,100p,68,0.1,1k,1.5n,318673,92.2277,23.7203
470p,100p,68,0.1,1k,2.2n,316191,91.3244,23.7188
470p,100p,68,0.1,1k,2.7n,314046,90.7671,23.7176
470p,100p,68,0.1,1k,3.3n,311198,90.2011,23.7162
470p,100p,68,0.1,1k,4.7n,304340,89.2802,23.7124
470p,100p,68,0.1,2.5k,1f,320265,94.3257,23.723
470p,100p,68,0.1,2.5k,470p,320407,93.6103,23.7222
470p,100p,68,0.1,2.5k,1n,319842,92.8117,23.7212
470p,100p,68,0.1,2.5k,1.5n,318668,92.0952,23.7203
470p,100p,68,0.1,2.5k,2.2n,316187,91.1928,23.7188
470p,100p,68,0.1,2.5k,2.7n,314041,90.6365,23.7176
470p,100p,68,0.1,2.5k,3.3n,311193,90.0716,23.7162
470p,100p,68,0.1,2.5k,4.7n,304336,89.1536,23.7124
470p,150p,47,1g,1m,1f,940027,68.3841,33.7356
470p,150p,47,1g,1m,470p,946052,66.0218,33.7349
470p,150p,47,1g,1m,1n,939632,63.7277,33.7339
470p,150p,47,1g,1m,1.5n,924544,62.1908,33.733
470p,150p,47,1g,1m,2.2n,898125,61.0028,33.7316
470p,150p,47,1g,1m,2.7n,879611,60.6457,33.7305
470p,150p,47,1g,1m,3.3n,859674,60.55,33.7292
470p,150p,47,1g,1m,4.7n,824013,61.0121,33.7258
470p,150p,47,1g,1k,1f,939990,68.1232,33.7356
470p,150p,47,1g,1k,470p,946015,65.7593,33.7349
470p,150p,47,1g,1k,1n,939596,63.4671,33.7339
470p,150p,47,1g,1k,1.5n,924511,61.9343,33.733
470p,150p,47,1g,1k,2.2n,898096,60.7536,33.7316
470p,150p,47,1g,1k,2.7n,879585,60.4016,33.7305
470p,150p,47,1g,1k,3.3n,859650,60.3114,33.7292
470p,150p,47,1g,1k,4.7n,823992,60.7833,33.7258
470p,150p,47,1g,2.5k,1f,939867,67.7342,33.7356
470p,150p,47,1g,2.5k,470p,945889,65.3682,33.7349
470p,150p,47,1g,2.5k,1n,939474,63.0789,33.7339
470p,150p,47,1g,2.5k,1.5n,924400,61.5523,33.733
470p,150p,47,1g,2.5k,2.2n,897997,60.3823,33.7316
470p,150p,47,1g,2.5k,2.7n,879494,60.0377,33.7305
470p,150p,47,1g,2.5k,3.3n,859567,59.9556,33.7292
470p,150p,47,1g,2.5k,4.7n,823920,60.4419,33.7258
470p,150p,47,0.1,1m,1f,337549,99.7239,23.7247
470p,150p,47,0.1,1m,470p,337842,98.9725,23.7239
470p,150p,47,0.1,1m,1n,337494,98.1181,23.723
470p,150p,47,0.1,1m,1.5n,336534,97.3255,23.722
470p,150p,47,0.1,1m,2.2n,334289,96.2716,23.7206
470p,150p,47,0.1,1m,2.7n,332159,95.5761,23.7196
470p,150p,47,0.1,1m,3.3n,329231,94.8168,23.7183
470p,150p,47,0.1,1m,4.7n,321529,93.3826,23.7149
470p,150p,47,0.1,1k,1f,337547,99.6301,23.7247
470p,150p,47,0.1,1k,470p,337840,98.8786,23.7239
470p,150p,47,0.1,1k,1n,337492,98.0242,23.723
470p,150p,47,0.1,1k,1.5n,336533,97.232,23.722
470p,150p,47,0.1,1k,2.2n,334287,96.1787,23.7206
470p,150p,47,0.1,1k,2.7n,332157,95.4838,23.7196
470p,150p,47,0.1,1k,3.3n,329229,94.7252,23.7183
470p,150p,47,0.1,1k,4.7n,321527,93.2932,23.7149
470p,150p,47,0.1,2.5k,1f,337541,99.4895,23.7247
470p,150p,47,0.1,2.5k,470p,337834,98.738,23.7239
470p,150p,47,0.1,2.5k,1n,337485,97.8838,23.723
470p,150p,47,0.1,2.5k,1.5n,336526,97.0919,23.722
470p,150p,47,0.1,2.5k,2.2n,334281,96.0396,23.7206
470p,150p,47,0.1,2.5k,2.7n,332151,95.3456,23.7196
470p,150p,47,0.1,2.5k,3.3n,329223,94.5882,23.7183
470p,150p,47,0.1,2.5k,4.7n,321522,93.1595,23.7149
470p,150p,56,1g,1m,1f,940027,68.3841,33.7356
470p,150p,56,1g,1m,470p,945087,66.0436,33.7349
470p,150p,56,1g,1m,1n,935985,63.8977,33.7339
470p,150p,56,1g,1m,1.5n,918843,62.6074,33.7329
470p,150p,56,1g,1m,2.2n,891799,61.7897,33.7315
470p,150p,56,1g,1m,2.7n,874234,61.6505,33.7304
470p,150p,56,1g,1m,3.3n,856219,61.7499,33.729
470p,150p,56,1g,1m,4.7n,825957,62.4365,33.7254
470p,150p,56,1g,1k,1f,939990,68.1232,33.7356
470p,150p,56,1g,1k,470p,945050,65.7814,33.7349
470p,150p,56,1g,1k,1n,935949,63.6381,33.7339
470p,150p,56,1g,1k,1.5n,918811,62.3525,33.7329
470p,150p,56,1g,1k,2.2n,891770,61.5422,33.7315
470p,150p,56,1g,1k,2.7n,874208,61.4079,33.7304
470p,150p,56,1g,1k,3.3n,856195,61.5122,33.729
470p,150p,56,1g,1k,4.7n,825936,62.2071,33.7254
470p,150p,56,1g,2.5k,1f,939867,67.7342,33.7356
470p,150p,56,1g,2.5k,470p,944925,65.3907,33.7349
470p,150p,56,1g,2.5k,1n,935829,63.2513,33.7339
470p,150p,56,1g,2.5k,1.5n,918702,61.9728,33.7329
470p,150p,56,1g,2.5k,2.2n,891673,61.1734,33.7315
470p,150p,56,1g,2.5k,2.7n,874118,61.0461,33.7304
470p,150p,56,1g,2.5k,3.3n,856111,61.1576,33.729
470p,150p,56,1g,2.5k,4.7n,825862,61.8649,33.7254
470p,150p,56,0.1,1m,1f,337549,99.7239,23.7247
470p,150p,56,0.1,1m,470p,337794,98.9719,23.7239
470p,150p,56,0.1,1m,1n,337282,98.1195,23.7229
470p,150p,56,0.1,1m,1.5n,336085,97.3373,23.722
470p,150p,56,0.1,1m,2.2n,333431,96.3189,23.7206
470p,150p,56,0.1,1m,2.7n,331008,95.6653,23.7195
470p,150p,56,0.1,1m,3.3n,327802,94.9724,23.7181
470p,150p,56,0.1,1m,4.7n,319738,93.7401,23.7146
470p,150p,56,0.1,1k,1f,337547,99.6301,23.7247
470p,150p,56,0.1,1k,470p,337792,98.878,23.7239
470p,150p,56,0.1,1k,1n,337281,98.0257,23.7229
470p,150p,56,0.1,1k,1.5n,336083,97.2439,23.722
470p,150p,56,0.1,1k,2.2n,333429,96.2262,23.7206
470p,150p,56,0.1,1k,2.7n,331007,95.5733,23.7195
470p,150p,56,0.1,1k,3.3n,327801,94.8813,23.7181
470p,150p,56,0.1,1k,4.7n,319737,93.6513,23.7146
470p,150p,56,0.1,2.5k,1f,337541,99.4895,23.7247
470p,150p,56,0.1,2.5k,470p,337786,98.7374,23.7239
470p,150p,56,0.1,2.5k,1n,337274,97.8853,23.7229
470p,150p,56,0.1,2.5k,1.5n,336077,97.104,23.722
470p,150p,56,0.1,2.5k,2.2n,333423,96.0875,23.7206
470p,150p,56,0.1,2.5k,2.7n,331001,95.4355,23.7195
470p,150p,56,0.1,2.5k,3.3n,327795,94.7449,23.7181
470p,150p,56,0.1,2.5k,4.7n,319732,93.5182,23.7146
470p,150p,68,1g,1m,1f,940027,68.3841,33.7356
470p,150p,68,1g,1m,470p,943825,66.0764,33.7349
470p,150p,68,1g,1m,1n,931650,64.1341,33.7339
470p,150p,68,1g,1m,1.5n,912723,63.1457,33.7329
470p,150p,68,1g,1m,2.2n,886342,62.7173,33.7314
470p,150p,68,1g,1m,2.7n,870469,62.7797,33.7302
470p,150p,68,1g,1m,3.3n,855168,63.0338,33.7288
470p,150p,68,1g,1m,4.7n,831155,63.8363,33.725
470p,150p,68,1g,1k,1f,939990,68.1232,33.7356
470p,150p,68,1g,1k,470p,943788,65.8145,33.7349
470p,150p,68,1g,1k,1n,931616,63.8756,33.7339
470p,150p,68,1g,1k,1.5n,912692,62.8925,33.7329
470p,150p,68,1g,1k,2.2n,886314,62.4713,33.7314
470p,150p,68,1g,1k,2.7n,870443,62.5381,33.7302
470p,150p,68,1g,1k,3.3n,855143,62.7963,33.7288
470p,150p,68,1g,1k,4.7n,831133,63.6054,33.725
470p,150p,68,1g,2.5k,1f,939867,67.7342,33.7356
470p,150p,68,1g,2.5k,470p,943663,65.4243,33.7349
470p,150p,68,1g,2.5k,1n,931501,63.4905,33.7339
470p,150p,68,1g,2.5k,1.5n,912584,62.5151,33.7329
470p,150p,68,1g,2.5k,2.2n,886220,62.1045,33.7314
470p,150p,68,1g,2.5k,2.7n,870356,62.1777,33.7302
470p,150p,68,1g,2.5k,3.3n,855058,62.4421,33.7288
470p,150p,68,1g,2.5k,4.7n,831056,63.261,33.725
470p,150p,68,0.1,1m,1f,337549,99.7239,23.7247
470p,150p,68,0.1,1m,470p,337731,98.9714,23.7239
470p,150p,68,0.1,1m,1n,337006,98.1231,23.7229
470p,150p,68,0.1,1m,1.5n,335508,97.3582,23.7219
470p,150p,68,0.1,1m,2.2n,332376,96.3938,23.7205
470p,150p,68,0.1,1m,2.7n,329679,95.7999,23.7193
470p,150p,68,0.1,1m,3.3n,326191,95.1976,23.7179
470p,150p,68,0.1,1m,4.7n,317984,94.2171,23.7141
470p,150p,68,0.1,1k,1f,337547,99.6301,23.7247
470p,150p,68,0.1,1k,470p,337729,98.8774,23.7239
470p,150p,68,0.1,1k,1n,337004,98.0294,23.7229
470p,150p,68,0.1,1k,1.5n,335506,97.2649,23.7219
470p,150p,68,0.1,1k,2.2n,332374,96.3014,23.7205
470p,150p,68,0.1,1k,2.7n,329677,95.7083,23.7193
470p,150p,68,0.1,1k,3.3n,326190,95.1069,23.7179
470p,150p,68,0.1,1k,4.7n,317983,94.1287,23.7141
470p,150p,68,0.1,2.5k,1f,337541,99.4895,23.7247
470p,150p,68,0.1,2.5k,470p,337722,98.7369,23.7239
470p,150p,68,0.1,2.5k,1n,336998,97.8891,23.7229
470p,150p,68,0.1,2.5k,1.5n,335500,97.1252,23.7219
470p,150p,68,0.1,2.5k,2.2n,332368,96.1631,23.7205
470p,150p,68,0.1,2.5k,2.7n,329672,95.5711,23.7193
470p,150p,68,0.1,2.5k,3.3n,326184,94.9712,23.7179
470p,150p,68,0.1,2.5k,4.7n,317978,93.9964,23.7141
470p,220p,47,1g,1m,1f,952492,69.1846,33.7353
470p,220p,47,1g,1m,470p,958937,66.7834,33.7345
470p,220p,47,1g,1m,1n,952061,64.47,33.7336
470p,220p,47,1g,1m,1.5n,936011,62.9432,33.7326
470p,220p,47,1g,1m,2.2n,908202,61.7904,33.7312
470p,220p,47,1g,1m,2.7n,888833,61.4602,33.7302
470p,220p,47,1g,1m,3.3n,868105,61.3914,33.7288
470p,220p,47,1g,1m,4.7n,831213,61.8939,33.7255
470p,220p,47,1g,1k,1f,952453,68.9204,33.7353
470p,220p,47,1g,1k,470p,958897,66.5175,33.7345
470p,220p,47,1g,1k,1n,952023,64.2061,33.7336
470p,220p,47,1g,1k,1.5n,935976,62.6838,33.7326
470p,220p,47,1g,1k,2.2n,908171,61.5385,33.7312
470p,220p,47,1g,1k,2.7n,888805,61.2137,33.7302
470p,220p,47,1g,1k,3.3n,868079,61.1506,33.7288
470p,220p,47,1g,1k,4.7n,831191,61.6632,33.7255
470p,220p,47,1g,2.5k,1f,952324,68.5266,33.7353
470p,220p,47,1g,2.5k,470p,958760,66.1215,33.7345
470p,220p,47,1g,2.5k,1n,951895,63.8131,33.7336
470p,220p,47,1g,2.5k,1.5n,935856,62.2974,33.7326
470p,220p,47,1g,2.5k,2.2n,908068,61.1633,33.7312
470p,220p,47,1g,2.5k,2.7n,888710,60.8462,33.7302
470p,220p,47,1g,2.5k,3.3n,867992,60.7915,33.7288
470p,220p,47,1g,2.5k,4.7n,831116,61.3189,33.7255
470p,220p,47,0.1,1m,1f,381345,106.091,23.7282
470p,220p,47,0.1,1m,470p,381889,105.242,23.7274
470p,220p,47,0.1,1m,1n,381249,104.275,23.7265
470p,220p,47,0.1,1m,1.5n,379526,103.383,23.7256
470p,220p,47,0.1,1m,2.2n,375656,102.214,23.7242
470p,220p,47,0.1,1m,2.7n,372075,101.459,23.7231
470p,220p,47,0.1,1m,3.3n,367328,100.651,23.7218
470p,220p,47,0.1,1m,4.7n,355478,99.1806,23.7185
470p,220p,47,0.1,1k,1f,381342,105.985,23.7282
470p,220p,47,0.1,1k,470p,381886,105.136,23.7274
470p,220p,47,0.1,1k,1n,381246,104.169,23.7265
470p,220p,47,0.1,1k,1.5n,379523,103.277,23.7256
470p,220p,47,0.1,1k,2.2n,375653,102.109,23.7242
470p,220p,47,0.1,1k,2.7n,372072,101.356,23.7231
470p,220p,47,0.1,1k,3.3n,367325,100.549,23.7218
470p,220p,47,0.1,1k,4.7n,355475,99.0817,23.7185
470p,220p,47,0.1,2.5k,1f,381330,105.826,23.7282
470p,220p,47,0.1,2.5k,470p,381874,104.977,23.7274
470p,220p,47,0.1,2.5k,1n,381234,104.01,23.7265
470p,220p,47,0.1,2.5k,1.5n,379512,103.119,23.7256
470p,220p,47,0.1,2.5k,2.2n,375642,101.953,23.7242
470p,220p,47,0.1,2.5k,2.7n,372062,101.201,23.7231
470p,220p,47,0.1,2.5k,3.3n,367316,100.397,23.7218
470p,220p,47,0.1,2.5k,4.7n,355467,98.9338,23.7185
470p,220p,56,1g,1m,1f,952492,69.1846,33.7353
470p,220p,56,1g,1m,470p,957891,66.807,33.7345
470p,220p,56,1g,1m,1n,948233,64.6477,33.7336
470p,220p,56,1g,1m,1.5n,930011,63.3755,33.7326
470p,220p,56,1g,1m,2.2n,901703,62.5945,33.7312
470p,220p,56,1g,1m,2.7n,883367,62.4806,33.7301
470p,220p,56,1g,1m,3.3n,864660,62.6033,33.7287
470p,220p,56,1g,1m,4.7n,833391,63.3212,33.7251
470p,220p,56,1g,1k,1f,952453,68.9204,33.7353
470p,220p,56,1g,1k,470p,957851,66.5414,33.7345
470p,220p,56,1g,1k,1n,948196,64.3849,33.7336
470p,220p,56,1g,1k,1.5n,929977,63.1177,33.7326
470p,220p,56,1g,1k,2.2n,901674,62.3444,33.7312
470p,220p,56,1g,1k,2.7n,883339,62.2356,33.7301
470p,220p,56,1g,1k,3.3n,864635,62.3633,33.7287
470p,220p,56,1g,1k,4.7n,833368,63.0899,33.7251
470p,220p,56,1g,2.5k,1f,952324,68.5266,33.7353
470p,220p,56,1g,2.5k,470p,957716,66.1458,33.7345
470p,220p,56,1g,2.5k,1n,948070,63.9933,33.7336
470p,220p,56,1g,2.5k,1.5n,929862,62.7336,33.7326
470p,220p,56,1g,2.5k,2.2n,901572,61.9717,33.7312
470p,220p,56,1g,2.5k,2.7n,883245,61.8702,33.7301
470p,220p,56,1g,2.5k,3.3n,864548,62.0055,33.7287
470p,220p,56,1g,2.5k,4.7n,833288,62.7448,33.7251
470p,220p,56,0.1,1m,1f,381345,106.091,23.7282
470p,220p,56,0.1,1m,470p,381801,105.242,23.7274
470p,220p,56,0.1,1m,1n,380862,104.277,23.7265
470p,220p,56,0.1,1m,1.5n,378745,103.4,23.7255
470p,220p,56,0.1,1m,2.2n,374219,102.28,23.7241
470p,220p,56,0.1,1m,2.7n,370246,101.579,23.723
470p,220p,56,0.1,1m,3.3n,365111,100.855,23.7216
470p,220p,56,0.1,1m,4.7n,353022,99.6164,23.7181
470p,220p,56,0.1,1k,1f,381342,105.985,23.7282
470p,220p,56,0.1,1k,470p,381797,105.135,23.7274
470p,220p,56,0.1,1k,1n,380859,104.171,23.7265
470p,220p,56,0.1,1k,1.5n,378741,103.294,23.7255
470p,220p,56,0.1,1k,2.2n,374216,102.176,23.7241
470p,220p,56,0.1,1k,2.7n,370243,101.476,23.723
470p,220p,56,0.1,1k,3.3n,365108,100.753,23.7216
470p,220p,56,0.1,1k,4.7n,353020,99.5183,23.7181
470p,220p,56,0.1,2.5k,1f,381330,105.826,23.7282
470p,220p,56,0.1,2.5k,470p,381785,104.976,23.7274
470p,220p,56,0.1,2.5k,1n,380847,104.013,23.7265
470p,220p,56,0.1,2.5k,1.5n,378730,103.137,23.7255
470p,220p,56,0.1,2.5k,2.2n,374205,102.02,23.7241
470p,220p,56,0.1,2.5k,2.7n,370233,101.322,23.723
470p,220p,56,0.1,2.5k,3.3n,365098,100.601,23.7216
470p,220p,56,0.1,2.5k,4.7n,353012,99.3713,23.7181
470p,220p,68,1g,1m,1f,952492,69.1846,33.7353
470p,220p,68,1g,1m,470p,956524,66.8424,33.7345
470p,220p,68,1g,1m,1n,943653,64.8948,33.7336
470p,220p,68,1g,1m,1.5n,923671,63.9297,33.7326
470p,220p,68,1g,1m,2.2n,896016,63.5403,33.7311
470p,220p,68,1g,1m,2.7n,879587,63.6228,33.7299
470p,220p,68,1g,1m,3.3n,863717,63.8953,33.7284
470p,220p,68,1g,1m,4.7n,839018,64.7181,33.7246
470p,220p,68,1g,1k,1f,952453,68.9204,33.7353
470p,220p,68,1g,1k,470p,956484,66.5772,33.7345
470p,220p,68,1g,1k,1n,943616,64.6332,33.7336
470p,220p,68,1g,1k,1.5n,923638,63.6735,33.7326
470p,220p,68,1g,1k,2.2n,895987,63.2917,33.7311
470p,220p,68,1g,1k,2.7n,879559,63.3788,33.7299
470p,220p,68,1g,1k,3.3n,863691,63.6555,33.7284
470p,220p,68,1g,1k,4.7n,838994,64.4852,33.7246
470p,220p,68,1g,2.5k,1f,952324,68.5266,33.7353
470p,220p,68,1g,2.5k,470p,956350,66.1821,33.7345
470p,220p,68,1g,2.5k,1n,943492,64.2435,33.7336
470p,220p,68,1g,2.5k,1.5n,923525,63.2919,33.7325
470p,220p,68,1g,2.5k,2.2n,895886,62.9212,33.7311
470p,220p,68,1g,2.5k,2.7n,879465,63.0149,33.7299
470p,220p,68,1g,2.5k,3.3n,863603,63.2981,33.7284
470p,220p,68,1g,2.5k,4.7n,838911,64.1377,33.7246
470p,220p,68,0.1,1m,1f,381345,106.091,23.7282
470p,220p,68,0.1,1m,470p,381683,105.241,23.7274
470p,220p,68,0.1,1m,1n,380357,104.282,23.7265
470p,220p,68,0.1,1m,1.5n,377753,103.429,23.7255
470p,220p,68,0.1,1m,2.2n,372489,102.382,23.724
470p,220p,68,0.1,1m,2.7n,368157,101.756,23.7229
470p,220p,68,0.1,1m,3.3n,362710,101.141,23.7214
470p,220p,68,0.1,1m,4.7n,350784,100.184,23.7176
470p,220p,68,0.1,1k,1f,381342,105.985,23.7282
470p,220p,68,0.1,1k,470p,381680,105.135,23.7274
470p,220p,68,0.1,1k,1n,380354,104.177,23.7265
470p,220p,68,0.1,1k,1.5n,377750,103.324,23.7255
470p,220p,68,0.1,1k,2.2n,372486,102.278,23.724
470p,220p,68,0.1,1k,2.7n,368154,101.654,23.7229
470p,220p,68,0.1,1k,3.3n,362708,101.04,23.7214
470p,220p,68,0.1,1k,4.7n,350781,100.086,23.7176
470p,220p,68,0.1,2.5k,1f,381330,105.826,23.7282
470p,220p,68,0.1,2.5k,470p,381668,104.976,23.7274
470p,220p,68,0.1,2.5k,1n,380342,104.018,23.7265
470p,220p,68,0.1,2.5k,1.5n,377739,103.166,23.7255
470p,220p,68,0.1,2.5k,2.2n,372475,102.123,23.724
470p,220p,68,0.1,2.5k,2.7n,368144,101.501,23.7229
470p,220p,68,0.1,2.5k,3.3n,362698,100.89,23.7214
470p,220p,68,0.1,2.5k,4.7n,350773,99.9403,23.7176
470p,330p,47,1g,1m,1f,967927,69.5461,33.7348
