k,c124,c137,riso,rsrc,rload,ccable,pm_deg
2,4.935E-10,3.135E-10,46.53,2.5k,10k,2.9n,61.4825
2,4.935E-10,3.135E-10,46.53,2.5k,10k,3.2n,61.4471
2,4.935E-10,3.135E-10,46.53,2.5k,10k,3.5n,61.4708
2,4.935E-10,3.135E-10,46.53,2.5k,10k,3.8n,61.5377
2,4.935E-10,3.135E-10,46.53,2.5k,10k,4.2n,61.677
2,4.935E-10,3.135E-10,46.53,2.5k,10k,4.7n,61.9034
2,4.935E-10,3.135E-10,47.47,2k,100k,2n,62.2757
2,4.935E-10,3.135E-10,47.47,2k,100k,2.3n,61.9588
2,4.935E-10,3.135E-10,47.47,2k,100k,2.6n,61.7662
2,4.935E-10,3.135E-10,47.47,2k,100k,2.9n,61.6716
2,4.935E-10,3.135E-10,47.47,2k,100k,3.2n,61.6502
2,4.935E-10,3.135E-10,47.47,2k,100k,3.5n,61.6862
2,4.935E-10,3.135E-10,47.47,2k,100k,3.8n,61.7637
2,4.935E-10,3.135E-10,47.47,2k,100k,4.2n,61.9147
2,4.935E-10,3.135E-10,47.47,2k,100k,4.7n,62.152
2,4.935E-10,3.135E-10,47.47,2k,10k,2n,62.3313
2,4.935E-10,3.135E-10,47.47,2k,10k,2.3n,62.0121
2,4.935E-10,3.135E-10,47.47,2k,10k,2.6n,61.8163
2,4.935E-10,3.135E-10,47.47,2k,10k,2.9n,61.7182
2,4.935E-10,3.135E-10,47.47,2k,10k,3.2n,61.6932
2,4.935E-10,3.135E-10,47.47,2k,10k,3.5n,61.7258
2,4.935E-10,3.135E-10,47.47,2k,10k,3.8n,61.8
2,4.935E-10,3.135E-10,47.47,2k,10k,4.2n,61.947
2,4.935E-10,3.135E-10,47.47,2k,10k,4.7n,62.1798
2,4.935E-10,3.135E-10,47.47,2.5k,100k,2n,62.154
2,4.935E-10,3.135E-10,47.47,2.5k,100k,2.3n,61.8387
2,4.935E-10,3.135E-10,47.47,2.5k,100k,2.6n,61.6475
2,4.935E-10,3.135E-10,47.47,2.5k,100k,2.9n,61.5543
2,4.935E-10,3.135E-10,47.47,2.5k,100k,3.2n,61.5342
2,4.935E-10,3.135E-10,47.47,2.5k,100k,3.5n,61.5715
2,4.935E-10,3.135E-10,47.47,2.5k,100k,3.8n,61.65
2,4.935E-10,3.135E-10,47.47,2.5k,100k,4.2n,61.8024
2,4.935E-10,3.135E-10,47.47,2.5k,100k,4.7n,62.0412
2,4.935E-10,3.135E-10,47.47,2.5k,10k,2n,62.2097
2,4.935E-10,3.135E-10,47.47,2.5k,10k,2.3n,61.892
2,4.935E-10,3.135E-10,47.47,2.5k,10k,2.6n,61.6976
2,4.935E-10,3.135E-10,47.47,2.5k,10k,2.9n,61.601
2,4.935E-10,3.135E-10,47.47,2.5k,10k,3.2n,61.5772
2,4.935E-10,3.135E-10,47.47,2.5k,10k,3.5n,61.6111
2,4.935E-10,3.135E-10,47.47,2.5k,10k,3.8n,61.6863
2,4.935E-10,3.135E-10,47.47,2.5k,10k,4.2n,61.8347
2,4.935E-10,3.135E-10,47.47,2.5k,10k,4.7n,62.069
2,4.935E-10,3.465E-10,46.53,2k,100k,2n,62.2438
2,4.935E-10,3.465E-10,46.53,2k,100k,2.3n,61.9136
2,4.935E-10,3.465E-10,46.53,2k,100k,2.6n,61.7112
2,4.935E-10,3.465E-10,46.53,2k,100k,2.9n,61.6067
2,4.935E-10,3.465E-10,46.53,2k,100k,3.2n,61.5786
2,4.935E-10,3.465E-10,46.53,2k,100k,3.5n,61.608
2,4.935E-10,3.465E-10,46.53,2k,100k,3.8n,61.6814
2,4.935E-10,3.465E-10,46.53,2k,100k,4.2n,61.8272
2,4.935E-10,3.465E-10,46.53,2k,100k,4.7n,62.0617
2,4.935E-10,3.465E-10,46.53,2k,10k,2n,62.2998
2,4.935E-10,3.465E-10,46.53,2k,10k,2.3n,61.9673
2,4.935E-10,3.465E-10,46.53,2k,10k,2.6n,61.7618
2,4.935E-10,3.465E-10,46.53,2k,10k,2.9n,61.6539
2,4.935E-10,3.465E-10,46.53,2k,10k,3.2n,61.6223
2,4.935E-10,3.465E-10,46.53,2k,10k,3.5n,61.6482
2,4.935E-10,3.465E-10,46.53,2k,10k,3.8n,61.7184
2,4.935E-10,3.465E-10,46.53,2k,10k,4.2n,61.8602
2,4.935E-10,3.465E-10,46.53,2k,10k,4.7n,62.0902
2,4.935E-10,3.465E-10,46.53,2.5k,100k,2n,62.1216
2,4.935E-10,3.465E-10,46.53,2.5k,100k,2.3n,61.7929
2,4.935E-10,3.465E-10,46.53,2.5k,100k,2.6n,61.592
2,4.935E-10,3.465E-10,46.53,2.5k,100k,2.9n,61.4889
2,4.935E-10,3.465E-10,46.53,2.5k,100k,3.2n,61.4622
2,4.935E-10,3.465E-10,46.53,2.5k,100k,3.5n,61.4928
2,4.935E-10,3.465E-10,46.53,2.5k,100k,3.8n,61.5674
2,4.935E-10,3.465E-10,46.53,2.5k,100k,4.2n,61.7146
2,4.935E-10,3.465E-10,46.53,2.5k,100k,4.7n,61.9506
2,4.935E-10,3.465E-10,46.53,2.5k,10k,2n,62.1777
2,4.935E-10,3.465E-10,46.53,2.5k,10k,2.3n,61.8467
2,4.935E-10,3.465E-10,46.53,2.5k,10k,2.6n,61.6427
2,4.935E-10,3.465E-10,46.53,2.5k,10k,2.9n,61.5362
2,4.935E-10,3.465E-10,46.53,2.5k,10k,3.2n,61.5059
2,4.935E-10,3.465E-10,46.53,2.5k,10k,3.5n,61.5331
2,4.935E-10,3.465E-10,46.53,2.5k,10k,3.8n,61.6044
2,4.935E-10,3.465E-10,46.53,2.5k,10k,4.2n,61.7476
2,4.935E-10,3.465E-10,46.53,2.5k,10k,4.7n,61.9791
2,4.935E-10,3.465E-10,47.47,2k,100k,2n,62.3171
2,4.935E-10,3.465E-10,47.47,2k,100k,2.3n,62.0041
2,4.935E-10,3.465E-10,47.47,2k,100k,2.6n,61.817
2,4.935E-10,3.465E-10,47.47,2k,100k,2.9n,61.7264
2,4.935E-10,3.465E-10,47.47,2k,100k,3.2n,61.71
2,4.935E-10,3.465E-10,47.47,2k,100k,3.5n,61.7495
2,4.935E-10,3.465E-10,47.47,2k,100k,3.8n,61.8313
2,4.935E-10,3.465E-10,47.47,2k,100k,4.2n,61.986
2,4.935E-10,3.465E-10,47.47,2k,100k,4.7n,62.2284
2,4.935E-10,3.465E-10,47.47,2k,10k,2n,62.3728
