blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk,p_rail
F2,10,1000,3.818,0.79,1,0.269887,0.26889,0.0651187,-2.86179E-07,3.2631E-07,-0.0651234,0.0851799,-0.00571018,0.0862936,0.0107898,0.00150935,0.00177513,0.0098607,0.00990837,0.0640145,0.0193491,0.0189457,0.0248341,0.0248507,1.2987E-06,1.3014E-06,0.00386854,0.00383288,0.101898,0,0.0465623,0,0.26945,0.26964,3.78107,4.89069
B,10,1000,3.818,0.79,1,0.332935,0.326115,0.164683,-1.44267E-06,2.51743E-06,-0.163798,0.0755669,-0.00435456,0.0861268,0.00999156,0.00150943,0.00177207,0.00983969,0.00992799,0.0640309,0.0192848,0.0189931,0.153206,0.153181,9.81659E-06,9.83908E-06,0.00403476,0.00383169,0.625655,0,0.115377,0,0.331503,0.332135,9.37064,4.89069
A,10,1000,3.818,0.79,2,0.213591,0.213172,0.0147553,0.0143553,-0.0143793,-0.0147346,0.0865487,-0.00641374,0.0864044,0.010983,0.00150942,0.0017756,0.0098607,0.00990865,0.0640873,0.0193161,0.0189068,0.0047626,0.00476361,2.45861E-07,2.46031E-07,0.00384448,0.00383301,0,0,0,0,0.213591,0.213591,3.80018,3.47647
F1,10,1000,3.818,0.79,2,0.269854,0.268922,0.0651213,-2.85285E-07,3.24674E-07,-0.0651261,0.0851797,-0.00571016,0.0862931,0.0107897,0.00150935,0.00177512,0.00986071,0.00990837,0.0640144,0.0193492,0.0189457,0.0248329,0.0248536,1.29865E-06,1.30155E-06,0.00386848,0.00383288,0.101902,0,0.046563,0,0.269446,0.269574,3.78118,3.47647
F2,10,1000,3.818,0.79,2,0.214137,0.213208,0.014603,0.0145092,-0.0145296,-0.0145826,0.0866605,-0.00641647,0.0862968,0.0109829,0.00150942,0.00177556,0.00986063,0.0099086,0.0640146,0.0193525,0.0189424,0.00476266,0.00476268,2.45633E-07,2.45893E-07,0.00384436,0.00383295,1.67359E-07,0,5.96726E-05,0,0.214137,0.214137,3.78244,3.47647
B,10,1000,3.818,0.79,2,0.20418,0.20242,0.0167661,0.012307,-0.0124268,-0.0167311,0.0866034,-0.00633532,0.0860068,0.0109776,0.00150932,0.00177534,0.0098613,0.00990805,0.0640248,0.0193455,0.0189391,0.00480663,0.00483056,2.55384E-07,2.57248E-07,0.00384351,0.00383217,4.46714E-07,0,9.74913E-05,0,0.204165,0.20417,9.38533,3.47647
A,10,1000,3.818,0.79,4,0.213591,0.213172,0.0147553,0.0143553,-0.0143793,-0.0147346,0.0865488,-0.00641374,0.0864043,0.010983,0.00150942,0.0017756,0.0098607,0.00990866,0.0640872,0.0193162,0.0189068,0.0047626,0.00476361,2.4586E-07,2.46031E-07,0.00384448,0.00383301,0,0,0,0,0.213591,0.213591,3.80026,4.38732
F1,10,1000,3.818,0.79,4,0.21384,0.21293,0.0147536,0.0143574,-0.0143809,-0.0147324,0.0866545,-0.00641368,0.0862967,0.0109829,0.00150942,0.00177556,0.00986062,0.0099086,0.0640145,0.0193525,0.0189424,0.00476273,0.0047634,2.45796E-07,2.46088E-07,0.00384435,0.00383295,3.53903E-06,0,0.000274406,0,0.21384,0.21384,3.78253,4.38732
F2,10,1000,3.818,0.79,4,0.214137,0.213207,0.014603,0.0145092,-0.0145296,-0.0145826,0.0866606,-0.00641647,0.0862967,0.0109829,0.00150942,0.00177556,0.00986062,0.00990861,0.0640145,0.0193525,0.0189424,0.00476266,0.00476268,2.45633E-07,2.45894E-07,0.00384436,0.00383295,1.67395E-07,0,5.96791E-05,0,0.214138,0.214138,3.78254,4.38732
B,10,1000,3.818,0.79,4,0.332532,0.326185,0.164683,-1.88525E-06,1.80218E-06,-0.163804,0.0755635,-0.00435456,0.0861225,0.00999109,0.00150944,0.00177199,0.00983973,0.00992803,0.0640308,0.0192848,0.0189932,0.153188,0.153232,9.81621E-06,9.84236E-06,0.00403434,0.00383169,0.625715,0,0.115382,0,0.331389,0.331427,9.37106,4.38732
A,10,1000,3.818,0.79,5,0.213591,0.213172,0.0147553,0.0143553,-0.0143793,-0.0147346,0.0865487,-0.00641374,0.0864044,0.010983,0.00150942,0.0017756,0.0098607,0.00990865,0.0640873,0.0193161,0.0189068,0.0047626,0.00476361,2.4586E-07,2.46031E-07,0.00384448,0.00383301,0,0,0,0,0.213591,0.213591,3.8002,3.40817
F1,10,1000,3.818,0.79,5,0.244805,0.243932,0.056911,-2.2034E-07,2.38452E-07,-0.056915,0.0853726,-0.00580225,0.0862933,0.0108418,0.00150936,0.00177523,0.00986073,0.00990837,0.0640144,0.0193491,0.0189458,0.0193591,0.0193645,1.01006E-06,1.01176E-06,0.00386284,0.00383289,0.0778266,0,0.0406926,0,0.244525,0.244603,3.78116,3.40817
F2,10,1000,3.818,0.79,5,0.214137,0.213208,0.014603,0.0145092,-0.0145296,-0.0145826,0.0866605,-0.00641647,0.0862968,0.0109829,0.00150942,0.00177556,0.00986063,0.0099086,0.0640146,0.0193525,0.0189424,0.00476266,0.00476268,2.45633E-07,2.45893E-07,0.00384436,0.00383295,1.67364E-07,0,5.96736E-05,0,0.214137,0.214137,3.78247,3.40817
B,10,1000,3.818,0.79,5,0.20418,0.20242,0.0167661,0.012307,-0.0124268,-0.0167312,0.0866034,-0.00633532,0.0860067,0.0109776,0.00150932,0.00177534,0.0098613,0.00990805,0.0640248,0.0193455,0.0189391,0.00480663,0.00483056,2.55384E-07,2.57249E-07,0.00384351,0.00383217,4.46728E-07,0,9.74929E-05,0,0.204165,0.204169,9.38542,3.40817
A,10,1000,3.818,1,0,0.21359,0.213171,0.014756,0.0143546,-0.0143786,-0.0147353,0.0865487,-0.00641373,0.0864043,0.010983,0.00150942,0.0017756,0.0098607,0.00990866,0.0640872,0.0193162,0.0189068,0.0047626,0.00476362,2.45861E-07,2.46032E-07,0.00384448,0.00383301,0,0,0,0,0.21359,0.21359,3.80026,3.22473
F1,10,1000,3.818,1,0,0.21384,0.21293,0.0147536,0.0143574,-0.0143809,-0.0147324,0.0866545,-0.00641368,0.0862966,0.0109829,0.00150942,0.00177556,0.00986062,0.0099086,0.0640145,0.0193525,0.0189424,0.00476273,0.0047634,2.45796E-07,2.46088E-07,0.00384435,0.00383295,3.53904E-06,0,0.000274406,0,0.21384,0.21384,3.78253,3.22473
F2,10,1000,3.818,1,0,0.214137,0.213207,0.014603,0.0145092,-0.0145296,-0.0145826,0.0866606,-0.00641647,0.0862967,0.0109829,0.00150942,0.00177556,0.00986062,0.00990861,0.0640145,0.0193525,0.0189424,0.00476266,0.00476268,2.45633E-07,2.45894E-07,0.00384436,0.00383295,1.67395E-07,0,5.96792E-05,0,0.214138,0.214138,3.78254,3.22473
B,10,1000,3.818,1,0,0.197847,0.196055,0.0173613,0.0117076,-0.0118535,-0.0173107,0.086378,-0.00630554,0.0860101,0.0109745,0.00150922,0.00177529,0.00986158,0.00990747,0.0640134,0.0193482,0.0189465,0.00484002,0.004865,2.62139E-07,2.64104E-07,0.00384341,0.0038317,7.183E-07,0,0.000123624,0,0.197826,0.197827,11.9141,3.22473
A,10,1000,3.818,1,1,0.21359,0.213171,0.014756,0.0143546,-0.0143786,-0.0147353,0.0865487,-0.00641372,0.0864043,0.010983,0.00150942,0.0017756,0.0098607,0.00990866,0.0640872,0.0193162,0.0189068,0.0047626,0.00476362,2.45861E-07,2.46032E-07,0.00384448,0.00383301,0,0,0,0,0.213588,0.213589,3.80026,5.16701
F1,10,1000,3.818,1,1,0.269797,0.26896,0.0651258,-3.21633E-07,4.27642E-07,-0.0651309,0.0851793,-0.00571011,0.0862923,0.0107896,0.00150935,0.0017751,0.00986072,0.00990838,0.0640143,0.0193492,0.0189458,0.0248316,0.0248579,1.29859E-06,1.30178E-06,0.0038684,0.00383288,0.101906,0,0.0465641,0,0.269047,0.269878,3.7813,5.16701
F2,10,1000,3.818,1,1,0.269797,0.26896,0.0651258,-3.21633E-07,4.27642E-07,-0.0651309,0.0851793,-0.00571011,0.0862923,0.0107896,0.00150935,0.0017751,0.00986072,0.00990838,0.0640143,0.0193492,0.0189458,0.0248316,0.0248579,1.29859E-06,1.30178E-06,0.0038684,0.00383288,0.101906,0,0.0465641,0,0.269047,0.269878,3.7813,5.16701
