mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,2.611k,1,1f,662100,71.2468,79.4467,10k
0db,2.611k,1,47p,662856,71.0759,79.4467,10k
0db,2.611k,1,100p,663666,70.882,79.4467,10k
0db,2.611k,1,220p,665332,70.4399,79.4467,10k
0db,2.611k,1,470p,667987,69.5143,79.4467,10k
0db,2.611k,1,1n,669703,67.624,79.4468,10k
0db,2.611k,1,1.5n,666671,66.0714,79.4468,10k
0db,2.611k,1,2.2n,656981,64.4321,79.4468,10k
0db,2.611k,1,2.7n,648016,63.6372,79.4469,10k
0db,2.611k,1,3.3n,636672,63.0198,79.4469,10k
0db,2.611k,1,4.7n,612113,62.5213,79.447,10k
0db,2.611k,2,1f,662100,71.2468,79.4467,10k
0db,2.611k,2,47p,662880,71.0743,79.4467,10k
0db,2.611k,2,100p,663760,70.8789,79.4467,10k
0db,2.611k,2,220p,665750,70.4329,79.4467,10k
0db,2.611k,2,470p,669884,69.4884,79.4467,10k
0db,2.611k,2,1n,678625,67.4142,79.4467,10k
0db,2.611k,2,1.5n,686848,65.3653,79.4467,10k
0db,2.611k,2,2.2n,698032,62.3529,79.4466,10k
0db,2.611k,2,2.7n,705580,60.1075,79.4466,10k
0db,2.611k,2,3.3n,713994,57.3218,79.4466,10k
0db,2.611k,2,4.7n,728788,50.6294,79.4466,10k
3db,1m,1,1f,616242,79.263,77.887,100k
3db,1m,1,47p,616933,79.1047,77.887,100k
3db,1m,1,100p,617684,78.9251,77.887,100k
3db,1m,1,220p,619228,78.5159,77.887,100k
3db,1m,1,470p,621699,77.6609,77.887,100k
3db,1m,1,1n,623366,75.913,77.887,100k
3db,1m,1,1.5n,620648,74.4636,77.887,100k
3db,1m,1,2.2n,611686,72.8971,77.887,100k
3db,1m,1,2.7n,603181,72.1123,77.887,100k
3db,1m,1,3.3n,592277,71.4731,77.8869,100k
3db,1m,1,4.7n,568103,70.8631,77.8869,100k
3db,1m,2,1f,616242,79.263,77.887,100k
3db,1m,2,47p,616950,79.1046,77.887,100k
3db,1m,2,100p,617757,78.9248,77.887,100k
3db,1m,2,220p,619584,78.5149,77.887,100k
3db,1m,2,470p,623377,77.6477,77.887,100k
3db,1m,2,1n,631342,75.7499,77.8869,100k
3db,1m,2,1.5n,638890,73.8782,77.8869,100k
3db,1m,2,2.2n,649112,71.1381,77.8869,100k
3db,1m,2,2.7n,656094,69.0984,77.8869,100k
3db,1m,2,3.3n,663866,66.5761,77.8869,100k
3db,1m,2,4.7n,678090,60.5069,77.8869,100k
3db,1k,1,1f,616219,79.0695,77.887,100k
3db,1k,1,47p,616909,78.911,77.887,100k
3db,1k,1,100p,617660,78.7311,77.887,100k
3db,1k,1,220p,619203,78.3215,77.887,100k
3db,1k,1,470p,621674,77.4657,77.887,100k
3db,1k,1,1n,623341,75.7174,77.887,100k
3db,1k,1,1.5n,620623,74.2689,77.887,100k
3db,1k,1,2.2n,611664,72.7052,77.887,100k
3db,1k,1,2.7n,603160,71.923,77.887,100k
3db,1k,1,3.3n,592258,71.2872,77.8869,100k
3db,1k,1,4.7n,568087,70.6847,77.8869,100k
3db,1k,2,1f,616219,79.0695,77.887,100k
3db,1k,2,47p,616925,78.9109,77.887,100k
3db,1k,2,100p,617733,78.7309,77.887,100k
3db,1k,2,220p,619559,78.3204,77.887,100k
3db,1k,2,470p,623352,77.452,77.887,100k
3db,1k,2,1n,631314,75.5519,77.8869,100k
3db,1k,2,1.5n,638862,73.6778,77.8869,100k
3db,1k,2,2.2n,649082,70.9348,77.8869,100k
3db,1k,2,2.7n,656063,68.8931,77.8869,100k
3db,1k,2,3.3n,663833,66.3686,77.8869,100k
3db,1k,2,4.7n,678054,60.2954,77.8869,100k
3db,2.5k,1,1f,616137,78.7812,77.887,100k
3db,2.5k,1,47p,616824,78.6226,77.887,100k
3db,2.5k,1,100p,617574,78.4424,77.887,100k
3db,2.5k,1,220p,619118,78.0321,77.887,100k
3db,2.5k,1,470p,621587,77.1753,77.887,100k
3db,2.5k,1,1n,623253,75.4265,77.887,100k
3db,2.5k,1,1.5n,620538,73.9794,77.887,100k
3db,2.5k,1,2.2n,611585,72.4198,77.887,100k
3db,2.5k,1,2.7n,603086,71.6416,77.887,100k
3db,2.5k,1,3.3n,592190,71.0107,77.8869,100k
3db,2.5k,1,4.7n,568030,70.4191,77.8869,100k
3db,2.5k,2,1f,616137,78.7812,77.887,100k
3db,2.5k,2,47p,616840,78.6224,77.887,100k
3db,2.5k,2,100p,617647,78.4421,77.887,100k
3db,2.5k,2,220p,619473,78.0308,77.887,100k
3db,2.5k,2,470p,623264,77.1608,77.887,100k
3db,2.5k,2,1n,631220,75.2574,77.8869,100k
3db,2.5k,2,1.5n,638762,73.3803,77.8869,100k
3db,2.5k,2,2.2n,648973,70.6332,77.8869,100k
3db,2.5k,2,2.7n,655950,68.5888,77.8869,100k
3db,2.5k,2,3.3n,663712,66.0616,77.8869,100k
3db,2.5k,2,4.7n,677921,59.9838,77.8869,100k
3db,2.571k,1,1f,616131,78.7677,77.887,100k
3db,2.571k,1,47p,616818,78.609,77.887,100k
3db,2.571k,1,100p,617569,78.4288,77.887,100k
