col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
-1.02,9.20867028,-1.02,-1.01956158,-1.02,9.20933529,-1.02,-1.03656187,-1.02,-0.59329373,-1.02,-14.3965881,-1.02,-1.036565
-1.0,9.20866875,-1.0,-0.999570179,-1.0,9.20933394,-1.0,-1.01657573,-1.0,-0.57335294,-1.0,-14.3965828,-1.0,-1.0165788
-0.98,9.20866722,-0.98,-0.979578775,-0.98,9.20933259,-0.98,-0.996589592,-0.98,-0.553412156,-0.98,-14.3965775,-0.98,-0.9965926
-0.96,9.20866569,-0.96,-0.959587372,-0.96,9.20933124,-0.96,-0.976603457,-0.96,-0.533471377,-0.96,-14.3965723,-0.96,-0.976606404
-0.94,9.20866416,-0.94,-0.939595968,-0.94,9.20932989,-0.94,-0.956617324,-0.94,-0.513530602,-0.94,-14.396567,-0.94,-0.956620212
-0.92,9.20866263,-0.92,-0.919604564,-0.92,9.20932854,-0.92,-0.936631194,-0.92,-0.493589832,-0.92,-14.3965618,-0.92,-0.936634021
-0.9,9.2086611,-0.9,-0.899613161,-0.9,9.20932719,-0.9,-0.916645066,-0.9,-0.473649067,-0.9,-14.3965565,-0.9,-0.916647834
-0.88,9.20865957,-0.88,-0.879621757,-0.88,9.20932585,-0.88,-0.896658941,-0.88,-0.453708307,-0.88,-14.3965512,-0.88,-0.896661648
-0.86,9.20865804,-0.86,-0.859630353,-0.86,9.2093245,-0.86,-0.876672818,-0.86,-0.433767551,-0.86,-14.396546,-0.86,-0.876675465
-0.84,9.20865652,-0.84,-0.83963895,-0.84,9.20932315,-0.84,-0.856686698,-0.84,-0.413826801,-0.84,-14.3965407,-0.84,-0.856689285
-0.82,9.20865499,-0.82,-0.819647546,-0.82,9.2093218,-0.82,-0.83670058,-0.82,-0.393886055,-0.82,-14.3965355,-0.82,-0.836703107
-0.8,9.20865346,-0.8,-0.799656142,-0.8,9.20932046,-0.8,-0.816714464,-0.8,-0.373945314,-0.8,-14.3965302,-0.8,-0.816716931
-0.78,9.20865194,-0.78,-0.779664738,-0.78,9.20931911,-0.78,-0.796728351,-0.78,-0.354004578,-0.78,-14.396525,-0.78,-0.796730758
-0.76,9.20865041,-0.76,-0.759673335,-0.76,9.20931777,-0.76,-0.776742241,-0.76,-0.334063847,-0.76,-14.3965197,-0.76,-0.776744588
-0.74,9.20864888,-0.74,-0.739681931,-0.74,9.20931642,-0.74,-0.756756132,-0.74,-0.314123121,-0.74,-14.3965145,-0.74,-0.75675842
-0.72,9.20864736,-0.72,-0.719690527,-0.72,9.20931508,-0.72,-0.736770027,-0.72,-0.294182399,-0.72,-14.3965092,-0.72,-0.736772254
-0.7,9.20864583,-0.7,-0.699699124,-0.7,9.20931373,-0.7,-0.716783924,-0.7,-0.274241683,-0.7,-14.396504,-0.7,-0.716786091
-0.68,9.20864431,-0.68,-0.67970772,-0.68,9.20931239,-0.68,-0.696797823,-0.68,-0.254300971,-0.68,-14.3964988,-0.68,-0.69679993
-0.66,9.20864278,-0.66,-0.659716316,-0.66,9.20931104,-0.66,-0.676811725,-0.66,-0.234360264,-0.66,-14.3964935,-0.66,-0.676813772
-0.64,9.20864126,-0.64,-0.639724913,-0.64,9.2093097,-0.64,-0.656825629,-0.64,-0.214419562,-0.64,-14.3964883,-0.64,-0.656827616
