cella,grandezza,gruppo,L29c,iii,iii_c100,iii_r10k,iii_k5
gm10x3_lz_c,B2,1,0.2968 MAINJACK,7.85e-06 MAINJACK,-,-,-
gm10x3_lz_i,A_ins,1,0.01305 MAINJACK,0.01302 MAINJACK,-,-,-
gm10x3_lz_i,B2,1,0.009827 MAINJACK,0.003474 FIXJACK1,-,-,-
gm3x0_1k_c,B2,1,0.1151 MAINJACK,2.893e-05 FIXJACK1,-,-,-
gm3x0_1k_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm3x0_1k_i,B2,1,0.1469 MAINJACK,0.08879 MAINJACK,-,-,-
gm3x0_1k_i,S_ins,1,7.163 MAINJACK,7.163 MAINJACK,-,-,-
gm3x0_20_c,B2,1,0.07333 MAINJACK,6.452e-08 FIXJACK1,-,-,-
gm3x0_20_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm3x0_20_i,B2,1,3.831 MAINJACK,3.929 MAINJACK,-,-,-
gm3x0_20_i,S_ins,1,7.158 MAINJACK,7.158 MAINJACK,-,-,-
gm3x0_lz_c,A_ins,1,26.96 MAINJACK,0.004276 MAINJACK,-,-,-
gm3x0_lz_c,A_rel,1,0.01013 MAINJACK,0.01013 MAINJACK,-,-,-
gm3x0_lz_c,B2,1,0.0704 MAINJACK,2.263e-07 MAINJACK,-,-,-
gm3x0_lz_i,A_ins,1,0.005884 MAINJACK,0.005869 MAINJACK,-,-,-
gm3x0_lz_i,B2,1,0.007578 FIXJACK1,0.003474 FIXJACK1,-,-,-
gm3x10_1k_c,B2,1,0.4328 MAINJACK,0.0001251 MAINJACK,-,-,-
gm3x10_1k_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm3x10_1k_i,B2,1,0.1469 MAINJACK,0.08879 MAINJACK,-,-,-
gm3x10_1k_i,S_ins,1,7.163 MAINJACK,7.163 MAINJACK,-,-,-
gm3x10_20_c,B2,1,0.2887 MAINJACK,5.545e-05 MAINJACK,-,-,-
gm3x10_20_c,S_rel,1,0 MAINJACK,0 MAINJACK,-,-,-
gm3x10_20_i,B2,1,3.831 MAINJACK,3.929 MAINJACK,-,-,-
gm3x10_20_i,S_ins,1,7.158 MAINJACK,7.158 MAINJACK,-,-,-
gm3x10_lz_c,A_ins,1,111.5 MAINJACK FUORI,0.1086 MAINJACK,-,-,-
gm3x10_lz_c,A_rel,1,0.03192 MAINJACK,0.03193 MAINJACK,-,-,-
gm3x10_lz_c,B2,1,0.2913 MAINJACK,4.21e-05 MAINJACK,-,-,-
gm3x10_lz_i,A_ins,1,0.005884 MAINJACK,0.005869 MAINJACK,-,-,-
gm3x10_lz_i,B2,1,0.007578 FIXJACK1,0.003474 FIXJACK1,-,-,-
mev_1k,B2,4,0.3292 MAINJACK,0.2054 MAINJACK,-,-,-
mev_1k,S_ins,4,7.163 MAINJACK,7.163 MAINJACK,-,-,-
mev_1k,S_rel,4,5.32 MAINJACK,5.32 MAINJACK,-,-,-
mev_20,B2,4,8.5 MAINJACK,8.715 MAINJACK,-,-,-
mev_20,S_ins,4,7.158 MAINJACK,7.158 MAINJACK,-,-,-
mev_20,S_rel,4,4.128 MAINJACK,4.128 MAINJACK,-,-,-
mev_lz,A_ins,4,0.01305 MAINJACK,0.01302 MAINJACK,-,-,-
mev_lz,A_rel,4,0.03189 MAINJACK,0.03189 MAINJACK,-,-,-
mev_lz,B2,4,0.009827 MAINJACK,0.003474 FIXJACK1,-,-,-
mh01_1k,B2,4,0.3292 MAINJACK,0.2054 MAINJACK,-,-,-
mh01_1k,S_ins,4,7.163 MAINJACK,7.163 MAINJACK,-,-,-
mh01_1k,S_rel,4,5.445 MAINJACK,5.445 MAINJACK,-,-,-
mh01_20,B2,4,8.5 MAINJACK,8.715 MAINJACK,-,-,-
mh01_20,S_ins,4,7.158 MAINJACK,7.158 MAINJACK,-,-,-
mh01_20,S_rel,4,4.937 MAINJACK,4.938 MAINJACK,-,-,-
mh01_lz,A_ins,4,0.01305 MAINJACK,0.01302 MAINJACK,-,-,-
mh01_lz,A_rel,4,0.0318 MAINJACK,0.03181 MAINJACK,-,-,-
mh01_lz,B2,4,0.009827 MAINJACK,0.003474 FIXJACK1,-,-,-
mh20_1k,B2,4,0.3292 MAINJACK,0.2054 MAINJACK,-,-,-
mh20_1k,S_ins,4,7.163 MAINJACK,7.163 MAINJACK,-,-,-
mh20_1k,S_rel,4,5.37 MAINJACK,5.37 MAINJACK,-,-,-
mh20_20,B2,4,8.5 MAINJACK,8.715 MAINJACK,-,-,-
mh20_20,S_ins,4,7.158 MAINJACK,7.158 MAINJACK,-,-,-
mh20_20,S_rel,4,3.839 MAINJACK,3.839 MAINJACK,-,-,-
mh20_lz,A_ins,4,0.01305 MAINJACK,0.01302 MAINJACK,-,-,-
mh20_lz,A_rel,4,0.03193 MAINJACK,0.03195 MAINJACK,-,-,-
mh20_lz,B2,4,0.009827 MAINJACK,0.003474 FIXJACK1,-,-,-
mh2_1k,B2,4,0.3292 MAINJACK,0.2054 MAINJACK,-,-,-
mh2_1k,S_ins,4,7.163 MAINJACK,7.163 MAINJACK,-,-,-
mh2_1k,S_rel,4,5.35 MAINJACK,5.35 MAINJACK,-,-,-
mh2_20,B2,4,8.5 MAINJACK,8.715 MAINJACK,-,-,-
mh2_20,S_ins,4,7.158 MAINJACK,7.158 MAINJACK,-,-,-
mh2_20,S_rel,4,3.726 MAINJACK,3.727 MAINJACK,-,-,-
mh2_lz,A_ins,4,0.01305 MAINJACK,0.01302 MAINJACK,-,-,-
mh2_lz,A_rel,4,0.03191 MAINJACK,0.03193 MAINJACK,-,-,-
mh2_lz,B2,4,0.009827 MAINJACK,0.003474 FIXJACK1,-,-,-
on_r10m,A_ins,5,6450 FIXJACK1 FUORI,0.8884 FIXJACK1,-,-,-
on_r10m,A_rel,5,0.03193 MAINJACK,0.03194 MAINJACK,-,-,-
on_r10p,A_ins,5,5561 MAINJACK FUORI,0.7348 MAINJACK,-,-,-
on_r10p,A_rel,5,0.03193 MAINJACK,0.03194 MAINJACK,-,-,-
on_r10s,A_ins,5,5360 FIXJACK1 FUORI,1.074 FIXJACK1,-,-,-
on_r10s,A_rel,5,0.03194 MAINJACK,0.03193 MAINJACK,-,-,-
on_r300m,A_ins,5,1608 FIXJACK1 FUORI,0.1698 FIXJACK1,-,-,-
on_r300m,A_rel,5,0.03194 MAINJACK,0.03193 MAINJACK,-,-,-
on_r300p,A_ins,5,1.128e+04 FIXJACK1 FUORI,4.416 FIXJACK1,-,-,-
on_r300p,A_rel,5,0.03193 MAINJACK,0.03195 MAINJACK,-,-,-
on_r300s,A_ins,5,4734 FIXJACK1 FUORI,1.337 FIXJACK1,-,-,-
on_r300s,A_rel,5,0.03194 MAINJACK,0.03193 MAINJACK,-,-,-
rele_1k,S_ins,4,0 MAINJACK,0 MAINJACK,-,-,-
rele_1k,S_rel,4,0 MAINJACK,0 MAINJACK,-,-,-
rele_20,S_ins,4,0 MAINJACK,0 MAINJACK,-,-,-
rele_20,S_rel,4,0 MAINJACK,0 MAINJACK,-,-,-
tm0x12_1k_c,B2,2,0.2385 MAINJACK,5.744e-06 MAINJACK,-,-,-
tm0x12_1k_c,S_rel,2,0 MAINJACK,0 MAINJACK,-,-,-
tm0x12_1k_i,B2,2,0.3292 MAINJACK,0.2054 MAINJACK,-,-,-
tm0x12_1k_i,S_ins,2,7.163 MAINJACK,7.163 MAINJACK,-,-,-
tm0x12_lz_c,A_ins,2,101.7 MAINJACK FUORI,0.09894 MAINJACK,-,-,-
tm0x12_lz_c,A_rel,2,0.01012 FIXJACK1,0.01013 FIXJACK1,-,-,-
tm0x12_lz_c,B2,2,0.2038 MAINJACK,2.592e-05 MAINJACK,-,-,-
tm0x12_lz_i,A_ins,2,0.01305 MAINJACK,0.01302 MAINJACK,-,-,-
tm0x12_lz_i,B2,2,0.009827 MAINJACK,0.003474 FIXJACK1,-,-,-
tm0x6_1k_c,B2,2,0.2101 MAINJACK,3.181e-05 MAINJACK,-,-,-
tm0x6_1k_c,S_rel,2,0 MAINJACK,0 MAINJACK,-,-,-
tm0x6_1k_i,B2,2,0.3292 MAINJACK,0.2054 MAINJACK,-,-,-
tm0x6_1k_i,S_ins,2,7.163 MAINJACK,7.163 MAINJACK,-,-,-
tm0x6_lz_c,A_ins,2,101.7 MAINJACK FUORI,0.05849 MAINJACK,-,-,-
tm0x6_lz_c,A_rel,2,0.016 MAINJACK,0.016 MAINJACK,-,-,-
tm0x6_lz_c,B2,2,0.1426 MAINJACK,1.064e-05 MAINJACK,-,-,-
tm0x6_lz_i,A_ins,2,0.01305 MAINJACK,0.01302 MAINJACK,-,-,-
tm0x6_lz_i,B2,2,0.009827 MAINJACK,0.003474 FIXJACK1,-,-,-
tm12x0_1k_c,B2,2,0.3411 MAINJACK,0.0001659 MAINJACK,-,-,-
tm12x0_1k_c,S_rel,2,0 MAINJACK,0 MAINJACK,-,-,-
tm12x0_1k_i,B2,2,0.1085 FIXJACK1,0.06588 FIXJACK1,-,-,-
tm12x0_1k_i,S_ins,2,7.163 MAINJACK,7.163 MAINJACK,-,-,-
tm12x0_lz_c,A_ins,2,99.6 MAINJACK,0.07858 MAINJACK,-,-,-
tm12x0_lz_c,A_rel,2,0.03192 MAINJACK,0.03194 MAINJACK,-,-,-
tm12x0_lz_c,B2,2,0.1951 MAINJACK,2.047e-05 MAINJACK,-,-,-
tm12x0_lz_i,A_ins,2,0.004144 FIXJACK2,0.004142 FIXJACK2,-,-,-
tm12x0_lz_i,B2,2,0.007578 FIXJACK1,0.003474 FIXJACK1,-,-,-
tm12x6_1k_c,B2,2,0.1342 MAINJACK,7.365e-05 MAINJACK,-,-,-
tm12x6_1k_c,S_rel,2,0 MAINJACK,0 MAINJACK,-,-,-
tm12x6_1k_i,B2,2,0.1085 FIXJACK1,0.06588 FIXJACK1,-,-,-
tm12x6_1k_i,S_ins,2,7.163 MAINJACK,7.163 MAINJACK,-,-,-
tm12x6_lz_c,A_ins,2,49.06 MAINJACK,0.07345 MAINJACK,-,-,-
tm12x6_lz_c,A_rel,2,0.016 MAINJACK,0.01601 MAINJACK,-,-,-
tm12x6_lz_c,B2,2,0.06504 MAINJACK,1.925e-05 MAINJACK,-,-,-
tm12x6_lz_i,A_ins,2,0.004144 FIXJACK2,0.004142 FIXJACK2,-,-,-
tm12x6_lz_i,B2,2,0.007578 FIXJACK1,0.003474 FIXJACK1,-,-,-
tm6x0_1k_c,B2,2,0.2692 MAINJACK,0.0001656 MAINJACK,-,-,-
tm6x0_1k_c,S_rel,2,0 MAINJACK,0 MAINJACK,-,-,-
tm6x0_1k_i,B2,2,0.1638 MAINJACK,0.1035 MAINJACK,-,-,-
tm6x0_1k_i,S_ins,2,7.163 MAINJACK,7.163 MAINJACK,-,-,-
tm6x0_lz_c,A_ins,2,97.89 MAINJACK,0.0851 MAINJACK,-,-,-
tm6x0_lz_c,A_rel,2,0.03192 MAINJACK,0.03193 MAINJACK,-,-,-
tm6x0_lz_c,B2,2,0.1325 MAINJACK,2.092e-05 MAINJACK,-,-,-
tm6x0_lz_i,A_ins,2,0.006545 MAINJACK,0.006527 MAINJACK,-,-,-
tm6x0_lz_i,B2,2,0.007577 FIXJACK1,0.003474 FIXJACK1,-,-,-
tm6x12_1k_c,B2,2,0.1054 MAINJACK,5.651e-05 FIXJACK1,-,-,-
tm6x12_1k_c,S_rel,2,0 MAINJACK,0 MAINJACK,-,-,-
tm6x12_1k_i,B2,2,0.1638 MAINJACK,0.1035 MAINJACK,-,-,-
tm6x12_1k_i,S_ins,2,7.163 MAINJACK,7.163 MAINJACK,-,-,-
tm6x12_lz_c,A_ins,2,50.93 MAINJACK,0.02931 MAINJACK,-,-,-
tm6x12_lz_c,A_rel,2,0.01012 FIXJACK1,0.01013 FIXJACK1,-,-,-
tm6x12_lz_c,B2,2,0.07004 MAINJACK,6.238e-06 MAINJACK,-,-,-
tm6x12_lz_i,A_ins,2,0.006545 MAINJACK,0.006527 MAINJACK,-,-,-
tm6x12_lz_i,B2,2,0.007577 FIXJACK1,0.003474 FIXJACK1,-,-,-
x01000_dpamax_c,A_ins,3,255.7 MAINJACK FUORI,0.4425 MAINJACK,-,-,-
x01000_dpamax_c,A_rel,3,69.66 MAINJACK,69.68 MAINJACK,-,-,-
x01000_dpamax_c,B2,3,0.8485 MAINJACK,0.0001273 MAINJACK,-,-,-
x01000_dpamax_i,A_ins,3,8.916 FIXJACK1,8.913 FIXJACK1,-,-,-
x01000_dpamax_i,B2,3,16.05 FIXJACK1,7.364 FIXJACK1,-,-,-
x01000_dpmaxmax_c,A_ins,3,255.9 MAINJACK FUORI,0.4911 MAINJACK,-,-,-
x01000_dpmaxmax_c,A_rel,3,69.66 MAINJACK,69.69 MAINJACK,-,-,-
x01000_dpmaxmax_c,B2,3,0.8424 MAINJACK,0.0002869 MAINJACK,-,-,-
x01000_dpmaxmax_i,A_ins,3,8.917 FIXJACK1,8.914 FIXJACK1,-,-,-
x01000_dpmaxmax_i,B2,3,16.05 FIXJACK1,7.365 FIXJACK1,-,-,-
x01000_dpminmax_c,A_ins,3,255.9 MAINJACK FUORI,0.1725 MAINJACK,-,-,-
x01000_dpminmax_c,A_rel,3,69.66 MAINJACK,69.68 MAINJACK,-,-,-
x01000_dpminmax_c,B2,3,0.8441 MAINJACK,5.69e-05 MAINJACK,-,-,-
x01000_dpminmax_i,A_ins,3,8.917 FIXJACK1,8.913 FIXJACK1,-,-,-
x01000_dpminmax_i,B2,3,16.05 FIXJACK1,7.364 FIXJACK1,-,-,-
x10000_dpamax_c,A_ins,3,266.6 MAINJACK FUORI,0.275 MAINJACK,-,-,-
x10000_dpamax_c,A_rel,3,22.1 MAINJACK,22.11 MAINJACK,-,-,-
x10000_dpamax_c,B2,3,0.8611 MAINJACK,4.947e-05 MAINJACK,-,-,-
x10000_dpamax_i,A_ins,3,28.08 MAINJACK,28.03 MAINJACK,-,-,-
x10000_dpamax_i,B2,3,20.84 MAINJACK,7.364 FIXJACK1,-,-,-
x10000_dpmaxmax_c,A_ins,3,266.9 MAINJACK FUORI,0.4247 MAINJACK,-,-,-
x10000_dpmaxmax_c,A_rel,3,22.11 MAINJACK,22.11 MAINJACK,-,-,-
x10000_dpmaxmax_c,B2,3,0.8646 MAINJACK,8.251e-05 MAINJACK,-,-,-
x10000_dpmaxmax_i,A_ins,3,28.09 MAINJACK,28.03 MAINJACK,-,-,-
x10000_dpmaxmax_i,B2,3,20.84 MAINJACK,7.365 FIXJACK1,-,-,-
x10000_dpminmax_c,A_ins,3,266.7 MAINJACK FUORI,0.4062 MAINJACK,-,-,-
x10000_dpminmax_c,A_rel,3,22.1 MAINJACK,22.11 MAINJACK,-,-,-
x10000_dpminmax_c,B2,3,0.8744 MAINJACK,7.009e-05 MAINJACK,-,-,-
x10000_dpminmax_i,A_ins,3,28.09 MAINJACK,28.03 MAINJACK,-,-,-
x10000_dpminmax_i,B2,3,20.84 MAINJACK,7.364 FIXJACK1,-,-,-
x1010012_dpamax_c,A_ins,3,234.5 MAINJACK FUORI,0.1432 MAINJACK,-,-,-
x1010012_dpamax_c,A_rel,3,22.08 FIXJACK1,22.1 FIXJACK1,-,-,-
x1010012_dpamax_c,B2,3,0.4675 MAINJACK,1.783e-05 MAINJACK,-,-,-
x1010012_dpamax_i,A_ins,3,28.08 MAINJACK,28.03 MAINJACK,-,-,-
x1010012_dpamax_i,B2,3,20.84 MAINJACK,7.364 FIXJACK1,-,-,-
x1010012_dpmaxmax_c,A_ins,3,234.8 MAINJACK FUORI,0.1321 MAINJACK,-,-,-
x1010012_dpmaxmax_c,A_rel,3,22.09 FIXJACK1,22.1 FIXJACK1,-,-,-
x1010012_dpmaxmax_c,B2,3,0.4745 MAINJACK,2.231e-05 MAINJACK,-,-,-
x1010012_dpmaxmax_i,A_ins,3,28.09 MAINJACK,28.03 MAINJACK,-,-,-
x1010012_dpmaxmax_i,B2,3,20.84 MAINJACK,7.365 FIXJACK1,-,-,-
x1010012_dpminmax_c,A_ins,3,234.7 MAINJACK FUORI,0.1328 MAINJACK,-,-,-
x1010012_dpminmax_c,A_rel,3,22.08 FIXJACK1,22.1 FIXJACK1,-,-,-
x1010012_dpminmax_c,B2,3,0.4698 MAINJACK,1.007e-05 MAINJACK,-,-,-
x1010012_dpminmax_i,A_ins,3,28.09 MAINJACK,28.03 MAINJACK,-,-,-
x1010012_dpminmax_i,B2,3,20.84 MAINJACK,7.364 FIXJACK1,-,-,-
x1010120_dpamax_c,A_ins,3,230 MAINJACK FUORI,0.2976 MAINJACK,-,-,-
x1010120_dpamax_c,A_rel,3,69.66 MAINJACK,69.68 MAINJACK,-,-,-
x1010120_dpamax_c,B2,3,0.4487 MAINJACK,1.42e-05 MAINJACK,-,-,-
x1010120_dpamax_i,A_ins,3,8.916 FIXJACK1,8.913 FIXJACK1,-,-,-
x1010120_dpamax_i,B2,3,16.05 FIXJACK1,7.364 FIXJACK1,-,-,-
x1010120_dpmaxmax_c,A_ins,3,230 MAINJACK FUORI,0.2235 MAINJACK,-,-,-
x1010120_dpmaxmax_c,A_rel,3,69.66 MAINJACK,69.69 MAINJACK,-,-,-
x1010120_dpmaxmax_c,B2,3,0.4514 MAINJACK,1.346e-05 MAINJACK,-,-,-
x1010120_dpmaxmax_i,A_ins,3,8.917 FIXJACK1,8.914 FIXJACK1,-,-,-
x1010120_dpmaxmax_i,B2,3,16.05 FIXJACK1,7.365 FIXJACK1,-,-,-
x1010120_dpminmax_c,A_ins,3,229.9 MAINJACK FUORI,0.5963 MAINJACK,-,-,-
x1010120_dpminmax_c,A_rel,3,69.66 MAINJACK,69.68 MAINJACK,-,-,-
x1010120_dpminmax_c,B2,3,0.4551 MAINJACK,0.0001308 MAINJACK,-,-,-
x1010120_dpminmax_i,A_ins,3,8.917 FIXJACK1,8.913 FIXJACK1,-,-,-
x1010120_dpminmax_i,B2,3,16.05 FIXJACK1,7.364 FIXJACK1,-,-,-
xm_dpamax,A_ins,3,28.08 MAINJACK,28.03 MAINJACK,-,-,-
xm_dpamax,A_rel,3,69.56 MAINJACK,69.58 MAINJACK,-,-,-
xm_dpamax,B2,3,20.84 MAINJACK,7.364 FIXJACK1,-,-,-
xm_dpmaxmax,A_ins,3,28.09 MAINJACK,28.03 MAINJACK,-,-,-
xm_dpmaxmax,A_rel,3,69.56 MAINJACK,69.59 MAINJACK,-,-,-
xm_dpmaxmax,B2,3,20.84 MAINJACK,7.365 FIXJACK1,-,-,-
xm_dpminmax,A_ins,3,28.09 MAINJACK,28.03 MAINJACK,-,-,-
xm_dpminmax,A_rel,3,69.56 MAINJACK,69.58 MAINJACK,-,-,-
xm_dpminmax,B2,3,20.84 MAINJACK,7.364 FIXJACK1,-,-,-
