col0,col1,col2,col3,col4,col5,col6,col7
9.128e-05,0.27129994,9.128e-05,0.793842627,9.128e-05,0.845305168,9.128e-05,1.78823421
9.228e-05,0.273933478,9.228e-05,0.802152722,9.228e-05,0.853606959,9.228e-05,1.79659399
9.328e-05,0.276556202,9.328e-05,0.810429123,9.328e-05,0.861875053,9.328e-05,1.80491987
9.428e-05,0.279168007,9.428e-05,0.818671437,9.428e-05,0.870109058,9.428e-05,1.81321147
9.528e-05,0.281768792,9.528e-05,0.826879403,9.528e-05,0.878308713,9.528e-05,1.82146851
9.628e-05,0.284358452,9.628e-05,0.835052635,9.628e-05,0.886473632,9.628e-05,1.82969061
9.728e-05,0.286936887,9.728e-05,0.84319087,9.728e-05,0.894603553,9.728e-05,1.83787749
9.828e-05,0.289503994,9.828e-05,0.851293729,9.828e-05,0.902698097,9.828e-05,1.8460288
9.928e-05,0.292059672,9.928e-05,0.859360949,9.928e-05,0.910757002,9.928e-05,1.85414424
0.00010028,0.294603819,0.00010028,0.867392155,0.00010028,0.918779892,0.00010028,1.86222346
0.00010128,0.297136337,0.00010128,0.875387086,0.00010128,0.926766507,0.00010128,1.87026618
0.00010228,0.299657124,0.00010228,0.883345371,0.00010228,0.934716477,0.00010228,1.87827204
0.00010328,0.302166081,0.00010328,0.891266749,0.00010328,0.942629541,0.00010328,1.88624076
0.00010428,0.304663109,0.00010428,0.899150857,0.00010428,0.950505335,0.00010428,1.894172
0.00010528,0.307148109,0.00010528,0.906997433,0.00010528,0.958343599,0.00010528,1.90206547
0.00010628,0.309620984,0.00010628,0.914806119,0.00010628,0.966143974,0.00010628,1.90992083
0.00010728,0.312081635,0.00010728,0.922576654,0.00010728,0.9739062,0.00010728,1.9177378
0.00010828,0.314529966,0.00010828,0.930308684,0.00010828,0.981629924,0.00010828,1.92551605
0.00010928,0.31696588,0.00010928,0.93800195,0.00010928,0.989314886,0.00010928,1.93325528
0.00011028,0.31938928,0.00011028,0.945656104,0.00011028,0.99696074,0.00011028,1.94095518
0.00011128,0.321800072,0.00011128,0.953270887,0.00011128,1.00456723,0.00011128,1.94861547
0.00011228,0.324198159,0.00011228,0.960845956,0.00011228,1.012134,0.00011228,1.95623581
0.00011328,0.326583448,0.00011328,0.968381053,0.00011328,1.01966081,0.00011328,1.96381592
0.00011428,0.328955844,0.00011428,0.975875841,0.00011428,1.02714731,0.00011428,1.9713555
0.00011528,0.331315253,0.00011528,0.983330063,0.00011528,1.03459325,0.00011528,1.97885426
0.00011628,0.333661582,0.00011628,0.990743386,0.00011628,1.0419983,0.00011628,1.98631188
0.00011728,0.335994739,0.00011728,0.998115556,0.00011728,1.0493622,0.00011728,1.99372809
0.00011828,0.338314632,0.00011828,1.00544624,0.00011828,1.05668462,0.00011828,2.00110258
0.00011928,0.340621168,0.00011928,1.0127352,0.00011928,1.06396532,0.00011928,2.00843507
0.00012028,0.342914257,0.00012028,1.01998209,0.00012028,1.07120396,0.00012028,2.01572527
0.00012128,0.345193809,0.00012128,1.02718668,0.00012128,1.0784003,0.00012128,2.02297289
0.00012228,0.347459733,0.00012228,1.03434864,0.00012228,1.08555402,0.00012228,2.03017763
0.00012328,0.34971194,0.00012328,1.04146772,0.00012328,1.09266487,0.00012328,2.03733923
0.00012428,0.35195034,0.00012428,1.04854361,0.00012428,1.09973254,0.00012428,2.04445739
0.00012528,0.354174847,0.00012528,1.05557606,0.00012528,1.10675677,0.00012528,2.05153184
0.00012628,0.356385371,0.00012628,1.06256477,0.00012628,1.11373727,0.00012628,2.0585623
0.00012728,0.358581826,0.00012728,1.06950948,0.00012728,1.12067378,0.00012728,2.06554848
0.00012828,0.360764124,0.00012828,1.0764099,0.00012828,1.12756601,0.00012828,2.07249011
0.00012928,0.36293218,0.00012928,1.08326577,0.00012928,1.1344137,0.00012928,2.07938693
0.00013028,0.365085908,0.00013028,1.09007681,0.00013028,1.14121657,0.00013028,2.08623864
0.00013128,0.367225224,0.00013128,1.09684277,0.00013128,1.14797437,0.00013128,2.093045
0.00013228,0.369350041,0.00013228,1.10356335,0.00013228,1.1546868,0.00013228,2.09980572
0.00013328,0.371460278,0.00013328,1.11023832,0.00013328,1.16135363,0.00013328,2.10652054
0.00013428,0.37355585,0.00013428,1.11686739,0.00013428,1.16797457,0.00013428,2.1131892
0.00013528,0.375636674,0.00013528,1.12345033,0.00013528,1.17454938,0.00013528,2.11981143
0.00013628,0.377702669,0.00013628,1.12998683,0.00013628,1.18107778,0.00013628,2.12638696
0.00013728,0.379753753,0.00013728,1.13647668,0.00013728,1.18755953,0.00013728,2.13291555
0.00013828,0.381789845,0.00013828,1.1429196,0.00013828,1.19399436,0.00013828,2.13939693
0.00013928,0.383810865,0.00013928,1.14931534,0.00013928,1.20038203,0.00013928,2.14583085
0.00014028,0.385816732,0.00014028,1.15566365,0.00014028,1.20672228,0.00014028,2.15221705
0.00014128,0.387807368,0.00014128,1.16196428,0.00014128,1.21301486,0.00014128,2.15855529
0.00014228,0.389782694,0.00014228,1.16821696,0.00014228,1.21925952,0.00014228,2.1648453
0.00014328,0.391742632,0.00014328,1.17442149,0.00014328,1.22545602,0.00014328,2.17108685
0.00014428,0.393687105,0.00014428,1.18057757,0.00014428,1.2316041,0.00014428,2.17727968
0.00014528,0.395616036,0.00014528,1.18668501,0.00014528,1.23770354,0.00014528,2.18342356
0.00014628,0.397529348,0.00014628,1.19274352,0.00014628,1.24375408,0.00014628,2.18951823
0.00014728,0.399426967,0.00014728,1.1987529,0.00014728,1.2497555,0.00014728,2.19556346
0.00014828,0.401308817,0.00014828,1.20471288,0.00014828,1.25570754,0.00014828,2.20155901
0.00014928,0.403174824,0.00014928,1.21062326,0.00014928,1.26160998,0.00014928,2.20750465
0.00015028,0.405024914,0.00015028,1.21648377,0.00015028,1.26746258,0.00015028,2.21340013
0.00015128,0.406859014,0.00015128,1.22229421,0.00015128,1.27326512,0.00015128,2.21924523
0.00015228,0.408677053,0.00015228,1.22805433,0.00015228,1.27901736,0.00015228,2.22503971
0.00015328,0.410478958,0.00015328,1.23376392,0.00015328,1.28471908,0.00015328,2.23078336
0.00015428,0.412264657,0.00015428,1.23942273,0.00015428,1.29037005,0.00015428,2.23647592
0.00015528,0.414034081,0.00015528,1.24503056,0.00015528,1.29597005,0.00015528,2.2421172
0.00015628,0.41578716,0.00015628,1.25058717,0.00015628,1.30151885,0.00015628,2.24770696
0.00015728,0.417523824,0.00015728,1.25609236,0.00015728,1.30701624,0.00015728,2.25324498
0.00015828,0.419244005,0.00015828,1.2615459,0.00015828,1.312462,0.00015828,2.25873104
0.00015928,0.420947635,0.00015928,1.26694758,0.00015928,1.31785593,0.00015928,2.26416493
0.00016028,0.422634647,0.00016028,1.27229718,0.00016028,1.32319779,0.00016028,2.26954643
0.00016128,0.424304974,0.00016128,1.2775945,0.00016128,1.32848739,0.00016128,2.27487533
0.00016228,0.42595855,0.00016228,1.28283932,0.00016228,1.3337245,0.00016228,2.28015141
0.00016328,0.42759531,0.00016328,1.28803144,0.00016328,1.33890894,0.00016328,2.28537449
0.00016428,0.429215189,0.00016428,1.29317064,0.00016428,1.34404049,0.00016428,2.29054433
0.00016528,0.430818123,0.00016528,1.29825674,0.00016528,1.34911895,0.00016528,2.29566074
0.00016628,0.43240405,0.00016628,1.30328953,0.00016628,1.35414412,0.00016628,2.30072353
0.00016728,0.433972906,0.00016728,1.30826881,0.00016728,1.3591158,0.00016728,2.30573248
0.00016828,0.435524629,0.00016828,1.31319437,0.00016828,1.36403379,0.00016828,2.3106874
0.00016928,0.437059159,0.00016928,1.31806604,0.00016928,1.36889791,0.00016928,2.3155881
0.00017028,0.438576434,0.00017028,1.32288361,0.00017028,1.37370795,0.00017028,2.32043438
0.00017128,0.440076395,0.00017128,1.32764691,0.00017128,1.37846373,0.00017128,2.32522605
0.00017228,0.441558983,0.00017228,1.33235572,0.00017228,1.38316506,0.00017228,2.32996292
0.00017328,0.443024139,0.00017328,1.33700989,0.00017328,1.38781176,0.00017328,2.33464481
0.00017428,0.444471805,0.00017428,1.34160921,0.00017428,1.39240364,0.00017428,2.33927152
0.00017528,0.445901923,0.00017528,1.34615351,0.00017528,1.39694052,0.00017528,2.34384289
0.00017628,0.447314439,0.00017628,1.3506426,0.00017628,1.40142222,0.00017628,2.34835872
0.00017728,0.448709295,0.00017728,1.35507632,0.00017728,1.40584857,0.00017728,2.35281884
0.00017828,0.450086437,0.00017828,1.35945448,0.00017828,1.41021938,0.00017828,2.35722306
0.00017928,0.45144581,0.00017928,1.36377691,0.00017928,1.41453449,0.00017928,2.36157123
0.00018028,0.452787361,0.00018028,1.36804345,0.00018028,1.41879373,0.00018028,2.36586317
0.00018128,0.454111037,0.00018128,1.37225392,0.00018128,1.42299693,0.00018128,2.3700987
0.00018228,0.455416785,0.00018228,1.37640815,0.00018228,1.42714392,0.00018228,2.37427766
0.00018328,0.456704554,0.00018328,1.380506,0.00018328,1.43123454,0.00018328,2.37839989
0.00018428,0.457974293,0.00018428,1.38454727,0.00018428,1.43526863,0.00018428,2.38246522
0.00018528,0.459225952,0.00018528,1.38853184,0.00018528,1.43924603,0.00018528,2.38647349
0.00018628,0.460459482,0.00018628,1.39245953,0.00018628,1.44316657,0.00018628,2.39042455
0.00018728,0.461674833,0.00018728,1.39633019,0.00018728,1.44703012,0.00018728,2.39431823
0.00018828,0.462871959,0.00018828,1.40014366,0.00018828,1.45083651,0.00018828,2.39815439
0.00018928,0.464050811,0.00018928,1.40389981,0.00018928,1.45458559,0.00018928,2.40193287
0.00019028,0.465211343,0.00019028,1.40759846,0.00019028,1.45827722,0.00019028,2.40565352
0.00019128,0.466353509,0.00019128,1.4112395,0.00019128,1.46191125,0.00019128,2.4093162
0.00019228,0.467477264,0.00019228,1.41482275,0.00019228,1.46548754,0.00019228,2.41292076
0.00019328,0.468582565,0.00019328,1.41834811,0.00019328,1.46900594,0.00019328,2.41646706
0.00019428,0.469669366,0.00019428,1.4218154,0.00019428,1.47246631,0.00019428,2.41995496
0.00019528,0.470737626,0.00019528,1.42522451,0.00019528,1.47586854,0.00019528,2.42338433
0.00019628,0.471787301,0.00019628,1.42857529,0.00019628,1.47921246,0.00019628,2.42675502
0.00019728,0.472818352,0.00019728,1.43186761,0.00019728,1.48249796,0.00019728,2.4300669
0.00019828,0.473830736,0.00019828,1.43510135,0.00019828,1.48572489,0.00019828,2.43331984
