variante,rl,grandezza,uscita,picco_max_V,cella,da,esito
v3_prima_offset_zero,10k,C_pav,FIXJACK2,0.0001947,var3_10k_bmmai,C_pav,sotto
v3_prima_offset_zero,10k,C_pav,MAINJACK,0.001278,var3_10k_bmmai,C_pav,SOPRA
v4_serie,100k,A,FIXJACK1,1.224e-11,var4_100k_lz,A_ins,sotto
v4_serie,100k,A,FIXJACK2,1.249e-11,var4_100k_lz,A_ins,sotto
v4_serie,100k,A,MAINJACK,1.575e-11,var4_100k_lz,A_rel,sotto
v4_serie,100k,A_musica,FIXJACK1,4.041,var4_100k_bm,A_ins,SOPRA
v4_serie,100k,A_musica,FIXJACK2,4.041,var4_100k_bm,A_ins,SOPRA
v4_serie,100k,A_musica,MAINJACK,12.72,var4_100k_bm,A_ins,SOPRA
v4_serie,100k,B1,FIXJACK1,6.289e-07,var4_100k_bmsempre,B1,sotto
v4_serie,100k,B1,FIXJACK2,6.289e-07,var4_100k_bmsempre,B1,sotto
v4_serie,100k,B1,MAINJACK,1.652e-06,var4_100k_bmsempre,B1,sotto
v4_serie,100k,B2,FIXJACK1,0.002148,var4_100k_bm,B2,SOPRA
v4_serie,100k,B2,FIXJACK2,0.002148,var4_100k_bm,B2,SOPRA
v4_serie,100k,B2,MAINJACK,0.006769,var4_100k_bm,B2,SOPRA
v4_serie,100k,C,FIXJACK1,2.254,var4_100k_bm,C2_ins,SOPRA
v4_serie,100k,C,FIXJACK2,2.254,var4_100k_bm,C2_ins,SOPRA
v4_serie,100k,C,MAINJACK,7.103,var4_100k_bm,C2_rel,SOPRA
v4_serie,100k,C1,FIXJACK1,2.254,var4_100k_bm,C1_ins,SOPRA
v4_serie,100k,C1,FIXJACK2,2.254,var4_100k_bm,C1_ins,SOPRA
v4_serie,100k,C1,MAINJACK,7.102,var4_100k_bm,C1_ins,SOPRA
v4_serie,100k,C_pav,FIXJACK1,0.0001355,var4_100k_bmmai,C_pav,sotto
v4_serie,100k,C_pav,FIXJACK2,0.0001355,var4_100k_bmmai,C_pav,sotto
v4_serie,100k,C_pav,MAINJACK,0.001098,var4_100k_bmmai,C_pav,SOPRA
v4_serie,10k,A,FIXJACK1,4.743e-12,var4_10k_lz,A_rel,sotto
v4_serie,10k,A,FIXJACK2,4.616e-12,var4_10k_lz,A_rel,sotto
v4_serie,10k,A,MAINJACK,1.524e-11,var4_10k_lz,A_rel,sotto
v4_serie,10k,A_musica,FIXJACK1,4.024,var4_10k_bm,A_ins,SOPRA
v4_serie,10k,A_musica,FIXJACK2,4.024,var4_10k_bm,A_ins,SOPRA
v4_serie,10k,A_musica,MAINJACK,12.67,var4_10k_bm,A_ins,SOPRA
v4_serie,10k,B1,FIXJACK1,7.468e-08,var4_10k_bmsempre,B1,sotto
v4_serie,10k,B1,FIXJACK2,7.468e-08,var4_10k_bmsempre,B1,sotto
v4_serie,10k,B1,MAINJACK,2.298e-07,var4_10k_bmsempre,B1,sotto
v4_serie,10k,B2,FIXJACK1,0.002078,var4_10k_bm,B2,SOPRA
v4_serie,10k,B2,FIXJACK2,0.002078,var4_10k_bm,B2,SOPRA
v4_serie,10k,B2,MAINJACK,0.006547,var4_10k_bm,B2,SOPRA
v4_serie,10k,C,FIXJACK1,2.249,var4_10k_bm,C2_ins,SOPRA
v4_serie,10k,C,FIXJACK2,2.249,var4_10k_bm,C2_ins,SOPRA
v4_serie,10k,C,MAINJACK,7.086,var4_10k_bm,C2_rel,SOPRA
v4_serie,10k,C1,FIXJACK1,2.249,var4_10k_bm,C1_ins,SOPRA
v4_serie,10k,C1,FIXJACK2,2.249,var4_10k_bm,C1_ins,SOPRA
v4_serie,10k,C1,MAINJACK,7.085,var4_10k_bm,C1_ins,SOPRA
v4_serie,10k,C_pav,FIXJACK1,0.0001214,var4_10k_bmmai,C_pav,sotto
v4_serie,10k,C_pav,FIXJACK2,0.0001214,var4_10k_bmmai,C_pav,sotto
v4_serie,10k,C_pav,MAINJACK,0.001053,var4_10k_bmmai,C_pav,SOPRA
v5_serie_e_jack,100k,A,FIXJACK1,1.191e-11,var5_100k_lz,A_ins,sotto
v5_serie_e_jack,100k,A,FIXJACK2,1.286e-11,var5_100k_lz,A_ins,sotto
v5_serie_e_jack,100k,A,MAINJACK,1.955e-11,var5_100k_lz,A_rel,sotto
v5_serie_e_jack,100k,A_musica,FIXJACK1,4.041,var5_100k_bm,A_ins,SOPRA
v5_serie_e_jack,100k,A_musica,FIXJACK2,4.041,var5_100k_bm,A_ins,SOPRA
v5_serie_e_jack,100k,A_musica,MAINJACK,12.72,var5_100k_bm,A_ins,SOPRA
v5_serie_e_jack,100k,B1,FIXJACK1,7.627e-13,var5_100k_bmsempre,B1,sotto
v5_serie_e_jack,100k,B1,FIXJACK2,7.627e-13,var5_100k_bmsempre,B1,sotto
v5_serie_e_jack,100k,B1,MAINJACK,2.403e-12,var5_100k_bmsempre,B1,sotto
v5_serie_e_jack,100k,B2,FIXJACK1,0.002108,var5_100k_bm,B2,SOPRA
v5_serie_e_jack,100k,B2,FIXJACK2,0.002108,var5_100k_bm,B2,SOPRA
v5_serie_e_jack,100k,B2,MAINJACK,0.006642,var5_100k_bm,B2,SOPRA
v5_serie_e_jack,100k,C,FIXJACK1,2.254,var5_100k_bm,C2_ins,SOPRA
v5_serie_e_jack,100k,C,FIXJACK2,2.254,var5_100k_bm,C2_ins,SOPRA
v5_serie_e_jack,100k,C,MAINJACK,7.102,var5_100k_bm,C2_rel,SOPRA
v5_serie_e_jack,100k,C1,FIXJACK1,2.254,var5_100k_bm,C1_ins,SOPRA
v5_serie_e_jack,100k,C1,FIXJACK2,2.254,var5_100k_bm,C1_ins,SOPRA
v5_serie_e_jack,100k,C1,MAINJACK,7.101,var5_100k_bm,C1_ins,SOPRA
v5_serie_e_jack,100k,C_pav,FIXJACK1,0.0001355,var5_100k_bmmai,C_pav,sotto
v5_serie_e_jack,100k,C_pav,FIXJACK2,0.0001355,var5_100k_bmmai,C_pav,sotto
v5_serie_e_jack,100k,C_pav,MAINJACK,0.001098,var5_100k_bmmai,C_pav,SOPRA
v5_serie_e_jack,10k,A,FIXJACK1,5.178e-12,var5_10k_lz,A_rel,sotto
v5_serie_e_jack,10k,A,FIXJACK2,5.269e-12,var5_10k_lz,A_rel,sotto
v5_serie_e_jack,10k,A,MAINJACK,1.539e-11,var5_10k_lz,A_rel,sotto
v5_serie_e_jack,10k,A_musica,FIXJACK1,4.023,var5_10k_bm,A_ins,SOPRA
v5_serie_e_jack,10k,A_musica,FIXJACK2,4.023,var5_10k_bm,A_ins,SOPRA
v5_serie_e_jack,10k,A_musica,MAINJACK,12.66,var5_10k_bm,A_ins,SOPRA
v5_serie_e_jack,10k,B1,FIXJACK1,7.627e-13,var5_10k_bmsempre,B1,sotto
v5_serie_e_jack,10k,B1,FIXJACK2,7.627e-13,var5_10k_bmsempre,B1,sotto
v5_serie_e_jack,10k,B1,MAINJACK,2.403e-12,var5_10k_bmsempre,B1,sotto
v5_serie_e_jack,10k,B2,FIXJACK1,0.002117,var5_10k_bm,B2,SOPRA
v5_serie_e_jack,10k,B2,FIXJACK2,0.002117,var5_10k_bm,B2,SOPRA
v5_serie_e_jack,10k,B2,MAINJACK,0.006672,var5_10k_bm,B2,SOPRA
v5_serie_e_jack,10k,C,FIXJACK1,2.25,var5_10k_bm,C2_rel,SOPRA
v5_serie_e_jack,10k,C,FIXJACK2,2.25,var5_10k_bm,C2_rel,SOPRA
v5_serie_e_jack,10k,C,MAINJACK,7.087,var5_10k_bm,C2_rel,SOPRA
v5_serie_e_jack,10k,C1,FIXJACK1,2.249,var5_10k_bm,C1_ins,SOPRA
v5_serie_e_jack,10k,C1,FIXJACK2,2.249,var5_10k_bm,C1_ins,SOPRA
v5_serie_e_jack,10k,C1,MAINJACK,7.086,var5_10k_bm,C1_ins,SOPRA
v5_serie_e_jack,10k,C_pav,FIXJACK1,0.0001214,var5_10k_bmmai,C_pav,sotto
v5_serie_e_jack,10k,C_pav,FIXJACK2,0.0001214,var5_10k_bmmai,C_pav,sotto
v5_serie_e_jack,10k,C_pav,MAINJACK,0.001053,var5_10k_bmmai,C_pav,SOPRA
v6_sequenza,100k,A,FIXJACK1,1.033e-05,var6_100k_lz,A_ins,sotto
v6_sequenza,100k,A,FIXJACK2,1.033e-05,var6_100k_lz,A_ins,sotto
v6_sequenza,100k,A,MAINJACK,3.253e-05,var6_100k_lz,A_ins,sotto
v6_sequenza,100k,A_musica,FIXJACK1,4.041,var6_100k_bm,A_ins,SOPRA
v6_sequenza,100k,A_musica,FIXJACK2,4.041,var6_100k_bm,A_ins,SOPRA
v6_sequenza,100k,A_musica,MAINJACK,12.72,var6_100k_bm,A_ins,SOPRA
v6_sequenza,100k,B1,FIXJACK1,6.576e-09,var6_100k_bmsempre,B1,sotto
v6_sequenza,100k,B1,FIXJACK2,6.576e-09,var6_100k_bmsempre,B1,sotto
v6_sequenza,100k,B1,MAINJACK,2.07e-08,var6_100k_bmsempre,B1,sotto
v6_sequenza,100k,B2,FIXJACK1,0.002223,var6_100k_bm,B2,SOPRA
v6_sequenza,100k,B2,FIXJACK2,0.002223,var6_100k_bm,B2,SOPRA
v6_sequenza,100k,B2,MAINJACK,0.00713,var6_100k_bm,B2,SOPRA
v6_sequenza,100k,C,FIXJACK1,2.254,var6_100k_bm,C2_rel,SOPRA
v6_sequenza,100k,C,FIXJACK2,2.254,var6_100k_bm,C2_rel,SOPRA
v6_sequenza,100k,C,MAINJACK,7.102,var6_100k_bm,C2_rel,SOPRA
v6_sequenza,100k,C1,FIXJACK1,2.254,var6_100k_bm,C1_rel,SOPRA
v6_sequenza,100k,C1,FIXJACK2,2.254,var6_100k_bm,C1_rel,SOPRA
v6_sequenza,100k,C1,MAINJACK,7.102,var6_100k_bm,C1_rel,SOPRA
v6_sequenza,100k,C_pav,FIXJACK1,0.0001878,var6_100k_bmmai,C_pav,sotto
v6_sequenza,100k,C_pav,FIXJACK2,0.0001878,var6_100k_bmmai,C_pav,sotto
v6_sequenza,100k,C_pav,MAINJACK,0.00127,var6_100k_bmmai,C_pav,SOPRA
v6_sequenza,10k,A,FIXJACK1,1.028e-05,var6_10k_lz,A_ins,sotto
v6_sequenza,10k,A,FIXJACK2,1.028e-05,var6_10k_lz,A_ins,sotto
v6_sequenza,10k,A,MAINJACK,3.237e-05,var6_10k_lz,A_ins,sotto
v6_sequenza,10k,A_musica,FIXJACK1,4.023,var6_10k_bm,A_ins,SOPRA
v6_sequenza,10k,A_musica,FIXJACK2,4.023,var6_10k_bm,A_ins,SOPRA
v6_sequenza,10k,A_musica,MAINJACK,12.66,var6_10k_bm,A_ins,SOPRA
v6_sequenza,10k,B1,FIXJACK1,6.576e-09,var6_10k_bmsempre,B1,sotto
v6_sequenza,10k,B1,FIXJACK2,6.576e-09,var6_10k_bmsempre,B1,sotto
v6_sequenza,10k,B1,MAINJACK,2.07e-08,var6_10k_bmsempre,B1,sotto
v6_sequenza,10k,B2,FIXJACK1,0.002673,var6_10k_bm,B2,SOPRA
v6_sequenza,10k,B2,FIXJACK2,0.002673,var6_10k_bm,B2,SOPRA
v6_sequenza,10k,B2,MAINJACK,0.008565,var6_10k_bm,B2,SOPRA
v6_sequenza,10k,C,FIXJACK1,2.244,var6_10k_bm,C2_rel,SOPRA
v6_sequenza,10k,C,FIXJACK2,2.244,var6_10k_bm,C2_rel,SOPRA
v6_sequenza,10k,C,MAINJACK,7.074,var6_10k_bm,C2_rel,SOPRA
v6_sequenza,10k,C1,FIXJACK1,2.244,var6_10k_bm,C1_rel,SOPRA
v6_sequenza,10k,C1,FIXJACK2,2.244,var6_10k_bm,C1_rel,SOPRA
v6_sequenza,10k,C1,MAINJACK,7.073,var6_10k_bm,C1_rel,SOPRA
v6_sequenza,10k,C_pav,FIXJACK1,0.0001543,var6_10k_bmmai,C_pav,sotto
v6_sequenza,10k,C_pav,FIXJACK2,0.0001543,var6_10k_bmmai,C_pav,sotto
v6_sequenza,10k,C_pav,MAINJACK,0.00104,var6_10k_bmmai,C_pav,SOPRA
