blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk
B,0,1000,1.4142,1,0,0.214224,0.213263,0.0145692,0.0145451,-0.0145525,-0.0145616,0.0866985,-0.00643295,0.0862798,0.0109833,0.00150945,0.00177557,0.0098607,0.00990883,0.0640045,0.0193603,0.0189461,0.00476293,0.00476293,2.45261E-07,2.45534E-07,0.0038444,0.00383305,9.92685E-09,0,1.45331E-05,0,0.214224,0.214225,1.38011
A,0,1000,1.4142,1,1,0.248578,0.248276,0.0483684,-3.07773E-08,2.39889E-08,-0.0483735,0.0861102,-0.00591836,0.0863801,0.0108988,0.00150944,0.0017754,0.00986084,0.00990882,0.0640772,0.0193231,0.0189114,0.0145214,0.0145148,7.32549E-07,7.32748E-07,0.00385699,0.00383308,0.0139769,0.0139769,0.0172447,0.0172447,0.248244,0.24847,1.39628
B,0,1000,1.4142,1,1,0.209046,0.208311,0.0272223,0.00296602,-0.00310832,-0.0270814,0.0865134,-0.00618101,0.0862797,0.0109775,0.00150945,0.00177551,0.00986073,0.00990879,0.0640045,0.0193598,0.0189466,0.00657337,0.00653911,3.35562E-07,3.34307E-07,0.00384748,0.00383304,0.0139586,0,0.0172334,0,0.208842,0.20898,1.37878
A,0,1000,1.4142,1,2,0.208817,0.208487,0.0273151,0.00289504,-0.00303871,-0.0271752,0.0864061,-0.00617933,0.0863878,0.0109776,0.00150945,0.00177556,0.0098608,0.00990884,0.0640772,0.0193235,0.018911,0.00660071,0.00656202,3.37016E-07,3.35349E-07,0.00384773,0.0038331,0.0139843,2.29353E-08,0.0172493,2.20904E-05,0.208557,0.208811,1.39667
B,0,1000,1.4142,1,2,0.214224,0.213263,0.0145692,0.0145451,-0.0145525,-0.0145616,0.0866985,-0.00643295,0.0862798,0.0109833,0.00150945,0.00177557,0.00986071,0.00990882,0.0640046,0.0193603,0.0189461,0.00476293,0.00476293,2.45261E-07,2.45533E-07,0.00384441,0.00383305,9.91171E-09,0,1.4522E-05,0,0.214224,0.214224,1.37969
A,0,1000,1.4142,1,3,0.208799,0.208475,0.0273665,0.00285609,-0.00300034,-0.0272269,0.086405,-0.00617835,0.0863878,0.0109775,0.00150945,0.00177556,0.0098608,0.00990884,0.0640772,0.0193235,0.018911,0.00661484,0.00657616,3.37717E-07,3.36051E-07,0.00384775,0.0038331,4.84893E-07,0.0139843,0.000101572,0.0172493,0.208539,0.208793,1.39667
B,0,1000,1.4142,1,3,0.214224,0.213263,0.0145692,0.0145451,-0.0145525,-0.0145616,0.0866985,-0.00643295,0.0862798,0.0109833,0.00150945,0.00177557,0.00986071,0.00990882,0.0640046,0.0193603,0.0189461,0.00476293,0.00476293,2.45261E-07,2.45533E-07,0.00384441,0.00383305,9.91163E-09,0,1.45219E-05,0,0.214224,0.214224,1.37968
A,0,1000,1.4142,1,4,0.213863,0.213417,0.0147162,0.0143961,-0.0144075,-0.0147089,0.0865906,-0.00643027,0.0863872,0.0109834,0.00150946,0.00177561,0.00986078,0.00990888,0.0640772,0.019324,0.0189105,0.00476257,0.00476392,2.45369E-07,2.45571E-07,0.00384451,0.0038331,4.85618E-07,2.29694E-08,0.000101648,2.21068E-05,0.213863,0.213863,1.3971
B,0,1000,1.4142,1,4,0.209018,0.208325,0.0272313,0.00295957,-0.00310159,-0.0270898,0.0865129,-0.00618083,0.0862795,0.0109774,0.00150945,0.0017755,0.00986073,0.00990879,0.0640045,0.0193598,0.0189466,0.0065752,0.00654281,3.35655E-07,3.34493E-07,0.00384744,0.00383304,0.0139794,0,0.0172463,0,0.208834,0.20893,1.37955
A,0,1000,2.8284,1,0,0.213517,0.213096,0.0148755,0.0142354,-0.0142566,-0.0148594,0.0865661,-0.00641798,0.0863955,0.0109832,0.00150944,0.0017756,0.00986075,0.00990877,0.0640821,0.0193202,0.0189087,0.00476321,0.00476475,2.4575E-07,2.45952E-07,0.0038445,0.00383306,1.942E-06,9.18554E-08,0.000203271,4.42083E-05,0.213515,0.213517,2.81071
B,0,1000,2.8284,1,0,0.214196,0.21325,0.0145808,0.0145325,-0.0145475,-0.0145658,0.0866806,-0.00642343,0.0862881,0.0109831,0.00150944,0.00177557,0.00986067,0.00990872,0.0640094,0.0193566,0.0189443,0.0047628,0.0047628,2.45431E-07,2.45697E-07,0.00384439,0.003833,3.96962E-08,0,2.9062E-05,0,0.214195,0.214196,2.79333
A,0,1000,2.8284,1,1,0.376408,0.37558,0.0966957,-5.1226E-07,6.10781E-07,-0.0966981,0.084378,-0.00535371,0.0863973,0.0105749,0.00150935,0.00177483,0.0098605,0.00990882,0.0640821,0.0193158,0.018913,0.0532318,0.0532483,2.83057E-06,2.83351E-06,0.00389826,0.00383296,0.0558999,0.0558999,0.0344871,0.0344871,0.375541,0.376296,2.80903
B,0,1000,2.8284,1,1,0.234699,0.233656,0.0482163,2.55849E-10,-1.53259E-08,-0.0482179,0.0859046,-0.00590817,0.0862838,0.0108967,0.0015094,0.00177536,0.00986072,0.00990857,0.0640093,0.0193548,0.0189461,0.0144491,0.0144335,7.4089E-07,7.41142E-07,0.00385747,0.00383297,0.0558273,0,0.0344647,0,0.23428,0.234645,2.79079
A,0,1000,2.8284,1,2,0.235004,0.234903,0.0485401,-3.90164E-09,-9.61819E-09,-0.0485456,0.0857878,-0.00590468,0.0863893,0.0108947,0.00150941,0.00177535,0.00986082,0.00990864,0.0640819,0.0193184,0.0189106,0.0146124,0.0146145,7.49634E-07,7.50338E-07,0.00385749,0.00383302,0.0559544,9.18325E-08,0.0345039,4.42028E-05,0.234721,0.234803,2.81005
B,0,1000,2.8284,1,2,0.214196,0.213249,0.0145808,0.0145325,-0.0145475,-0.0145658,0.0866809,-0.00642344,0.0862877,0.0109831,0.00150944,0.00177557,0.00986066,0.00990872,0.0640092,0.0193566,0.0189444,0.0047628,0.0047628,2.45431E-07,2.45698E-07,0.00384438,0.003833,3.96863E-08,0,2.90584E-05,0,0.214197,0.214197,2.79262
A,0,1000,2.8284,1,3,0.235433,0.235341,0.048722,-7.6452E-09,-2.9773E-09,-0.0487292,0.0857826,-0.00590268,0.0863892,0.0108936,0.00150941,0.00177534,0.00986082,0.00990864,0.0640819,0.0193184,0.0189107,0.0147055,0.0147088,7.5447E-07,7.55245E-07,0.00385758,0.00383302,1.94151E-06,0.0559541,0.000203246,0.0345038,0.235151,0.235232,2.81004
B,0,1000,2.8284,1,3,0.214196,0.213249,0.0145808,0.0145325,-0.0145475,-0.0145658,0.0866809,-0.00642344,0.0862877,0.0109831,0.00150944,0.00177557,0.00986066,0.00990872,0.0640092,0.0193566,0.0189444,0.0047628,0.0047628,2.45431E-07,2.45698E-07,0.00384438,0.003833,3.96862E-08,0,2.90584E-05,0,0.214197,0.214197,2.79261
A,0,1000,2.8284,1,4,0.213517,0.213096,0.0148756,0.0142354,-0.0142566,-0.0148594,0.0865661,-0.00641798,0.0863954,0.0109832,0.00150944,0.0017756,0.00986075,0.00990877,0.0640821,0.0193202,0.0189087,0.00476321,0.00476475,2.4575E-07,2.45953E-07,0.0038445,0.00383306,1.94232E-06,9.18704E-08,0.000203288,4.42119E-05,0.213516,0.213517,2.81068
B,0,1000,2.8284,1,4,0.234686,0.233827,0.0482502,4.31991E-09,-2.06673E-08,-0.0482529,0.0859024,-0.00590785,0.0862827,0.0108963,0.0015094,0.00177533,0.00986073,0.00990858,0.0640093,0.0193547,0.0189461,0.0144649,0.0144582,7.41729E-07,7.4243E-07,0.00385732,0.00383297,0.0559172,0,0.0344925,0,0.234346,0.234545,2.79235
A,0,1000,3.818,1,0,0.213138,0.212744,0.0149869,0.0141228,-0.0141508,-0.0149646,0.0865392,-0.00640934,0.0864046,0.0109829,0.00150942,0.0017756,0.00986072,0.00990864,0.0640875,0.019316,0.0189067,0.00476396,0.00476561,2.46171E-07,2.46368E-07,0.00384449,0.00383301,3.53831E-06,1.6736E-07,0.000274378,5.96729E-05,0.213136,0.213138,3.80002
B,0,1000,3.818,1,0,0.214164,0.213235,0.0145887,0.0145236,-0.0145438,-0.0145685,0.086661,-0.00641674,0.0862971,0.0109829,0.00150941,0.00177556,0.00986064,0.00990859,0.0640147,0.0193525,0.0189423,0.00476266,0.00476266,2.45619E-07,2.45876E-07,0.00384437,0.00383295,7.23262E-08,0,3.92283E-05,0,0.214163,0.214164,3.78233
A,0,1000,3.818,1,1,0.443758,0.443219,0.130454,-8.96962E-07,8.9541E-07,-0.130403,0.0823136,-0.00492266,0.0864168,0.0103159,0.00150932,0.00177405,0.00985832,0.00991067,0.0640879,0.0193025,0.0189196,0.0962384,0.0963279,5.40744E-06,5.41578E-06,0.0039476,0.00383282,0.101844,0.101844,0.0465499,0.0465499,0.442781,0.4433,3.79703
B,0,1000,3.818,1,1,0.269786,0.268763,0.0650631,-4.36443E-07,4.29537E-07,-0.0650401,0.0851814,-0.00571103,0.0862958,0.0107902,0.00150935,0.00177514,0.0098607,0.00990837,0.0640157,0.0193486,0.0189451,0.024795,0.0248038,1.29655E-06,1.29881E-06,0.00386855,0.00383288,0.101712,0,0.0465198,0,0.269326,0.26957,3.77799
A,0,1000,3.818,1,2,0.270452,0.270186,0.0655169,-2.94391E-07,3.39387E-07,-0.065524,0.0850586,-0.00570574,0.0864015,0.0107874,0.00150936,0.00177517,0.00986077,0.00990842,0.0640872,0.0193128,0.0189101,0.0251179,0.0251344,1.31448E-06,1.3164E-06,0.00386904,0.00383294,0.101953,1.67297E-07,0.0465747,5.96617E-05,0.269994,0.270231,3.79869
B,0,1000,3.818,1,2,0.214165,0.213234,0.0145887,0.0145236,-0.0145438,-0.0145684,0.0866614,-0.00641674,0.0862966,0.0109829,0.00150941,0.00177556,0.00986063,0.0099086,0.0640144,0.0193526,0.0189424,0.00476266,0.00476266,2.45618E-07,2.45877E-07,0.00384436,0.00383295,7.2299E-08,0,3.92209E-05,0,0.214165,0.214165,3.78092
A,0,1000,3.818,1,3,0.271029,0.270773,0.0657622,-2.92068E-07,3.45586E-07,-0.0657716,0.0850486,-0.00570289,0.0864014,0.0107857,0.00150935,0.00177517,0.00986078,0.00990842,0.0640872,0.0193127,0.0189102,0.0252939,0.0253126,1.32402E-06,1.32606E-06,0.00386921,0.00383294,3.53697E-06,0.101952,0.000274326,0.0465746,0.270572,0.270808,3.79867
B,0,1000,3.818,1,3,0.214165,0.213234,0.0145887,0.0145236,-0.0145438,-0.0145684,0.0866614,-0.00641674,0.0862966,0.0109829,0.00150941,0.00177556,0.00986063,0.0099086,0.0640144,0.0193526,0.0189424,0.00476266,0.00476266,2.45618E-07,2.45877E-07,0.00384436,0.00383295,7.22987E-08,0,3.92208E-05,0,0.214165,0.214165,3.78091
A,0,1000,3.818,1,4,0.213138,0.212743,0.0149869,0.0141227,-0.0141508,-0.0149645,0.0865393,-0.00640934,0.0864045,0.0109829,0.00150942,0.0017756,0.00986071,0.00990865,0.0640874,0.0193161,0.0189068,0.00476396,0.00476561,2.46171E-07,2.46369E-07,0.00384448,0.00383301,3.53966E-06,1.67423E-07,0.00027443,5.96842E-05,0.213137,0.213138,3.8
B,0,1000,3.818,1,4,0.269899,0.268875,0.0651182,-2.8508E-07,3.31935E-07,-0.0651231,0.0851801,-0.00571017,0.0862938,0.0107898,0.00150935,0.00177513,0.0098607,0.00990837,0.0640145,0.0193491,0.0189457,0.024834,0.0248488,1.29869E-06,1.3013E-06,0.00386857,0.00383288,0.101895,0,0.0465615,0,0.26945,0.269666,3.78096
A,0,20000,0,1,0,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865988,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476246,0.00476354,2.45247E-07,2.45438E-07,0.00384452,0.00383312,5.48347E-22,3.17374E-23,3.41569E-12,8.21744E-13,0.213981,0.213981,-0.0165756
B,0,20000,0,1,0,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,5.66675E-23,0,1.09804E-12,0,0.214234,0.214234,-0.0331465
A,0,20000,0,1,1,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865988,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476246,0.00476354,2.45247E-07,2.45438E-07,0.00384452,0.00383312,1.5934E-26,1.59339E-26,1.84165E-14,1.84163E-14,0.213981,0.213981,-0.0165756
B,0,20000,0,1,1,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,3.02857E-26,0,2.53912E-14,0,0.214234,0.214234,-0.0331465
A,0,20000,0,1,2,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865988,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476246,0.00476354,2.45247E-07,2.45438E-07,0.00384452,0.00383312,1.58222E-26,3.17377E-23,1.83964E-14,8.21748E-13,0.213981,0.213981,-0.0165756
B,0,20000,0,1,2,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,5.66674E-23,0,1.09804E-12,0,0.214234,0.214234,-0.0331465
A,0,20000,0,1,3,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865988,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476246,0.00476354,2.45247E-07,2.45438E-07,0.00384452,0.00383312,5.48351E-22,1.62207E-26,3.4157E-12,1.8575E-14,0.213981,0.213981,-0.0165756
B,0,20000,0,1,3,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,5.66673E-23,0,1.09804E-12,0,0.214234,0.214234,-0.0331465
A,0,20000,0,1,4,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865988,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476246,0.00476354,2.45247E-07,2.45438E-07,0.00384452,0.00383312,5.48347E-22,3.17374E-23,3.41569E-12,8.21744E-13,0.213981,0.213981,-0.0165756
B,0,20000,0,1,4,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,3.02522E-26,0,2.52268E-14,0,0.214234,0.214234,-0.0331465
A,0,20000,0.4243,1,0,0.213971,0.213512,0.0146045,0.0145085,-0.0145129,-0.0146033,0.086598,-0.00641391,0.0863847,0.0109835,0.00150947,0.00177557,0.00986077,0.00990889,0.0640757,0.0193251,0.0189111,0.00476248,0.00476356,2.45269E-07,2.45465E-07,0.00384455,0.00383311,4.36874E-08,2.06632E-09,3.04881E-05,6.63056E-06,0.213971,0.213971,0.407533
B,0,20000,0.4243,1,0,0.214233,0.213267,0.0145609,0.0145537,-0.0145544,-0.01456,0.0867038,-0.00641407,0.0862773,0.0109834,0.00150946,0.00177554,0.00986069,0.00990884,0.0640031,0.0193614,0.0189466,0.00476297,0.00476297,2.45219E-07,2.45498E-07,0.00384444,0.00383306,8.93019E-10,0,4.35895E-06,0,0.214233,0.214233,0.390641
A,0,20000,0.4243,1,1,0.212826,0.21241,0.0237837,0.00581036,-0.00592198,-0.0236755,0.0865368,-0.00624437,0.0863848,0.010981,0.00150947,0.00177549,0.00986074,0.00990886,0.0640757,0.0193249,0.0189112,0.00574546,0.00572426,2.93447E-07,2.92763E-07,0.00384633,0.00383311,0.00190651,0.00190651,0.006369,0.006369,0.212825,0.212825,0.407056
B,0,20000,0.4243,1,1,0.213429,0.212479,0.0190903,0.0101272,-0.0101851,-0.0190324,0.0866787,-0.0063375,0.0862774,0.0109827,0.00150946,0.0017755,0.00986068,0.00990882,0.0640031,0.0193613,0.0189467,0.00500525,0.00499948,2.57368E-07,2.57436E-07,0.00384492,0.00383306,0.00190324,0,0.00636353,0,0.213429,0.213429,0.38988
A,0,20000,0.4243,1,2,0.213169,0.212728,0.0191166,0.0101006,-0.0101599,-0.0190606,0.0865728,-0.00633681,0.0863848,0.0109828,0.00150947,0.00177554,0.00986075,0.00990888,0.0640757,0.019325,0.0189111,0.00500827,0.00500356,2.57587E-07,2.57567E-07,0.00384503,0.00383311,0.00190901,2.06404E-09,0.00637317,6.6269E-06,0.213168,0.213168,0.407295
B,0,20000,0.4243,1,2,0.214233,0.213267,0.0145609,0.0145537,-0.0145544,-0.01456,0.0867038,-0.00641405,0.0862773,0.0109834,0.00150946,0.00177554,0.00986069,0.00990884,0.0640031,0.0193614,0.0189466,0.00476297,0.00476297,2.45219E-07,2.45498E-07,0.00384444,0.00383306,8.92034E-10,0,4.35655E-06,0,0.214233,0.214233,0.390671
A,0,20000,0.4243,1,3,0.213167,0.212726,0.0191337,0.0100843,-0.0101438,-0.0190775,0.0865727,-0.00633647,0.0863848,0.0109828,0.00150947,0.00177554,0.00986075,0.00990888,0.0640757,0.019325,0.0189111,0.0050101,0.00500535,2.57677E-07,2.57655E-07,0.00384503,0.00383311,4.3639E-08,0.001909,3.04712E-05,0.00637315,0.213166,0.213166,0.407291
B,0,20000,0.4243,1,3,0.214233,0.213267,0.0145609,0.0145537,-0.0145544,-0.01456,0.0867038,-0.00641405,0.0862773,0.0109834,0.00150946,0.00177554,0.00986069,0.00990884,0.0640031,0.0193614,0.0189466,0.00476297,0.00476297,2.45219E-07,2.45498E-07,0.00384444,0.00383306,8.92029E-10,0,4.35653E-06,0,0.214233,0.214233,0.390669
