blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk
B,0,1000,1.4142,1,2,0.293168,0.293573,0.020122,0.0200723,-0.0201881,-0.0202236,0.0868561,-0.00645476,0.0853017,0.0110712,0.00148501,0.0016604,0.00982967,0.00981688,0.0630868,0.0189534,0.0186016,0.00906098,0.00906098,3.84042E-07,7.61352E-08,0.00386979,0.00374981,9.9309E-09,0,1.4536E-05,0,0.293168,0.293168,1.38517
A,0,1000,1.4142,1,3,0.286021,0.287205,0.032604,0.0081665,-0.00827199,-0.0327258,0.0866521,-0.00628024,0.0853919,0.0110655,0.00148501,0.00166066,0.0098294,0.0098169,0.0631477,0.0189225,0.0185718,0.010859,0.010856,4.83694E-07,9.90382E-08,0.00387321,0.00374983,4.85671E-07,0.0139983,0.000101654,0.0172579,0.285849,0.285922,1.39953
B,0,1000,1.4142,1,3,0.293168,0.293573,0.020122,0.0200723,-0.0201881,-0.0202236,0.0868561,-0.00645476,0.0853017,0.0110712,0.00148501,0.0016604,0.00982967,0.00981688,0.0630868,0.0189534,0.0186016,0.00906098,0.00906098,3.84042E-07,7.61352E-08,0.00386979,0.00374981,9.93087E-09,0,1.4536E-05,0,0.293168,0.293168,1.38517
A,0,1000,1.4142,1,4,0.292766,0.293771,0.0202683,0.0199242,-0.0200768,-0.0203371,0.0867647,-0.00645287,0.0853922,0.0110713,0.00148501,0.00166043,0.00982968,0.0098169,0.0631478,0.0189227,0.0185716,0.00906067,0.0090622,3.84548E-07,7.61227E-08,0.00386997,0.00374983,4.85672E-07,2.29719E-08,0.000101654,2.2108E-05,0.292766,0.292766,1.39971
B,0,1000,1.4142,1,4,0.286445,0.286958,0.0324814,0.00827721,-0.00838132,-0.0326006,0.0867438,-0.00628178,0.0853019,0.0110654,0.001485,0.00166062,0.0098294,0.00981688,0.0630869,0.0189531,0.0186019,0.0108268,0.010818,4.81583E-07,9.87229E-08,0.00387302,0.00374981,0.0139936,0,0.0172551,0,0.28624,0.286383,1.38515
A,0,1000,2.8284,1,0,0.292337,0.293436,0.020432,0.019743,-0.0199388,-0.020458,0.0867265,-0.00643432,0.0853951,0.01107,0.00148501,0.0016604,0.00982969,0.0098169,0.0631494,0.0189215,0.0185711,0.00905819,0.00905966,3.87806E-07,7.78443E-08,0.00386985,0.00374983,1.94304E-06,9.19044E-08,0.000203326,4.42201E-05,0.292336,0.292337,2.81361
B,0,1000,2.8284,1,0,0.293057,0.293551,0.0201389,0.0200389,-0.0201612,-0.0202335,0.0868224,-0.00643825,0.0853047,0.01107,0.00148501,0.00166036,0.00982969,0.00981688,0.0630885,0.0189521,0.0186011,0.00905771,0.00905768,3.86583E-07,7.76123E-08,0.00386965,0.00374981,3.97307E-08,0,2.90746E-05,0,0.293056,0.293057,2.79905
A,0,1000,2.8284,1,1,0.395214,0.397219,0.0967286,-1.05795E-06,1.51826E-06,-0.0972908,0.0861831,-0.00580417,0.085398,0.0108822,0.00148479,0.00167578,0.00981436,0.00981601,0.063149,0.0189219,0.0185711,0.0543537,0.0544367,2.93251E-06,7.07376E-07,0.00399517,0.00374982,0.055981,0.055981,0.0345121,0.0345121,0.394143,0.395344,2.81306
B,0,1000,2.8284,1,1,0.277713,0.27851,0.0482941,2.60351E-05,-3.36746E-05,-0.0485663,0.0864171,-0.00610314,0.0853022,0.0110382,0.00148498,0.00166216,0.00982775,0.00981682,0.0630877,0.0189517,0.0186023,0.0169218,0.016919,8.26944E-07,1.82975E-07,0.00388805,0.0037498,0.0559493,0,0.0345024,0,0.277103,0.277784,2.79814
A,0,1000,2.8284,1,2,0.277878,0.278999,0.0485903,2.13053E-05,-2.75631E-05,-0.048862,0.0863246,-0.0061017,0.0853956,0.0110379,0.00148498,0.00166229,0.00982768,0.00981681,0.0631494,0.0189207,0.0185718,0.0170599,0.0170381,8.35113E-07,1.84297E-07,0.00388889,0.00374982,0.0559837,9.1833E-08,0.0345129,4.42029E-05,0.277407,0.277812,2.81339
B,0,1000,2.8284,1,2,0.293057,0.293551,0.0201389,0.0200389,-0.0201612,-0.0202335,0.0868225,-0.00643825,0.0853047,0.01107,0.00148501,0.00166036,0.0098297,0.00981687,0.0630885,0.0189522,0.0186011,0.00905771,0.00905769,3.86583E-07,7.76096E-08,0.00386965,0.00374981,3.96998E-08,0,2.90633E-05,0,0.293055,0.293057,2.79888
A,0,1000,2.8284,1,3,0.278072,0.279203,0.0487675,1.88442E-05,-2.44588E-05,-0.0490425,0.0863233,-0.00610062,0.0853955,0.0110375,0.00148498,0.00166232,0.00982765,0.00981681,0.0631494,0.0189207,0.0185718,0.0171391,0.0171188,8.39467E-07,1.85359E-07,0.00388914,0.00374982,1.94152E-06,0.0559835,0.000203246,0.0345129,0.277602,0.278006,2.81339
B,0,1000,2.8284,1,3,0.293057,0.293551,0.0201389,0.0200389,-0.0201612,-0.0202335,0.0868225,-0.00643825,0.0853047,0.01107,0.00148501,0.00166036,0.0098297,0.00981687,0.0630885,0.0189522,0.0186011,0.00905771,0.00905769,3.86583E-07,7.76096E-08,0.00386965,0.00374981,3.96997E-08,0,2.90633E-05,0,0.293055,0.293057,2.79888
A,0,1000,2.8284,1,4,0.292337,0.293436,0.020432,0.019743,-0.0199387,-0.0204581,0.0867265,-0.00643432,0.0853952,0.01107,0.00148501,0.0016604,0.00982969,0.00981689,0.0631495,0.0189215,0.0185711,0.00905819,0.00905966,3.87807E-07,7.78428E-08,0.00386986,0.00374983,1.94248E-06,9.18779E-08,0.000203296,4.42137E-05,0.292335,0.292337,2.81369
B,0,1000,2.8284,1,4,0.277854,0.278412,0.0483115,2.58308E-05,-3.32651E-05,-0.0485775,0.0864163,-0.00610321,0.0853048,0.0110383,0.00148498,0.00166219,0.00982774,0.0098168,0.0630885,0.0189513,0.0186019,0.016935,0.0169149,8.27587E-07,1.82942E-07,0.00388823,0.00374981,0.0559728,0,0.0345096,0,0.277416,0.277753,2.79879
