mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
3db,1m,2,2.7n,999231,54.0267,77.9043,100k
3db,1m,2,3.3n,1.02481E+06,48.4361,77.9043,100k
3db,1m,2,4.7n,1.05073E+06,36.1739,77.9043,100k
3db,1k,1,1f,871859,73.6348,77.9044,100k
3db,1k,1,47p,873785,73.3659,77.9044,100k
3db,1k,1,100p,875854,73.0606,77.9044,100k
3db,1k,1,220p,880097,72.3642,77.9044,100k
3db,1k,1,470p,886695,70.9197,77.9044,100k
3db,1k,1,1n,889439,68.1626,77.9044,100k
3db,1k,1,1.5n,879632,66.2735,77.9044,100k
3db,1k,1,2.2n,855378,64.8395,77.9044,100k
3db,1k,1,2.7n,836314,64.4374,77.9044,100k
3db,1k,1,3.3n,814713,64.3659,77.9044,100k
3db,1k,1,4.7n,774128,65.0051,77.9044,100k
3db,1k,2,1f,871859,73.6348,77.9044,100k
3db,1k,2,47p,873833,73.3655,77.9044,100k
3db,1k,2,100p,876070,73.0591,77.9044,100k
3db,1k,2,220p,881171,72.355,77.9044,100k
3db,1k,2,470p,891971,70.8395,77.9044,100k
3db,1k,2,1n,916142,67.377,77.9044,100k
3db,1k,2,1.5n,940188,63.7741,77.9044,100k
3db,1k,2,2.2n,974906,58.1418,77.9044,100k
3db,1k,2,2.7n,999107,53.7189,77.9043,100k
3db,1k,2,3.3n,1.02467E+06,48.1222,77.9043,100k
3db,1k,2,4.7n,1.05059E+06,35.8539,77.9043,100k
3db,2.5k,1,1f,871626,73.2318,77.9044,100k
3db,2.5k,1,47p,873550,72.9622,77.9044,100k
3db,2.5k,1,100p,875617,72.656,77.9044,100k
3db,2.5k,1,220p,879856,71.9579,77.9044,100k
3db,2.5k,1,470p,886447,70.511,77.9044,100k
3db,2.5k,1,1n,889190,67.7536,77.9044,100k
3db,2.5k,1,1.5n,879397,65.8693,77.9044,100k
3db,2.5k,1,2.2n,855172,64.4458,77.9044,100k
3db,2.5k,1,2.7n,836127,64.0519,77.9044,100k
3db,2.5k,1,3.3n,814544,63.9897,77.9044,100k
3db,2.5k,1,4.7n,773988,64.6465,77.9044,100k
3db,2.5k,2,1f,871626,73.2318,77.9044,100k
3db,2.5k,2,47p,873598,72.9617,77.9044,100k
3db,2.5k,2,100p,875832,72.6544,77.9044,100k
3db,2.5k,2,220p,880928,71.9482,77.9044,100k
3db,2.5k,2,470p,891710,70.4286,77.9044,100k
3db,2.5k,2,1n,915845,66.9571,77.9044,100k
3db,2.5k,2,1.5n,939851,63.3457,77.9044,100k
3db,2.5k,2,2.2n,974509,57.7022,77.9044,100k
3db,2.5k,2,2.7n,998662,53.2727,77.9043,100k
3db,2.5k,2,3.3n,1.02416E+06,47.6715,77.9043,100k
3db,2.5k,2,4.7n,1.05009E+06,35.3994,77.9043,100k
3db,2.571k,1,1f,871611,73.2129,77.9044,100k
3db,2.571k,1,47p,873535,72.9432,77.9044,100k
3db,2.571k,1,100p,875602,72.637,77.9044,100k
3db,2.571k,1,220p,879840,71.9389,77.9044,100k
3db,2.571k,1,470p,886431,70.4918,77.9044,100k
3db,2.571k,1,1n,889174,67.7344,77.9044,100k
3db,2.571k,1,1.5n,879382,65.8503,77.9044,100k
3db,2.571k,1,2.2n,855159,64.4273,77.9044,100k
3db,2.571k,1,2.7n,836115,64.0338,77.9044,100k
3db,2.571k,1,3.3n,814533,63.972,77.9044,100k
3db,2.571k,1,4.7n,773979,64.6296,77.9044,100k
3db,2.571k,2,1f,871611,73.2129,77.9044,100k
3db,2.571k,2,47p,873583,72.9428,77.9044,100k
3db,2.571k,2,100p,875817,72.6354,77.9044,100k
3db,2.571k,2,220p,880912,71.9292,77.9044,100k
3db,2.571k,2,470p,891694,70.4094,77.9044,100k
3db,2.571k,2,1n,915826,66.9375,77.9044,100k
