mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,2.571k,2,2.2n,438058,63.9427,80.9984,10k
0db,2.571k,2,2.7n,439798,62.7749,80.9984,10k
0db,2.571k,2,3.3n,441704,61.3608,80.9983,10k
0db,2.571k,2,4.7n,445282,58.03,80.9983,10k
0db,2.611k,1,1f,429247,68.9071,80.9984,10k
0db,2.611k,1,47p,429447,68.8053,80.9984,10k
0db,2.611k,1,100p,429661,68.6903,80.9985,10k
0db,2.611k,1,220p,430102,68.4297,80.9985,10k
0db,2.611k,1,470p,430814,67.8885,80.9985,10k
0db,2.611k,1,1n,431380,66.7691,80.9985,10k
0db,2.611k,1,1.5n,430751,65.7832,80.9985,10k
0db,2.611k,1,2.2n,428191,64.5759,80.9985,10k
0db,2.611k,1,2.7n,425442,63.8577,80.9986,10k
0db,2.611k,1,3.3n,421489,63.157,80.9986,10k
0db,2.611k,1,4.7n,411014,62.1267,80.9987,10k
0db,2.611k,2,1f,429247,68.9071,80.9984,10k
0db,2.611k,2,47p,429453,68.8042,80.9984,10k
0db,2.611k,2,100p,429685,68.688,80.9984,10k
0db,2.611k,2,220p,430206,68.4242,80.9984,10k
0db,2.611k,2,470p,431277,67.8713,80.9984,10k
0db,2.611k,2,1n,433473,66.6855,80.9984,10k
0db,2.611k,2,1.5n,435442,65.5509,80.9984,10k
0db,2.611k,2,2.2n,438057,63.9373,80.9984,10k
0db,2.611k,2,2.7n,439797,62.7694,80.9984,10k
0db,2.611k,2,3.3n,441703,61.3554,80.9983,10k
0db,2.611k,2,4.7n,445281,58.0245,80.9983,10k
3db,1m,1,1f,369789,82.5705,77.7138,100k
3db,1m,1,47p,369943,82.4831,77.7138,100k
3db,1m,1,100p,370108,82.3847,77.7138,100k
3db,1m,1,220p,370448,82.1618,77.7138,100k
3db,1m,1,470p,370998,81.6998,77.7138,100k
3db,1m,1,1n,371442,80.7442,77.7138,100k
3db,1m,1,1.5n,370968,79.8958,77.7138,100k
3db,1m,1,2.2n,368978,78.8356,77.7138,100k
3db,1m,1,2.7n,366768,78.1867,77.7138,100k
3db,1m,1,3.3n,363470,77.5337,77.7138,100k
3db,1m,1,4.7n,354454,76.4866,77.7137,100k
3db,1m,2,1f,369789,82.5705,77.7138,100k
3db,1m,2,47p,369946,82.483,77.7138,100k
3db,1m,2,100p,370124,82.3842,77.7138,100k
3db,1m,2,220p,370522,82.1601,77.7138,100k
3db,1m,2,470p,371340,81.6911,77.7138,100k
3db,1m,2,1n,373053,80.6853,77.7138,100k
3db,1m,2,1.5n,374592,79.7257,77.7138,100k
3db,1m,2,2.2n,376601,78.3675,77.7137,100k
3db,1m,2,2.7n,377922,77.3885,77.7137,100k
3db,1m,2,3.3n,379372,76.2062,77.7137,100k
3db,1m,2,4.7n,382178,73.4253,77.7137,100k
3db,1k,1,1f,369783,82.4544,77.7138,100k
3db,1k,1,47p,369937,82.367,77.7138,100k
3db,1k,1,100p,370103,82.2685,77.7138,100k
3db,1k,1,220p,370442,82.0456,77.7138,100k
3db,1k,1,470p,370993,81.5833,77.7138,100k
3db,1k,1,1n,371437,80.6276,77.7138,100k
3db,1k,1,1.5n,370962,79.7793,77.7138,100k
3db,1k,1,2.2n,368973,78.7198,77.7138,100k
3db,1k,1,2.7n,366763,78.0716,77.7138,100k
3db,1k,1,3.3n,363465,77.4197,77.7138,100k
3db,1k,1,4.7n,354449,76.3753,77.7137,100k
3db,1k,2,1f,369783,82.4544,77.7138,100k
3db,1k,2,47p,369941,82.3669,77.7138,100k
3db,1k,2,100p,370118,82.268,77.7138,100k
3db,1k,2,220p,370517,82.0438,77.7138,100k
3db,1k,2,470p,371334,81.5745,77.7138,100k
3db,1k,2,1n,373047,80.5682,77.7138,100k
3db,1k,2,1.5n,374586,79.6082,77.7138,100k
3db,1k,2,2.2n,376595,78.2494,77.7137,100k
3db,1k,2,2.7n,377916,77.27,77.7137,100k
3db,1k,2,3.3n,379366,76.0873,77.7137,100k
3db,1k,2,4.7n,382171,73.3055,77.7137,100k
3db,2.5k,1,1f,369764,82.2812,77.7138,100k
3db,2.5k,1,47p,369918,82.1937,77.7138,100k
3db,2.5k,1,100p,370083,82.0951,77.7138,100k
3db,2.5k,1,220p,370423,81.8721,77.7138,100k
3db,2.5k,1,470p,370973,81.4096,77.7138,100k
3db,2.5k,1,1n,371417,80.4537,77.7138,100k
3db,2.5k,1,1.5n,370943,79.6057,77.7138,100k
3db,2.5k,1,2.2n,368954,78.5471,77.7138,100k
3db,2.5k,1,2.7n,366745,77.9,77.7138,100k
3db,2.5k,1,3.3n,363447,77.2496,77.7138,100k
3db,2.5k,1,4.7n,354434,76.2094,77.7137,100k
3db,2.5k,2,1f,369764,82.2812,77.7138,100k
3db,2.5k,2,47p,369922,82.1936,77.7138,100k
3db,2.5k,2,100p,370099,82.0947,77.7138,100k
3db,2.5k,2,220p,370497,81.8702,77.7138,100k
3db,2.5k,2,470p,371315,81.4006,77.7138,100k
3db,2.5k,2,1n,373026,80.3936,77.7138,100k
3db,2.5k,2,1.5n,374566,79.4329,77.7138,100k
3db,2.5k,2,2.2n,376574,78.0733,77.7137,100k
3db,2.5k,2,2.7n,377895,77.0933,77.7137,100k
3db,2.5k,2,3.3n,379344,75.91,77.7137,100k
3db,2.5k,2,4.7n,382148,73.1272,77.7137,100k
3db,2.571k,1,1f,369763,82.273,77.7138,100k
3db,2.571k,1,47p,369917,82.1856,77.7138,100k
3db,2.571k,1,100p,370082,82.087,77.7138,100k
3db,2.571k,1,220p,370422,81.8639,77.7138,100k
3db,2.571k,1,470p,370972,81.4014,77.7138,100k
3db,2.571k,1,1n,371416,80.4455,77.7138,100k
3db,2.571k,1,1.5n,370942,79.5975,77.7138,100k
3db,2.571k,1,2.2n,368952,78.539,77.7138,100k
3db,2.571k,1,2.7n,366743,77.8919,77.7138,100k
3db,2.571k,1,3.3n,363446,77.2416,77.7138,100k
3db,2.571k,1,4.7n,354433,76.2015,77.7137,100k
3db,2.571k,2,1f,369763,82.273,77.7138,100k
3db,2.571k,2,47p,369920,82.1854,77.7138,100k
3db,2.571k,2,100p,370098,82.0865,77.7138,100k
3db,2.571k,2,220p,370496,81.8621,77.7138,100k
3db,2.571k,2,470p,371313,81.3924,77.7138,100k
3db,2.571k,2,1n,373025,80.3854,77.7138,100k
3db,2.571k,2,1.5n,374564,79.4246,77.7138,100k
3db,2.571k,2,2.2n,376573,78.065,77.7137,100k
3db,2.571k,2,2.7n,377894,77.085,77.7137,100k
3db,2.571k,2,3.3n,379343,75.9017,77.7137,100k
3db,2.571k,2,4.7n,382147,73.1188,77.7137,100k
3db,2.611k,1,1f,369762,82.2684,77.7138,100k
3db,2.611k,1,47p,369916,82.181,77.7138,100k
3db,2.611k,1,100p,370081,82.0824,77.7138,100k
3db,2.611k,1,220p,370421,81.8593,77.7138,100k
3db,2.611k,1,470p,370971,81.3968,77.7138,100k
3db,2.611k,1,1n,371415,80.4409,77.7138,100k
3db,2.611k,1,1.5n,370941,79.5929,77.7138,100k
3db,2.611k,1,2.2n,368952,78.5344,77.7138,100k
3db,2.611k,1,2.7n,366743,77.8873,77.7138,100k
3db,2.611k,1,3.3n,363446,77.2371,77.7138,100k
3db,2.611k,1,4.7n,354432,76.1971,77.7137,100k
3db,2.611k,2,1f,369762,82.2684,77.7138,100k
3db,2.611k,2,47p,369920,82.1808,77.7138,100k
3db,2.611k,2,100p,370097,82.0819,77.7138,100k
3db,2.611k,2,220p,370495,81.8575,77.7138,100k
3db,2.611k,2,470p,371313,81.3878,77.7138,100k
3db,2.611k,2,1n,373024,80.3807,77.7138,100k
3db,2.611k,2,1.5n,374563,79.42,77.7138,100k
3db,2.611k,2,2.2n,376572,78.0603,77.7137,100k
3db,2.611k,2,2.7n,377893,77.0803,77.7137,100k
3db,2.611k,2,3.3n,379342,75.897,77.7137,100k
3db,2.611k,2,4.7n,382146,73.1141,77.7137,100k
3db,1m,1,1f,369262,82.5763,77.5345,10k
3db,1m,1,47p,369414,82.4899,77.5345,10k
3db,1m,1,100p,369578,82.3925,77.5345,10k
3db,1m,1,220p,369913,82.1722,77.5345,10k
3db,1m,1,470p,370457,81.7153,77.5345,10k
3db,1m,1,1n,370900,80.77,77.5345,10k
3db,1m,1,1.5n,370440,79.9304,77.5345,10k
3db,1m,1,2.2n,368491,78.8797,77.5346,10k
3db,1m,1,2.7n,366320,78.2356,77.5346,10k
3db,1m,1,3.3n,363075,77.586,77.5346,10k
3db,1m,1,4.7n,354192,76.539,77.5347,10k
3db,1m,2,1f,369262,82.5763,77.5345,10k
3db,1m,2,47p,369419,82.489,77.5345,10k
3db,1m,2,100p,369596,82.3905,77.5345,10k
3db,1m,2,220p,369992,82.167,77.5345,10k
3db,1m,2,470p,370805,81.6992,77.5345,10k
3db,1m,2,1n,372495,80.6972,77.5344,10k
3db,1m,2,1.5n,374026,79.7404,77.5344,10k
3db,1m,2,2.2n,376024,78.3862,77.5344,10k
3db,1m,2,2.7n,377337,77.4102,77.5344,10k
3db,1m,2,3.3n,378779,76.2315,77.5344,10k
3db,1m,2,4.7n,381551,73.4608,77.5343,10k
3db,1k,1,1f,369257,82.4603,77.5345,10k
3db,1k,1,47p,369409,82.3739,77.5345,10k
3db,1k,1,100p,369572,82.2765,77.5345,10k
3db,1k,1,220p,369907,82.056,77.5345,10k
3db,1k,1,470p,370451,81.599,77.5345,10k
3db,1k,1,1n,370894,80.6536,77.5345,10k
3db,1k,1,1.5n,370435,79.8141,77.5345,10k
3db,1k,1,2.2n,368486,78.7641,77.5346,10k
3db,1k,1,2.7n,366315,78.1206,77.5346,10k
3db,1k,1,3.3n,363070,77.4721,77.5346,10k
3db,1k,1,4.7n,354188,76.4279,77.5347,10k
3db,1k,2,1f,369257,82.4603,77.5345,10k
3db,1k,2,47p,369414,82.373,77.5345,10k
3db,1k,2,100p,369590,82.2745,77.5345,10k
3db,1k,2,220p,369986,82.0508,77.5345,10k
3db,1k,2,470p,370800,81.5828,77.5345,10k
3db,1k,2,1n,372489,80.5803,77.5344,10k
3db,1k,2,1.5n,374020,79.623,77.5344,10k
3db,1k,2,2.2n,376018,78.2682,77.5344,10k
3db,1k,2,2.7n,377331,77.2918,77.5344,10k
3db,1k,2,3.3n,378773,76.1127,77.5344,10k
3db,1k,2,4.7n,381545,73.3411,77.5343,10k
3db,2.5k,1,1f,369238,82.2874,77.5345,10k
3db,2.5k,1,47p,369390,82.2009,77.5345,10k
3db,2.5k,1,100p,369553,82.1034,77.5345,10k
3db,2.5k,1,220p,369888,81.8828,77.5345,10k
3db,2.5k,1,470p,370432,81.4255,77.5345,10k
3db,2.5k,1,1n,370875,80.48,77.5345,10k
3db,2.5k,1,1.5n,370415,79.6407,77.5345,10k
3db,2.5k,1,2.2n,368467,78.5916,77.5346,10k
3db,2.5k,1,2.7n,366297,77.9492,77.5346,10k
3db,2.5k,1,3.3n,363052,77.3022,77.5346,10k
3db,2.5k,1,4.7n,354172,76.262,77.5347,10k
3db,2.5k,2,1f,369238,82.2874,77.5345,10k
3db,2.5k,2,47p,369394,82.2,77.5345,10k
3db,2.5k,2,100p,369571,82.1014,77.5345,10k
3db,2.5k,2,220p,369967,81.8775,77.5345,10k
3db,2.5k,2,470p,370780,81.4092,77.5345,10k
3db,2.5k,2,1n,372469,80.4059,77.5344,10k
3db,2.5k,2,1.5n,373999,79.448,77.5344,10k
3db,2.5k,2,2.2n,375996,78.0924,77.5344,10k
3db,2.5k,2,2.7n,377310,77.1154,77.5344,10k
3db,2.5k,2,3.3n,378751,75.9357,77.5344,10k
3db,2.5k,2,4.7n,381522,73.1631,77.5343,10k
3db,2.571k,1,1f,369236,82.2792,77.5345,10k
3db,2.571k,1,47p,369388,82.1927,77.5345,10k
3db,2.571k,1,100p,369552,82.0952,77.5345,10k
3db,2.571k,1,220p,369887,81.8746,77.5345,10k
3db,2.571k,1,470p,370431,81.4173,77.5345,10k
3db,2.571k,1,1n,370874,80.4718,77.5345,10k
3db,2.571k,1,1.5n,370414,79.6325,77.5345,10k
3db,2.571k,1,2.2n,368466,78.5835,77.5346,10k
3db,2.571k,1,2.7n,366296,77.9411,77.5346,10k
3db,2.571k,1,3.3n,363051,77.2942,77.5346,10k
3db,2.571k,1,4.7n,354171,76.2542,77.5347,10k
3db,2.571k,2,1f,369236,82.2792,77.5345,10k
3db,2.571k,2,47p,369393,82.1918,77.5345,10k
3db,2.571k,2,100p,369570,82.0932,77.5345,10k
3db,2.571k,2,220p,369966,81.8694,77.5345,10k
3db,2.571k,2,470p,370779,81.401,77.5345,10k
3db,2.571k,2,1n,372467,80.3977,77.5344,10k
3db,2.571k,2,1.5n,373998,79.4398,77.5344,10k
3db,2.571k,2,2.2n,375995,78.0841,77.5344,10k
3db,2.571k,2,2.7n,377309,77.1071,77.5344,10k
3db,2.571k,2,3.3n,378750,75.9274,77.5344,10k
3db,2.571k,2,4.7n,381521,73.1547,77.5343,10k
3db,2.611k,1,1f,369236,82.2746,77.5345,10k
3db,2.611k,1,47p,369388,82.1881,77.5345,10k
3db,2.611k,1,100p,369551,82.0906,77.5345,10k
3db,2.611k,1,220p,369886,81.87,77.5345,10k
3db,2.611k,1,470p,370430,81.4127,77.5345,10k
3db,2.611k,1,1n,370873,80.4672,77.5345,10k
3db,2.611k,1,1.5n,370413,79.6279,77.5345,10k
3db,2.611k,1,2.2n,368465,78.5789,77.5346,10k
3db,2.611k,1,2.7n,366295,77.9366,77.5346,10k
3db,2.611k,1,3.3n,363051,77.2896,77.5346,10k
3db,2.611k,1,4.7n,354171,76.2498,77.5347,10k
3db,2.611k,2,1f,369236,82.2746,77.5345,10k
3db,2.611k,2,47p,369393,82.1872,77.5345,10k
3db,2.611k,2,100p,369569,82.0886,77.5345,10k
3db,2.611k,2,220p,369965,81.8648,77.5345,10k
