out,trim,att,mode,zrmax,zr20,zr1k,zr20k,zm20,zm1k,zn1k,zn20k
fix2,0,100,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,0,0db,60.0371,60.0371,47.0181,47.0108,1693.38,57.9341,0.0266735,0.274068
fix1,6,0,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,0,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,0,3db,60.0468,60.0468,47.0277,47.0314,1693.38,57.9386,0.0378783,0.388407
fix1,6,0,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,0,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,0,10db,60.0864,60.0864,47.0676,47.1351,1693.38,57.9573,0.0840525,0.857916
fix1,6,0,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,0,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,25,0db,60.0371,60.0371,47.0181,47.0107,1693.38,57.9341,0.0266733,0.274068
fix1,6,25,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,25,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,25,3db,60.0468,60.0468,47.0277,47.0314,1693.38,57.9386,0.037878,0.388408
fix1,6,25,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,25,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,25,10db,60.0864,60.0864,47.0675,47.1349,1693.38,57.9573,0.0840514,0.857926
fix1,6,25,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,25,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,50,0db,60.0371,60.0371,47.0181,47.0107,1693.38,57.9341,0.0266731,0.274068
fix1,6,50,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,50,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,50,3db,60.0468,60.0468,47.0277,47.0313,1693.38,57.9386,0.0378776,0.388408
fix1,6,50,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,50,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,50,10db,60.0864,60.0864,47.0675,47.1348,1693.38,57.9573,0.0840502,0.857926
fix1,6,50,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,50,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,75,0db,60.0371,60.0371,47.0181,47.0107,1693.38,57.9341,0.0266729,0.274067
fix1,6,75,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,75,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,75,3db,60.0467,60.0467,47.0277,47.0313,1693.38,57.9386,0.0378773,0.388406
fix1,6,75,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,75,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,75,10db,60.0864,60.0864,47.0675,47.1349,1693.38,57.9573,0.0840492,0.857921
fix1,6,75,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,75,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,100,0db,60.0371,60.0371,47.0181,47.0107,1693.38,57.9341,0.0266726,0.274065
fix1,6,100,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,100,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,100,3db,60.0467,60.0467,47.0277,47.0314,1693.38,57.9386,0.0378769,0.388403
fix1,6,100,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,100,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,6,100,10db,60.0864,60.0864,47.0675,47.135,1693.38,57.9573,0.084048,0.857907
fix1,6,100,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,6,100,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,0,0db,60.0371,60.0371,47.0181,47.0108,1693.38,57.9341,0.0266735,0.274068
fix1,12,0,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,0,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,0,3db,60.0468,60.0468,47.0277,47.0314,1693.38,57.9386,0.0378782,0.388407
fix1,12,0,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,0,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,0,10db,60.0864,60.0864,47.0676,47.1351,1693.38,57.9573,0.0840526,0.857916
fix1,12,0,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,0,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,25,0db,60.0371,60.0371,47.0181,47.0107,1693.38,57.9341,0.0266734,0.274069
fix1,12,25,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,25,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,25,3db,60.0468,60.0468,47.0277,47.0314,1693.38,57.9386,0.0378781,0.388408
fix1,12,25,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,25,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,25,10db,60.0864,60.0864,47.0676,47.1349,1693.38,57.9573,0.084052,0.857927
fix1,12,25,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,25,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,50,0db,60.0371,60.0371,47.0181,47.0107,1693.38,57.9341,0.0266732,0.274069
fix1,12,50,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,50,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,50,3db,60.0468,60.0468,47.0277,47.0313,1693.38,57.9386,0.037878,0.388409
fix1,12,50,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,50,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,50,10db,60.0864,60.0864,47.0675,47.1348,1693.38,57.9573,0.0840514,0.85793
fix1,12,50,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,50,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,75,0db,60.0371,60.0371,47.0181,47.0107,1693.38,57.9341,0.0266732,0.274068
fix1,12,75,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,75,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,75,3db,60.0468,60.0468,47.0277,47.0313,1693.38,57.9386,0.0378778,0.388408
fix1,12,75,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,75,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,75,10db,60.0864,60.0864,47.0675,47.1349,1693.38,57.9573,0.0840509,0.857925
fix1,12,75,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,75,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,100,0db,60.0371,60.0371,47.0181,47.0108,1693.38,57.9341,0.0266731,0.274067
fix1,12,100,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,100,0db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,100,3db,60.0468,60.0468,47.0277,47.0314,1693.38,57.9386,0.0378776,0.388405
fix1,12,100,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,100,3db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
main,12,100,10db,60.0864,60.0864,47.0675,47.135,1693.38,57.9573,0.0840503,0.857913
fix1,12,100,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
fix2,12,100,10db,53.1186,53.1186,47.0207,47.0176,1693.61,57.9407,0.0266749,0.273952
