cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
rmai_g10t0_dnmaxmax,rmai_g10t0_dnmaxmax.dat,rif_dnmaxmax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t0_dnmaxmax,rsempre_g10t0_dnmaxmax.dat,rif_dnmaxmax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g0t0_dnmaxmax,rmai_g0t0_dnmaxmax.dat,rif_dnmaxmax,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g0t0_dnmaxmax,rsempre_g0t0_dnmaxmax.dat,rif_dnmaxmax,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g10t12_dnmaxmax,rmai_g10t12_dnmaxmax.dat,rif_dnmaxmax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t12_dnmaxmax,rsempre_g10t12_dnmaxmax.dat,rif_dnmaxmax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
x01000_dnmaxmax_i,x01000_dnmaxmax.dat,ldr_v4_td6_BB_dnmaxmax,1000,0,g0a10_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g0t0_dnmaxmax,rmai_g0t0_dnmaxmax,6.5,3,A_ins;B2
x01000_dnmaxmax_c,x01000_dnmaxmax.dat,ldr_v4_td6_BB_dnmaxmax,1000,0,g0a10_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dnmaxmax,rmai_g10t0_dnmaxmax,0.0,3,A_ins;A_rel;B2
x10000_dnmaxmax_i,x10000_dnmaxmax.dat,ldr_v4_td6_BB_dnmaxmax,1000,0,g10a0_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dnmaxmax,rmai_g10t0_dnmaxmax,6.5,3,A_ins;B2
x10000_dnmaxmax_c,x10000_dnmaxmax.dat,ldr_v4_td6_BB_dnmaxmax,1000,0,g10a0_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g0t0_dnmaxmax,rmai_g0t0_dnmaxmax,0.0,3,A_ins;A_rel;B2
x1010012_dnmaxmax_i,x1010012_dnmaxmax.dat,ldr_v4_td6_BB_dnmaxmax,1000,0,g10a10_t0a12,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dnmaxmax,rmai_g10t0_dnmaxmax,6.5,3,A_ins;B2
