col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0.0030931104,0.0146657325,0.0030931104,-0.0144612538,0.0030931104,0.0155799904,0.0030931104,0.0145827655,0.0030931104,2.0883451
0.0030981104,0.0146708493,0.0030981104,-0.0144566226,0.0030981104,0.0156263998,0.0030981104,0.0145839459,0.0030981104,2.18731569
0.0031031104,0.0146758525,0.0031031104,-0.0144520907,0.0031031104,0.0156717283,0.0031031104,0.014585099,0.0031031104,2.28411132
0.0031081104,0.0146807369,0.0031081104,-0.0144476626,0.0031081104,0.0157159307,0.0031081104,0.0145862238,0.0031081104,2.37863644
0.0031131104,0.0146854981,0.0031131104,-0.0144433428,0.0031131104,0.015758963,0.0031131104,0.0145873194,0.0031131104,2.47079782
0.0031181104,0.0146901312,0.0031181104,-0.0144391357,0.0031181104,0.0158007822,0.0031181104,0.0145883847,0.0031181104,2.56050446
0.0031231104,0.014694632,0.0031231104,-0.0144350455,0.0031231104,0.0158413466,0.0031231104,0.0145894188,0.0031231104,2.64766788
0.0031281104,0.014698996,0.0031281104,-0.0144310765,0.0031281104,0.0158806157,0.0031281104,0.0145904208,0.0031281104,2.73220204
0.0031331104,0.0147032192,0.0031331104,-0.0144272325,0.0031331104,0.0159185501,0.0031331104,0.0145913899,0.0031331104,2.81402353
0.0031381104,0.0147072973,0.0031381104,-0.0144235175,0.0031381104,0.0159551121,0.0031381104,0.0145923251,0.0031381104,2.89305161
0.0031431104,0.0147112267,0.0031431104,-0.0144199353,0.0031431104,0.015990265,0.0031431104,0.0145932257,0.0031431104,2.96920829
0.0031481104,0.0147150032,0.0031481104,-0.0144164895,0.0031481104,0.0160239737,0.0031481104,0.0145940909,0.0031481104,3.04241841
0.0031531104,0.0147186237,0.0031531104,-0.0144131836,0.0031531104,0.0160562044,0.0031531104,0.0145949199,0.0031531104,3.11260974
0.0031581104,0.0147220842,0.0031581104,-0.014410021,0.0031581104,0.016086925,0.0031581104,0.014595712,0.0031581104,3.179713
0.0031631104,0.0147253818,0.0031631104,-0.0144070049,0.0031631104,0.0161161046,0.0031631104,0.0145964666,0.0031631104,3.24366198
0.0031681104,0.014728513,0.0031681104,-0.0144041383,0.0031681104,0.016143714,0.0031681104,0.0145971829,0.0031681104,3.30439357
0.0031731104,0.0147314752,0.0031731104,-0.0144014242,0.0031731104,0.0161697256,0.0031731104,0.0145978603,0.0031731104,3.36184784
0.0031781104,0.0147342651,0.0031781104,-0.0143988653,0.0031781104,0.0161941133,0.0031781104,0.0145984983,0.0031781104,3.41596809
0.0031831104,0.0147368805,0.0031831104,-0.0143964642,0.0031831104,0.0162168526,0.0031831104,0.0145990963,0.0031831104,3.46670092
0.0031881104,0.0147393185,0.0031881104,-0.0143942235,0.0031881104,0.0162379208,0.0031881104,0.0145996538,0.0031881104,3.51399624
0.0031931104,0.0147415771,0.0031931104,-0.0143921452,0.0031931104,0.0162572967,0.0031931104,0.0146001704,0.0031931104,3.55780741
0.0031981104,0.0147436537,0.0031981104,-0.0143902317,0.0031981104,0.0162749609,0.0031981104,0.0146006455,0.0031981104,3.59809116
0.0032031104,0.0147455468,0.0032031104,-0.0143884847,0.0032031104,0.0162908957,0.0032031104,0.0146010787,0.0032031104,3.63480778
0.0032081104,0.0147472542,0.0032081104,-0.0143869061,0.0032081104,0.0163050852,0.0032081104,0.0146014697,0.0032081104,3.66792098
0.0032131104,0.0147487746,0.0032131104,-0.0143854975,0.0032131104,0.016317515,0.0032131104,0.0146018182,0.0032131104,3.69739813
0.0032181104,0.0147501062,0.0032181104,-0.0143842603,0.0032181104,0.0163281727,0.0032181104,0.0146021238,0.0032181104,3.72321011
0.0032231104,0.014751248,0.0032231104,-0.0143831958,0.0032231104,0.0163370475,0.0032231104,0.0146023862,0.0032231104,3.74533145
0.0032281104,0.0147521986,0.0032281104,-0.014382305,0.0032281104,0.0163441308,0.0032281104,0.0146026053,0.0032281104,3.76374032
0.0032331104,0.0147529574,0.0032331104,-0.0143815889,0.0032331104,0.0163494152,0.0032331104,0.0146027807,0.0032331104,3.77841856
0.0032381104,0.0147535233,0.0032381104,-0.0143810481,0.0032381104,0.0163528956,0.0032381104,0.0146029125,0.0032381104,3.78935166
0.0032431104,0.0147538962,0.0032431104,-0.0143806832,0.0032431104,0.0163545684,0.0032431104,0.0146030003,0.0032431104,3.79652885
0.0032481104,0.0147540753,0.0032481104,-0.0143804946,0.0032481104,0.016354432,0.0032481104,0.0146030442,0.0032481104,3.79994302
0.0032531104,0.0147540608,0.0032531104,-0.0143804824,0.0032531104,0.0163524866,0.0032531104,0.0146030441,0.0032531104,3.79959082
0.0032581104,0.0147538523,0.0032581104,-0.0143806467,0.0032581104,0.0163487341,0.0032581104,0.014603,0.0032581104,3.79547257
0.0032631104,0.0147534503,0.0032631104,-0.0143809872,0.0032631104,0.0163431783,0.0032631104,0.0146029118,0.0032631104,3.78759235
0.0032681104,0.0147528549,0.0032681104,-0.0143815037,0.0032681104,0.0163358248,0.0032681104,0.0146027797,0.0032681104,3.77595792
0.0032731104,0.014752067,0.0032731104,-0.0143821954,0.0032731104,0.016326681,0.0032731104,0.0146026037,0.0032731104,3.76058076
0.0032781104,0.0147510869,0.0032781104,-0.0143830618,0.0032781104,0.0163157563,0.0032781104,0.014602384,0.0032781104,3.74147604
