var,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
b_min,2.571k,1,2.2n,872424,56.6016,81.4051,100k
b_min,2.571k,1,2.7n,854224,56.0291,81.4051,100k
b_min,2.571k,1,3.3n,833708,55.7713,81.4051,100k
b_min,2.571k,1,4.7n,795514,56.0679,81.4051,100k
b_min,2.611k,1,1f,888429,65.7454,81.4051,100k
b_min,2.611k,1,47p,890252,65.4869,81.4051,100k
b_min,2.611k,1,100p,892234,65.1917,81.4051,100k
b_min,2.611k,1,220p,896350,64.5125,81.4051,100k
b_min,2.611k,1,470p,902734,63.0848,81.4051,100k
b_min,2.611k,1,1n,905313,60.2789,81.4051,100k
b_min,2.611k,1,1.5n,895747,58.2635,81.4051,100k
b_min,2.611k,1,2.2n,872419,56.594,81.4051,100k
b_min,2.611k,1,2.7n,854219,56.0217,81.4051,100k
b_min,2.611k,1,3.3n,833704,55.764,81.4051,100k
b_min,2.611k,1,4.7n,795511,56.0609,81.4051,100k
b_min,1m,1,1f,887461,66.2474,81.2164,10k
b_min,1m,1,47p,889260,65.9927,81.2164,10k
b_min,1m,1,100p,891192,65.7024,81.2164,10k
b_min,1m,1,220p,895255,65.0332,81.2164,10k
b_min,1m,1,470p,901569,63.6254,81.2164,10k
b_min,1m,1,1n,904195,60.8503,81.2165,10k
b_min,1m,1,1.5n,894846,58.8439,81.2165,10k
b_min,1m,1,2.2n,871884,57.1623,81.2165,10k
b_min,1m,1,2.7n,853892,56.5744,81.2166,10k
b_min,1m,1,3.3n,833553,56.2974,81.2166,10k
b_min,1m,1,4.7n,795569,56.5564,81.2167,10k
b_min,1k,1,1f,887420,66.0492,81.2164,10k
b_min,1k,1,47p,889219,65.7942,81.2164,10k
b_min,1k,1,100p,891150,65.5035,81.2164,10k
b_min,1k,1,220p,895212,64.8335,81.2164,10k
b_min,1k,1,470p,901525,63.4243,81.2164,10k
b_min,1k,1,1n,904151,60.6488,81.2165,10k
b_min,1k,1,1.5n,894804,58.6445,81.2165,10k
b_min,1k,1,2.2n,871847,56.9679,81.2165,10k
b_min,1k,1,2.7n,853859,56.384,81.2166,10k
b_min,1k,1,3.3n,833522,56.1114,81.2166,10k
b_min,1k,1,4.7n,795544,56.3787,81.2167,10k
b_min,2.5k,1,1f,887278,65.7548,81.2164,10k
b_min,2.5k,1,47p,889076,65.4992,81.2164,10k
b_min,2.5k,1,100p,891006,65.208,81.2164,10k
b_min,2.5k,1,220p,895061,64.5369,81.2164,10k
b_min,2.5k,1,470p,901371,63.1259,81.2164,10k
b_min,2.5k,1,1n,903996,60.3501,81.2165,10k
b_min,2.5k,1,1.5n,894657,58.3491,81.2165,10k
b_min,2.5k,1,2.2n,871719,56.6798,81.2165,10k
b_min,2.5k,1,2.7n,853741,56.1015,81.2166,10k
b_min,2.5k,1,3.3n,833416,55.8353,81.2166,10k
