modo,s,nome,t,target,code,i_meas,err_db,i(vls),i(vlp),v(mir_e2_s),v(ldr_s_a),v(mir_e2_p),v(ldr_p_a)
nocomp,P,d1,25,0.02,3252,0.01373225421067,-3.2657632240467156,9.82587453771e-09,0.01373225421067,4.899999900791,2.524088621253,4.761301213776,4.115648341058
nocomp,S,cal_2mA,25,0.002,2925,0.0018340268368,-0.7524861874842144,0.0018340268368,9.825873002606e-09,4.881476871055,3.78976545452,4.899999900791,2.524088605195
nocomp,P,cal_2mA,25,0.002,2925,0.0018340268368,-0.7524861874842144,9.825873408943e-09,0.0018340268368,4.899999900791,2.524088609445,4.881476871055,3.78976545452
cal,S,d0,25,0.02,3305,0.01799337721821,-0.9183462188206779,0.01799337721821,1.039331733774e-08,4.718260639549,4.186061418218,4.899999895061,2.529859306211
cal,S,d0.1,25,0.0002,2606,0.0002027050756595,0.11669255474086876,0.0002027050756595,1.039331733774e-08,4.897952802582,3.547098924199,4.899999895061,2.529859306211
cal,S,d0.45,25,4.5e-06,2067,4.605956532761e-06,0.20214642714370962,4.605956532761e-06,1.039331733774e-08,4.899953484879,3.156193867319,4.899999895061,2.529859306211
cal,S,d0.75,25,1.9e-07,1618,1.960622751287e-07,0.27280873960748414,1.960622751287e-07,1.039331733774e-08,4.899998020073,2.831736857027,4.899999895061,2.529859306211
cal,S,riposo,25,1e-08,1200,1.039331885751e-08,0.3350850249571665,1.039331885751e-08,1.039331733774e-08,4.899999895061,2.529859321223,4.899999895061,2.529859306211
cal,P,riposo,25,1e-08,1200,1.039331733774e-08,0.3350837548570541,1.039331885751e-08,1.039331733774e-08,4.899999895061,2.529859321223,4.899999895061,2.529859306211
cal,P,d0.75,25,1.414214e-05,2230,1.448493398763e-05,0.20802776209398133,1.039331885751e-08,1.448493398763e-05,4.899999895061,2.529859321223,4.899853715912,3.274042625928
cal,P,d1,25,0.02,3305,0.01799337721821,-0.9183462188206779,1.039331885751e-08,0.01799337721821,4.899999895061,2.529859321223,4.718260639549,4.186061418219
cal,S,cal_2mA,25,0.002,2937,0.001988042142414,-0.05208818706512022,0.001988042142414,1.039331733178e-08,4.879921334934,3.799592622801,4.899999895061,2.529859240497
cal,P,cal_2mA,25,0.002,2937,0.001988042142415,-0.05208818706075077,1.039331779647e-08,0.001988042142415,4.899999895061,2.529859245093,4.879921334933,3.799592622801
comp,S,d0,35,0.02,3277,0.01382749285954,-3.2057310558118095,0.01382749285954,9.822421074693e-09,4.76033865455,4.171053173025,4.899999900827,2.528994467924
comp,S,d0.1,35,0.0002,2601,0.0001913198081567,-0.385401178932814,0.0001913198081567,9.822421074693e-09,4.898067783786,3.580032094962,4.899999900827,2.528994467924
comp,S,d0.45,35,4.5e-06,2044,4.348552871171e-06,-0.29735518067847316,4.348552871171e-06,9.822421074693e-09,4.899956084375,3.176225429835,4.899999900827,2.528994467924
comp,S,d0.75,35,1.9e-07,1580,1.852139809568e-07,-0.22159668928556878,1.852139809568e-07,9.822421074693e-09,4.899998129627,2.84095229725,4.899999900827,2.528994467924
