cablaggio,f_hz,rj1,blk,icmax_q132,icmin_q132,icmax_q133,icmin_q133,classe_a,vpk_outa,vpk_j2,irms_rsep1
2,1000,1k,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79977,3.80955,0.00258119
2,1000,100,a,0.0280045,0.00236073,-0.00253473,-0.0278734,1,3.79911,3.80895,0.0178954
2,1000,100,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79911,3.80895,0.0178954
2,1000,100,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79911,3.80895,0.0178954
2,1000,47,a,0.0382175,1.62281E-06,-2.6226E-06,-0.0382254,1,3.79896,3.8088,0.0270229
2,1000,47,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79896,3.8088,0.0270229
2,1000,47,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79896,3.8088,0.0270229
2,1000,22,a,0.0495253,-1.07162E-07,1.09972E-07,-0.0495315,0,3.79892,3.80875,0.0351244
2,1000,22,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79892,3.80875,0.0351244
2,1000,22,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79892,3.80875,0.0351244
2,1000,10,a,0.057328,-2.42633E-07,2.50249E-07,-0.0573346,0,3.79894,3.80876,0.0407153
2,1000,10,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79894,3.80876,0.0407153
2,1000,10,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79894,3.80876,0.0407153
2,1000,1,a,0.0646265,-3.19772E-07,3.67632E-07,-0.0646335,0,3.799,3.80882,0.04593
2,1000,1,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.799,3.80882,0.04593
2,1000,1,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.799,3.80882,0.04593
2,1000,0.01,a,0.0655206,-3.363E-07,3.85009E-07,-0.0655278,0,3.79902,3.80883,0.0465693
2,1000,0.01,f1,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79902,3.80883,0.0465693
2,1000,0.01,f2,0.0145611,0.0145512,-0.0145411,-0.0145711,1,3.79902,3.80883,0.0465693
2,20000,470k,a,0.0148044,0.0143061,-0.0143303,-0.0147842,1,3.80194,3.81441,1.1488E-05
2,20000,470k,f1,0.0145626,0.014548,-0.0145312,-0.0145788,1,3.80194,3.81441,1.1488E-05
2,20000,470k,f2,0.0145626,0.014548,-0.0145312,-0.0145788,1,3.80194,3.81441,1.1488E-05
2,20000,10k,a,0.0149897,0.0141211,-0.0141478,-0.0149668,1,3.80193,3.8144,0.00027445
2,20000,10k,f1,0.0145626,0.014548,-0.0145312,-0.0145788,1,3.80193,3.8144,0.00027445
2,20000,10k,f2,0.0145626,0.014548,-0.0145312,-0.0145788,1,3.80193,3.8144,0.00027445
2,20000,1k,a,0.0166239,0.0125018,-0.0125516,-0.0165828,1,3.80185,3.81432,0.00258418
2,20000,1k,f1,0.0145626,0.014548,-0.0145313,-0.0145788,1,3.80185,3.81432,0.00258418
2,20000,1k,f2,0.0145626,0.014548,-0.0145313,-0.0145788,1,3.80185,3.81432,0.00258418
2,20000,100,a,0.0284101,0.00209226,-0.00225164,-0.0282586,1,3.80104,3.81351,0.0183662
2,20000,100,f1,0.0145626,0.014548,-0.0145313,-0.0145788,1,3.80104,3.81351,0.0183662
2,20000,100,f2,0.0145626,0.014548,-0.0145313,-0.0145788,1,3.80104,3.81351,0.0183662
2,20000,47,a,0.0406284,-3.19531E-06,3.40137E-06,-0.0406354,0,3.80063,3.8131,0.0287126
2,20000,47,f1,0.0145626,0.014548,-0.0145313,-0.0145788,1,3.80063,3.8131,0.0287126
2,20000,47,f2,0.0145626,0.014548,-0.0145313,-0.0145788,1,3.80063,3.8131,0.0287126
2,20000,22,a,0.0551641,-1.00361E-05,1.19335E-05,-0.0551739,0,3.80019,3.81266,0.0391042
2,20000,22,f1,0.0145626,0.014548,-0.0145312,-0.0145786,1,3.80019,3.81266,0.0391042
2,20000,22,f2,0.0145626,0.014548,-0.0145312,-0.0145786,1,3.80019,3.81266,0.0391042
2,20000,10,a,0.0666588,-1.25232E-05,1.49242E-05,-0.0666734,0,3.7999,3.81237,0.0473248
2,20000,10,f1,0.0145626,0.014548,-0.0145312,-0.0145788,1,3.7999,3.81237,0.0473248
2,20000,10,f2,0.0145626,0.014548,-0.0145312,-0.0145788,1,3.7999,3.81237,0.0473248
2,20000,1,a,0.0790374,-1.45223E-05,1.71693E-05,-0.0790611,0,3.79963,3.81209,0.0561807
2,20000,1,f1,0.0145626,0.0145479,-0.0145312,-0.0145788,1,3.79963,3.81209,0.0561807
2,20000,1,f2,0.0145626,0.0145479,-0.0145312,-0.0145788,1,3.79963,3.81209,0.0561807
2,20000,0.01,a,0.0806867,-1.47747E-05,1.75125E-05,-0.0807123,0,3.7996,3.81206,0.0573612
2,20000,0.01,f1,0.0145626,0.0145479,-0.0145312,-0.0145788,1,3.7996,3.81206,0.0573612
2,20000,0.01,f2,0.0145626,0.0145479,-0.0145312,-0.0145788,1,3.7996,3.81206,0.0573612
