out,trim,att,mode,zrmax,zr20,zr1k,zr20k,zm20,zm1k,zn1k,zn20k
fix2,6,25,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,50,0db,60.0371,60.0371,47.0181,47.0183,1693.38,57.9254,0.0366381,0.572411
fix1,6,50,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,50,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,50,3db,60.0467,60.0467,47.0278,47.0632,1693.38,57.9263,0.0520289,0.810187
fix1,6,50,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,50,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,50,10db,60.0864,60.0864,47.068,47.3318,1693.38,57.9304,0.115452,1.77555
fix1,6,50,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572088
fix2,6,50,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572088
main,6,75,0db,60.0371,60.0371,47.0181,47.0183,1693.38,57.9254,0.036638,0.572408
fix1,6,75,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,75,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,75,3db,60.0467,60.0467,47.0278,47.0632,1693.38,57.9263,0.0520285,0.810182
fix1,6,75,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,75,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,75,10db,60.0864,60.0864,47.068,47.3319,1693.38,57.9304,0.115451,1.77553
fix1,6,75,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,75,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,100,0db,60.0371,60.0371,47.0181,47.0184,1693.38,57.9254,0.0366377,0.572401
fix1,6,100,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,100,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,100,3db,60.0467,60.0467,47.0278,47.0634,1693.38,57.9263,0.0520282,0.81017
fix1,6,100,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,100,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,6,100,10db,60.0864,60.0864,47.068,47.3322,1693.38,57.9304,0.11545,1.77548
fix1,6,100,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,6,100,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,0,0db,60.0371,60.0371,47.0181,47.0184,1693.38,57.9254,0.0366385,0.572406
fix1,12,0,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,0,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,0,3db,60.0467,60.0467,47.0278,47.0634,1693.38,57.9263,0.0520294,0.810175
fix1,12,0,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,0,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,0,10db,60.0864,60.0864,47.068,47.3323,1693.38,57.9304,0.115454,1.77549
fix1,12,0,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,0,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,25,0db,60.0371,60.0371,47.0181,47.0183,1693.38,57.9254,0.0366384,0.572411
fix1,12,25,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,25,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,25,3db,60.0467,60.0467,47.0278,47.0632,1693.38,57.9263,0.0520292,0.810185
fix1,12,25,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,25,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,25,10db,60.0864,60.0864,47.068,47.3319,1693.38,57.9304,0.115454,1.77554
fix1,12,25,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,25,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,50,0db,60.0371,60.0371,47.0181,47.0183,1693.38,57.9254,0.0366383,0.572412
fix1,12,50,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,50,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,50,3db,60.0467,60.0467,47.0278,47.0632,1693.38,57.9263,0.0520292,0.810189
fix1,12,50,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,50,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,50,10db,60.0864,60.0864,47.068,47.3318,1693.38,57.9304,0.115453,1.77556
fix1,12,50,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,50,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,75,0db,60.0371,60.0371,47.0181,47.0183,1693.38,57.9254,0.0366382,0.57241
fix1,12,75,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,75,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,75,3db,60.0467,60.0467,47.0278,47.0632,1693.38,57.9263,0.052029,0.810185
fix1,12,75,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,75,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,75,10db,60.0864,60.0864,47.068,47.3319,1693.38,57.9304,0.115453,1.77554
fix1,12,75,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,75,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,100,0db,60.0371,60.0371,47.0181,47.0184,1693.38,57.9254,0.0366381,0.572404
fix1,12,100,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,100,0db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,100,3db,60.0467,60.0467,47.0278,47.0634,1693.38,57.9263,0.0520288,0.810174
fix1,12,100,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,100,3db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
main,12,100,10db,60.0864,60.0864,47.068,47.3322,1693.38,57.9304,0.115452,1.77549
fix1,12,100,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
fix2,12,100,10db,53.1186,53.1186,47.0207,47.027,1693.61,57.932,0.0366411,0.572089
