out,trim,att,mode,zrmax,zr20,zr1k,zr20k,zm20,zm1k,zn1k,zn20k
fix2,6,50,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,50,3db,60.0656,60.0656,47.0465,47.0531,1693.38,57.9539,0.0548664,0.38884
fix1,6,50,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,50,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,50,10db,60.1281,60.1281,47.1092,47.1812,1693.38,57.9914,0.121674,0.858742
fix1,6,50,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,50,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,75,0db,60.0504,60.0504,47.0313,47.0262,1693.38,57.9449,0.0386411,0.274384
fix1,6,75,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,75,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,75,3db,60.0656,60.0656,47.0465,47.0531,1693.38,57.9539,0.0548644,0.388836
fix1,6,75,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,75,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,75,10db,60.1281,60.1281,47.1092,47.1812,1693.38,57.9914,0.121665,0.858733
fix1,6,75,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,75,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,100,0db,60.0504,60.0504,47.0313,47.0262,1693.38,57.9449,0.0386399,0.274381
fix1,6,100,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,100,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,100,3db,60.0656,60.0656,47.0465,47.0531,1693.38,57.9539,0.0548623,0.388832
fix1,6,100,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,100,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,6,100,10db,60.1281,60.1281,47.1092,47.1813,1693.38,57.9914,0.121656,0.858716
fix1,6,100,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,6,100,10db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,0,0db,60.0504,60.0504,47.0313,47.0262,1693.38,57.9449,0.0386443,0.274388
fix1,12,0,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,0,0db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
main,12,0,3db,60.0656,60.0656,47.0465,47.0532,1693.38,57.9539,0.0548705,0.388842
fix1,12,0,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
fix2,12,0,3db,53.1318,53.1318,47.0339,47.0331,1693.61,57.9515,0.0386399,0.274265
