col0,col1,col2,col3,col4,col5,col6,col7
0.00013728,0.379753753,0.00013728,1.13816103,0.00013728,1.18546223,0.00013728,2.02846611
0.00013828,0.381789845,0.00013828,1.14464366,0.00013828,1.19193676,0.00013828,2.03499382
0.00013928,0.383810865,0.00013928,1.15107921,0.00013928,1.19836421,0.00013928,2.0414741
0.00014028,0.385816732,0.00014028,1.15746739,0.00014028,1.20474432,0.00014028,2.0479067
0.00014128,0.387807368,0.00014128,1.16380798,0.00014128,1.21107684,0.00014128,2.05429136
0.00014228,0.389782694,0.00014228,1.17010071,0.00014228,1.21736151,0.00014228,2.06062783
0.00014328,0.391742632,0.00014328,1.17634534,0.00014328,1.2235981,0.00014328,2.06691586
0.00014428,0.393687105,0.00014428,1.18254161,0.00014428,1.22978635,0.00014428,2.0731552
0.00014528,0.395616036,0.00014528,1.1886893,0.00014528,1.23592602,0.00014528,2.07934561
0.00014628,0.397529348,0.00014628,1.19478814,0.00014628,1.24201687,0.00014628,2.08548683
0.00014728,0.399426967,0.00014728,1.20083791,0.00014728,1.24805865,0.00014728,2.09157864
0.00014828,0.401308817,0.00014828,1.20683836,0.00014828,1.25405113,0.00014828,2.09762077
0.00014928,0.403174824,0.00014928,1.21278926,0.00014928,1.25999408,0.00014928,2.10361301
0.00015028,0.405024914,0.00015028,1.21869037,0.00015028,1.26588725,0.00015028,2.10955511
0.00015128,0.406859014,0.00015128,1.22454146,0.00015128,1.27173042,0.00015128,2.11544685
0.00015228,0.408677053,0.00015228,1.2303423,0.00015228,1.27752335,0.00015228,2.12128797
0.00015328,0.410478958,0.00015328,1.23609265,0.00015328,1.28326582,0.00015328,2.12707826
0.00015428,0.412264657,0.00015428,1.2417923,0.00015428,1.2889576,0.00015428,2.13281748
0.00015528,0.414034081,0.00015528,1.24744102,0.00015528,1.29459846,0.00015528,2.13850542
0.00015628,0.41578716,0.00015628,1.25303857,0.00015628,1.30018818,0.00015628,2.14414184
0.00015728,0.417523824,0.00015728,1.25858476,0.00015728,1.30572655,0.00015728,2.14972652
0.00015828,0.419244005,0.00015828,1.26407934,0.00015828,1.31121333,0.00015828,2.15525924
0.00015928,0.420947635,0.00015928,1.26952211,0.00015928,1.31664832,0.00015928,2.16073979
0.00016028,0.422634647,0.00016028,1.27491285,0.00016028,1.3220313,0.00016028,2.16616794
0.00016128,0.424304974,0.00016128,1.28025136,0.00016128,1.32736206,0.00016128,2.17154349
0.00016228,0.42595855,0.00016228,1.28553741,0.00016228,1.33264038,0.00016228,2.17686622
0.00016328,0.42759531,0.00016328,1.2907708,0.00016328,1.33786607,0.00016328,2.18213592
0.00016428,0.429215189,0.00016428,1.29595132,0.00016428,1.34303891,0.00016428,2.18735238
0.00016528,0.430818123,0.00016528,1.30107878,0.00016528,1.3481587,0.00016528,2.1925154
0.00016628,0.43240405,0.00016628,1.30615296,0.00016628,1.35322523,0.00016628,2.19762477
0.00016728,0.433972906,0.00016728,1.31117366,0.00016728,1.35823832,0.00016728,2.20268029
0.00016828,0.435524629,0.00016828,1.31614069,0.00016828,1.36319775,0.00016828,2.20768177
0.00016928,0.437059159,0.00016928,1.32105386,0.00016928,1.36810333,0.00016928,2.212629
0.00017028,0.438576434,0.00017028,1.32591296,0.00017028,1.37295488,0.00017028,2.21752178
0.00017128,0.440076395,0.00017128,1.33071781,0.00017128,1.37775219,0.00017128,2.22235994
0.00017228,0.441558983,0.00017228,1.33546821,0.00017228,1.38249508,0.00017228,2.22714326
0.00017328,0.443024139,0.00017328,1.34016399,0.00017328,1.38718336,0.00017328,2.23187158
0.00017428,0.444471805,0.00017428,1.34480494,0.00017428,1.39181685,0.00017428,2.23654469
0.00017528,0.445901923,0.00017528,1.3493909,0.00017528,1.39639536,0.00017528,2.24116242
0.00017628,0.447314439,0.00017628,1.35392167,0.00017628,1.40091871,0.00017628,2.24572458
0.00017728,0.448709295,0.00017728,1.35839709,0.00017728,1.40538673,0.00017728,2.25023099
0.00017828,0.450086437,0.00017828,1.36281697,0.00017828,1.40979924,0.00017828,2.25468148
0.00017928,0.45144581,0.00017928,1.36718113,0.00017928,1.41415606,0.00017928,2.25907587
0.00018028,0.452787361,0.00018028,1.37148942,0.00018028,1.41845702,0.00018028,2.26341398
0.00018128,0.454111037,0.00018128,1.37574165,0.00018128,1.42270195,0.00018128,2.26769564
0.00018228,0.455416785,0.00018228,1.37993766,0.00018228,1.42689069,0.00018228,2.2719207
0.00018328,0.456704554,0.00018328,1.38407728,0.00018328,1.43102306,0.00018328,2.27608897
0.00018428,0.457974293,0.00018428,1.38816035,0.00018428,1.43509891,0.00018428,2.28020029
0.00018528,0.459225952,0.00018528,1.39218671,0.00018528,1.43911808,0.00018528,2.2842545
0.00018628,0.460459482,0.00018628,1.3961562,0.00018628,1.4430804,0.00018628,2.28825145
0.00018728,0.461674833,0.00018728,1.40006866,0.00018728,1.44698572,0.00018728,2.29219097
0.00018828,0.462871959,0.00018828,1.40392394,0.00018828,1.45083388,0.00018828,2.29607291
0.00018928,0.464050811,0.00018928,1.40772189,0.00018928,1.45462474,0.00018928,2.29989711
