mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1k,1,470p,362080,68.6798,81.6963,10k
0db,1k,1,1n,362684,67.7095,81.6964,10k
0db,1k,1,1.5n,362547,66.8349,81.6964,10k
0db,1k,1,2.2n,361276,65.7182,81.6964,10k
0db,1k,1,2.7n,359704,65.0177,81.6964,10k
0db,1k,1,3.3n,357246,64.2948,81.6965,10k
0db,1k,1,4.7n,350142,63.0885,81.6965,10k
0db,1k,2,1f,360909,69.5535,81.6963,10k
0db,1k,2,47p,361056,69.4654,81.6963,10k
0db,1k,2,100p,361221,69.3658,81.6963,10k
0db,1k,2,220p,361593,69.14,81.6963,10k
0db,1k,2,470p,362358,68.6672,81.6963,10k
0db,1k,2,1n,363958,67.6535,81.6963,10k
0db,1k,2,1.5n,365425,66.6844,81.6962,10k
0db,1k,2,2.2n,367367,65.3094,81.6962,10k
0db,1k,2,2.7n,368667,64.3158,81.6962,10k
0db,1k,2,3.3n,370123,63.1125,81.6962,10k
0db,1k,2,4.7n,373067,60.2684,81.6961,10k
0db,2.5k,1,1f,360894,69.3843,81.6963,10k
0db,2.5k,1,47p,361037,69.2969,81.6963,10k
0db,2.5k,1,100p,361192,69.1984,81.6963,10k
0db,2.5k,1,220p,361514,68.975,81.6963,10k
0db,2.5k,1,470p,362065,68.5101,81.6963,10k
0db,2.5k,1,1n,362669,67.5396,81.6964,10k
0db,2.5k,1,1.5n,362532,66.665,81.6964,10k
0db,2.5k,1,2.2n,361261,65.549,81.6964,10k
0db,2.5k,1,2.7n,359690,64.8492,81.6964,10k
0db,2.5k,1,3.3n,357232,64.1275,81.6965,10k
0db,2.5k,1,4.7n,350129,62.9245,81.6965,10k
0db,2.5k,2,1f,360894,69.3843,81.6963,10k
0db,2.5k,2,47p,361041,69.2961,81.6963,10k
0db,2.5k,2,100p,361206,69.1965,81.6963,10k
0db,2.5k,2,220p,361578,68.9705,81.6963,10k
0db,2.5k,2,470p,362343,68.4973,81.6963,10k
0db,2.5k,2,1n,363942,67.483,81.6963,10k
0db,2.5k,2,1.5n,365409,66.5132,81.6962,10k
0db,2.5k,2,2.2n,367351,65.1374,81.6962,10k
0db,2.5k,2,2.7n,368651,64.1432,81.6962,10k
0db,2.5k,2,3.3n,370106,62.9393,81.6962,10k
0db,2.5k,2,4.7n,373050,60.0941,81.6961,10k
0db,2.571k,1,1f,360893,69.3763,81.6963,10k
0db,2.571k,1,47p,361036,69.289,81.6963,10k
0db,2.571k,1,100p,361191,69.1904,81.6963,10k
0db,2.571k,1,220p,361514,68.967,81.6963,10k
0db,2.571k,1,470p,362064,68.5021,81.6963,10k
0db,2.571k,1,1n,362668,67.5315,81.6963,10k
0db,2.571k,1,1.5n,362531,66.657,81.6963,10k
0db,2.571k,1,2.2n,361260,65.541,81.6964,10k
0db,2.571k,1,2.7n,359689,64.8412,81.6964,10k
0db,2.571k,1,3.3n,357231,64.1196,81.6964,10k
0db,2.571k,1,4.7n,350128,62.9168,81.6965,10k
0db,2.571k,2,1f,360893,69.3763,81.6963,10k
0db,2.571k,2,47p,361040,69.2881,81.6963,10k
0db,2.571k,2,100p,361205,69.1885,81.6963,10k
0db,2.571k,2,220p,361577,68.9625,81.6962,10k
0db,2.571k,2,470p,362342,68.4893,81.6962,10k
0db,2.571k,2,1n,363941,67.475,81.6962,10k
0db,2.571k,2,1.5n,365408,66.5052,81.6962,10k
0db,2.571k,2,2.2n,367350,65.1293,81.6962,10k
0db,2.571k,2,2.7n,368650,64.1351,81.6961,10k
0db,2.571k,2,3.3n,370105,62.9312,81.6961,10k
0db,2.571k,2,4.7n,373049,60.0858,81.696,10k
0db,2.611k,1,1f,360893,69.3718,81.6963,10k
0db,2.611k,1,47p,361036,69.2845,81.6963,10k
0db,2.611k,1,100p,361190,69.1859,81.6963,10k
0db,2.611k,1,220p,361513,68.9625,81.6963,10k
0db,2.611k,1,470p,362064,68.4976,81.6963,10k
0db,2.611k,1,1n,362668,67.527,81.6964,10k
0db,2.611k,1,1.5n,362530,66.6525,81.6964,10k
0db,2.611k,1,2.2n,361260,65.5365,81.6964,10k
0db,2.611k,1,2.7n,359688,64.8367,81.6964,10k
0db,2.611k,1,3.3n,357230,64.1152,81.6965,10k
0db,2.611k,1,4.7n,350128,62.9124,81.6965,10k
0db,2.611k,2,1f,360893,69.3718,81.6963,10k
0db,2.611k,2,47p,361040,69.2836,81.6963,10k
0db,2.611k,2,100p,361205,69.184,81.6963,10k
0db,2.611k,2,220p,361576,68.958,81.6963,10k
0db,2.611k,2,470p,362341,68.4848,81.6963,10k
