cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
on_r10s,5,accensione,10,1000,0,100k,A_ins,FIXJACK1,0.00536,0.136760,0.0001,NON REGGE,SOPRA
on_r10s,5,accensione,10,1000,0,100k,A_rel,MAINJACK,3.194e-08,3.923177,0.0001,regge,sotto
on_r10p,5,accensione,10,1000,0,100k,A_ins,MAINJACK,0.005561,0.150135,0.0001,NON REGGE,SOPRA
on_r10p,5,accensione,10,1000,0,100k,A_rel,MAINJACK,3.193e-08,3.923208,0.0001,regge,sotto
on_r10m,5,accensione,10,1000,0,100k,A_ins,FIXJACK1,0.00645,0.186104,0.0001,NON REGGE,SOPRA
on_r10m,5,accensione,10,1000,0,100k,A_rel,MAINJACK,3.193e-08,3.923083,0.0001,regge,sotto
on_r300s,5,accensione,10,1000,0,100k,A_ins,FIXJACK1,0.004734,0.243896,0.0001,NON REGGE,SOPRA
on_r300s,5,accensione,10,1000,0,100k,A_rel,MAINJACK,3.194e-08,3.923021,0.0001,regge,sotto
on_r300p,5,accensione,10,1000,0,100k,A_ins,FIXJACK1,0.01128,0.292375,0.0001,NON REGGE,SOPRA
on_r300p,5,accensione,10,1000,0,100k,A_rel,MAINJACK,3.193e-08,3.923188,0.0001,regge,sotto
on_r300m,5,accensione,10,1000,0,100k,A_ins,FIXJACK1,0.001608,0.284375,0.0001,NON REGGE,SOPRA|sotto
on_r300m,5,accensione,10,1000,0,100k,A_rel,MAINJACK,3.194e-08,3.923021,0.0001,regge,sotto
