blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk,p_rail
B,0,1000,0,1,2,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,4.5379E-26,0,3.10734E-14,0,0.295956,0.295956,-0.0309065,3.97257
A,0,1000,0,1,3,0.295634,0.296562,0.0202902,0.0202902,-0.0204018,-0.0204018,0.0909247,-0.00679716,0.0895156,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.064251,0.0208067,0.0204155,0.00923464,0.00923607,3.90974E-07,7.7074E-08,0.00426988,0.00414282,0,0,0,0,0.295634,0.295634,-0.015454,3.97257
F1,0,1000,0,1,3,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,4.75884E-26,0,3.182E-14,0,0.295956,0.295956,-0.0309065,3.97257
F2,0,1000,0,1,3,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,3.44407E-25,0,8.54742E-14,0,0.295956,0.295956,-0.0309065,3.97257
B,0,1000,0,1,3,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,4.53864E-26,0,3.10752E-14,0,0.295956,0.295956,-0.0309065,3.97257
A,0,1000,0,1,4,0.295634,0.296562,0.0202902,0.0202902,-0.0204018,-0.0204018,0.0909247,-0.00679716,0.0895156,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.064251,0.0208067,0.0204155,0.00923464,0.00923607,3.90974E-07,7.7074E-08,0.00426988,0.00414282,0,0,0,0,0.295634,0.295634,-0.015454,3.97257
F1,0,1000,0,1,4,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,4.74846E-26,0,3.17823E-14,0,0.295956,0.295956,-0.0309065,3.97257
F2,0,1000,0,1,4,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,4.55876E-26,0,3.11432E-14,0,0.295956,0.295956,-0.0309065,3.97257
B,0,1000,0,1,4,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,3.43129E-25,0,8.47618E-14,0,0.295956,0.295956,-0.0309065,3.97257
A,0,1000,0,1,5,0.295634,0.296562,0.0202902,0.0202902,-0.0204018,-0.0204018,0.0909247,-0.00679716,0.0895156,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.064251,0.0208067,0.0204155,0.00923464,0.00923607,3.90974E-07,7.7074E-08,0.00426988,0.00414282,0,0,0,0,0.295634,0.295634,-0.015454,3.97257
F1,0,1000,0,1,5,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,2.62107E-25,0,7.48371E-14,0,0.295956,0.295956,-0.0309065,3.97257
F2,0,1000,0,1,5,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,4.56089E-26,0,3.11522E-14,0,0.295956,0.295956,-0.0309065,3.97257
B,0,1000,0,1,5,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,4.53592E-26,0,3.10663E-14,0,0.295956,0.295956,-0.0309065,3.97257
A,0,1000,0,1,6,0.295634,0.296562,0.0202902,0.0202902,-0.0204018,-0.0204018,0.0909247,-0.00679716,0.0895156,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.064251,0.0208067,0.0204155,0.00923464,0.00923607,3.90974E-07,7.7074E-08,0.00426988,0.00414282,0,0,0,0,0.295634,0.295634,-0.015454,3.97257
F1,0,1000,0,1,6,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,7.44465E-26,0,3.98236E-14,0,0.295956,0.295956,-0.0309065,3.97257
F2,0,1000,0,1,6,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,4.5593E-26,0,3.1146E-14,0,0.295956,0.295956,-0.0309065,3.97257
B,0,1000,0,1,6,0.295956,0.296231,0.0202908,0.0202908,-0.0204007,-0.0204007,0.0910278,-0.006797,0.089412,0.0117673,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923514,0.00923514,3.90671E-07,7.71766E-08,0.00426968,0.0041428,4.53728E-26,0,3.10702E-14,0,0.295956,0.295956,-0.0309065,3.97257
A,0,1000,0.4243,1,0,0.295626,0.296557,0.020316,0.020264,-0.0203881,-0.0204149,0.0909236,-0.00679141,0.0895157,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.0642511,0.0208067,0.0204155,0.00923455,0.00923598,3.9106E-07,7.7121E-08,0.00426988,0.00414282,0,0,0,0,0.295626,0.295626,0.408802,3.97255
F1,0,1000,0.4243,1,0,0.295948,0.296228,0.0203163,0.0202648,-0.0203874,-0.0204135,0.0910267,-0.00679125,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923499,0.0092351,3.90754E-07,7.72242E-08,0.00426968,0.0041428,4.36933E-08,0,3.04901E-05,0,0.295948,0.295948,0.393307,3.97255
F2,0,1000,0.4243,1,0,0.295952,0.29623,0.0202996,0.0202816,-0.0203967,-0.0204041,0.0910268,-0.00679146,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923504,0.00923504,3.90748E-07,7.7221E-08,0.00426968,0.0041428,2.06667E-09,0,6.63112E-06,0,0.295952,0.295952,0.393308,3.97255
B,0,1000,0.4243,1,0,0.295953,0.296231,0.020298,0.0202832,-0.0203951,-0.0204057,0.0910268,-0.00679148,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923504,0.00923504,3.90748E-07,7.72207E-08,0.00426968,0.0041428,8.93646E-10,0,4.36047E-06,0,0.295952,0.295953,0.393308,3.97255
A,0,1000,0.4243,1,1,0.295626,0.296557,0.020316,0.020264,-0.0203881,-0.0204149,0.0909237,-0.00679141,0.0895157,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.0642511,0.0208067,0.0204155,0.00923455,0.00923598,3.9106E-07,7.7121E-08,0.00426988,0.00414282,0,0,0,0,0.295626,0.295626,0.408802,3.9735
F1,0,1000,0.4243,1,1,0.295329,0.295607,0.023943,0.0166802,-0.0167873,-0.0240559,0.0910166,-0.00673896,0.0894122,0.0117668,0.00156296,0.00176151,0.0102713,0.0102707,0.0641812,0.0208418,0.02045,0.00939286,0.00939149,3.99448E-07,7.92181E-08,0.00426997,0.0041428,0.00125989,0,0.00517747,0,0.295255,0.295329,0.393291,3.9735
F2,0,1000,0.4243,1,1,0.295329,0.295607,0.023943,0.0166802,-0.0167873,-0.0240559,0.0910166,-0.00673896,0.0894122,0.0117668,0.00156296,0.00176151,0.0102713,0.0102707,0.0641812,0.0208418,0.02045,0.00939286,0.00939149,3.99448E-07,7.92181E-08,0.00426997,0.0041428,0.00125989,0,0.00517747,0,0.295255,0.295329,0.393291,3.9735
B,0,1000,0.4243,1,1,0.295329,0.295607,0.023943,0.0166802,-0.0167873,-0.0240559,0.0910166,-0.00673896,0.0894122,0.0117668,0.00156296,0.00176151,0.0102713,0.0102707,0.0641812,0.0208418,0.02045,0.00939286,0.00939149,3.99448E-07,7.92181E-08,0.00426997,0.0041428,0.00125989,0,0.00517747,0,0.295255,0.295329,0.393291,3.9735
A,0,1000,0.4243,1,2,0.295627,0.296557,0.020316,0.020264,-0.0203881,-0.0204149,0.0909236,-0.00679141,0.0895157,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.0642511,0.0208067,0.0204156,0.00923455,0.00923598,3.91059E-07,7.71216E-08,0.00426987,0.00414282,0,0,0,0,0.295627,0.295627,0.408801,3.97287
F1,0,1000,0.4243,1,2,0.295292,0.295643,0.0239429,0.0166803,-0.0167873,-0.0240559,0.0910165,-0.00673896,0.0894118,0.0117668,0.00156296,0.00176151,0.0102713,0.0102707,0.0641812,0.0208418,0.02045,0.00939055,0.00939391,3.99347E-07,7.92409E-08,0.00426992,0.0041428,0.00126034,0,0.0051784,0,0.295252,0.295254,0.393288,3.97287
F2,0,1000,0.4243,1,2,0.295953,0.29623,0.0202996,0.0202816,-0.0203967,-0.0204041,0.0910268,-0.00679146,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923504,0.00923504,3.90747E-07,7.72215E-08,0.00426967,0.0041428,2.06888E-09,0,6.63466E-06,0,0.295953,0.295953,0.393303,3.97287
B,0,1000,0.4243,1,2,0.295953,0.29623,0.020298,0.0202832,-0.0203951,-0.0204057,0.0910268,-0.00679148,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923504,0.00923504,3.90747E-07,7.72213E-08,0.00426967,0.0041428,8.94598E-10,0,4.3628E-06,0,0.295953,0.295953,0.393303,3.97287
A,0,1000,0.4243,1,3,0.295627,0.296557,0.020316,0.020264,-0.0203881,-0.0204149,0.0909236,-0.00679141,0.0895157,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.0642511,0.0208067,0.0204156,0.00923455,0.00923598,3.91059E-07,7.71216E-08,0.00426987,0.00414282,0,0,0,0,0.295627,0.295627,0.408801,3.97287
F1,0,1000,0.4243,1,3,0.295948,0.296227,0.0203163,0.0202648,-0.0203874,-0.0204135,0.0910267,-0.00679125,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923499,0.0092351,3.90753E-07,7.72247E-08,0.00426967,0.0041428,4.37399E-08,0,3.05063E-05,0,0.295948,0.295948,0.393302,3.97287
F2,0,1000,0.4243,1,3,0.295292,0.295643,0.0239429,0.0166803,-0.0167873,-0.0240559,0.0910165,-0.00673896,0.0894118,0.0117668,0.00156296,0.00176151,0.0102713,0.0102707,0.0641812,0.0208418,0.02045,0.00939055,0.00939391,3.99347E-07,7.92409E-08,0.00426992,0.0041428,0.00126034,0,0.0051784,0,0.295252,0.295254,0.393288,3.97287
B,0,1000,0.4243,1,3,0.295953,0.29623,0.020298,0.0202832,-0.0203951,-0.0204057,0.0910268,-0.00679148,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923504,0.00923504,3.90747E-07,7.72213E-08,0.00426967,0.0041428,8.94598E-10,0,4.3628E-06,0,0.295953,0.295953,0.393303,3.97287
A,0,1000,0.4243,1,4,0.295627,0.296557,0.020316,0.020264,-0.0203881,-0.0204149,0.0909236,-0.00679141,0.0895157,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.0642511,0.0208067,0.0204156,0.00923455,0.00923598,3.91059E-07,7.71216E-08,0.00426987,0.00414282,0,0,0,0,0.295627,0.295627,0.408801,3.97287
F1,0,1000,0.4243,1,4,0.295948,0.296227,0.0203163,0.0202648,-0.0203874,-0.0204135,0.0910267,-0.00679125,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923499,0.0092351,3.90753E-07,7.72247E-08,0.00426967,0.0041428,4.37399E-08,0,3.05063E-05,0,0.295948,0.295948,0.393302,3.97287
F2,0,1000,0.4243,1,4,0.295953,0.29623,0.0202996,0.0202816,-0.0203967,-0.0204041,0.0910268,-0.00679146,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923504,0.00923504,3.90747E-07,7.72215E-08,0.00426967,0.0041428,2.06888E-09,0,6.63466E-06,0,0.295953,0.295953,0.393303,3.97287
B,0,1000,0.4243,1,4,0.295292,0.295643,0.0239429,0.0166803,-0.0167873,-0.0240559,0.0910165,-0.00673896,0.0894118,0.0117668,0.00156296,0.00176151,0.0102713,0.0102707,0.0641812,0.0208418,0.02045,0.00939055,0.00939391,3.99347E-07,7.92409E-08,0.00426992,0.0041428,0.00126034,0,0.0051784,0,0.295252,0.295254,0.393288,3.97287
A,0,1000,0.4243,1,5,0.295627,0.296557,0.020316,0.020264,-0.0203881,-0.0204149,0.0909237,-0.00679141,0.0895157,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.0642511,0.0208067,0.0204156,0.00923455,0.00923598,3.91059E-07,7.71216E-08,0.00426987,0.00414282,0,0,0,0,0.295627,0.295627,0.408801,3.97279
F1,0,1000,0.4243,1,5,0.295345,0.29568,0.0234803,0.0171325,-0.0172419,-0.0235909,0.0910175,-0.00674558,0.0894118,0.0117668,0.00156296,0.0017615,0.0102713,0.0102707,0.0641812,0.0208418,0.02045,0.00935377,0.00935628,3.97532E-07,7.8839E-08,0.00426987,0.0041428,0.00096253,0,0.00452541,0,0.295315,0.295315,0.393271,3.97279
F2,0,1000,0.4243,1,5,0.295953,0.29623,0.0202996,0.0202816,-0.0203967,-0.0204041,0.0910268,-0.00679146,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923504,0.00923504,3.90747E-07,7.72215E-08,0.00426967,0.0041428,2.06893E-09,0,6.63474E-06,0,0.295953,0.295953,0.393304,3.97279
B,0,1000,0.4243,1,5,0.295953,0.29623,0.020298,0.0202832,-0.0203951,-0.0204057,0.0910268,-0.00679148,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923504,0.00923504,3.90747E-07,7.72213E-08,0.00426967,0.0041428,8.9462E-10,0,4.36285E-06,0,0.295953,0.295953,0.393304,3.97279
A,0,1000,0.4243,1,6,0.295626,0.296557,0.020316,0.020264,-0.0203881,-0.0204149,0.0909237,-0.00679141,0.0895157,0.0117675,0.00156296,0.00176153,0.0102714,0.0102707,0.0642511,0.0208067,0.0204155,0.00923455,0.00923598,3.9106E-07,7.7121E-08,0.00426988,0.00414282,0,0,0,0,0.295626,0.295626,0.408802,3.97259
F1,0,1000,0.4243,1,6,0.295661,0.295943,0.0216911,0.0188954,-0.0190129,-0.0217939,0.0910225,-0.00677157,0.0894121,0.0117671,0.00156296,0.0017615,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.0092582,0.00925807,3.92448E-07,7.76616E-08,0.00426974,0.0041428,0.000185852,0,0.00198854,0,0.295648,0.295662,0.393262,3.97259
F2,0,1000,0.4243,1,6,0.295952,0.29623,0.0202996,0.0202816,-0.0203967,-0.0204041,0.0910268,-0.00679146,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923504,0.00923504,3.90748E-07,7.7221E-08,0.00426968,0.0041428,2.06653E-09,0,6.63089E-06,0,0.295952,0.295952,0.393307,3.97259
B,0,1000,0.4243,1,6,0.295953,0.296231,0.020298,0.0202832,-0.0203951,-0.0204057,0.0910268,-0.00679148,0.0894121,0.0117673,0.00156296,0.00176149,0.0102714,0.0102707,0.0641812,0.0208418,0.02045,0.00923504,0.00923504,3.90748E-07,7.72207E-08,0.00426968,0.0041428,8.93584E-10,0,4.36032E-06,0,0.295952,0.295953,0.393307,3.97259
A,0,1000,1.4142,1,0,0.295553,0.29651,0.0203741,0.0202008,-0.0203544,-0.0204434,0.0909129,-0.00677792,0.0895167,0.0117671,0.00156296,0.00176152,0.0102714,0.0102707,0.0642517,0.0208062,0.0204153,0.00923362,0.00923499,3.91932E-07,7.75979E-08,0.00426984,0.00414282,0,0,0,0,0.295552,0.295553,1.3986,3.9724
F1,0,1000,1.4142,1,0,0.295873,0.296183,0.0203736,0.0202021,-0.0203545,-0.0204415,0.0910159,-0.00677778,0.0894131,0.0117669,0.00156296,0.00176148,0.0102714,0.0102707,0.0641819,0.0208414,0.0204498,0.00923392,0.00923424,3.91616E-07,7.7703E-08,0.00426964,0.0041428,4.85359E-07,0,0.000101621,0,0.295871,0.295873,1.383,3.9724
F2,0,1000,1.4142,1,0,0.295915,0.29622,0.0203181,0.0202581,-0.0203854,-0.0204103,0.0910165,-0.00677846,0.0894131,0.0117669,0.00156296,0.00176148,0.0102714,0.0102707,0.0641819,0.0208414,0.0204498,0.00923404,0.00923404,3.91536E-07,7.76713E-08,0.00426964,0.0041428,2.29573E-08,0,2.2101E-05,0,0.295914,0.295915,1.383,3.9724
B,0,1000,1.4142,1,0,0.295919,0.296224,0.0203128,0.0202634,-0.0203801,-0.0204156,0.0910165,-0.00677853,0.0894131,0.0117669,0.00156296,0.00176148,0.0102714,0.0102707,0.0641819,0.0208414,0.0204498,0.00923404,0.00923404,3.91528E-07,7.76685E-08,0.00426964,0.0041428,9.9269E-09,0,1.45331E-05,0,0.295918,0.295919,1.383,3.9724
A,0,1000,1.4142,1,1,0.295553,0.29651,0.0203741,0.0202008,-0.0203544,-0.0204434,0.0909129,-0.00677792,0.0895167,0.0117671,0.00156296,0.00176152,0.0102714,0.0102707,0.0642517,0.0208062,0.0204153,0.00923362,0.00923499,3.91932E-07,7.75979E-08,0.00426984,0.00414282,0,0,0,0,0.295552,0.295553,1.3986,3.98432
F1,0,1000,1.4142,1,1,0.289207,0.289518,0.0326678,0.00846096,-0.00856399,-0.0327897,0.0909039,-0.00660483,0.0894138,0.0117611,0.00156296,0.00176172,0.010271,0.0102707,0.0641819,0.0208413,0.0204499,0.0110018,0.010987,4.8937E-07,1.00313E-07,0.00427304,0.0041428,0.0139965,0,0.0172568,0,0.288953,0.289198,1.38296,3.98432
F2,0,1000,1.4142,1,1,0.289207,0.289518,0.0326678,0.00846096,-0.00856399,-0.0327897,0.0909039,-0.00660483,0.0894138,0.0117611,0.00156296,0.00176172,0.010271,0.0102707,0.0641819,0.0208413,0.0204499,0.0110018,0.010987,4.8937E-07,1.00313E-07,0.00427304,0.0041428,0.0139965,0,0.0172568,0,0.288953,0.289198,1.38296,3.98432
B,0,1000,1.4142,1,1,0.289207,0.289518,0.0326678,0.00846096,-0.00856399,-0.0327897,0.0909039,-0.00660483,0.0894138,0.0117611,0.00156296,0.00176172,0.010271,0.0102707,0.0641819,0.0208413,0.0204499,0.0110018,0.010987,4.8937E-07,1.00313E-07,0.00427304,0.0041428,0.0139965,0,0.0172568,0,0.288953,0.289198,1.38296,3.98432
A,0,1000,1.4142,1,2,0.295553,0.29651,0.0203741,0.0202008,-0.0203544,-0.0204434,0.0909128,-0.00677792,0.0895165,0.0117671,0.00156297,0.00176152,0.0102714,0.0102708,0.0642516,0.0208063,0.0204154,0.00923362,0.00923499,3.91929E-07,7.76001E-08,0.00426983,0.00414282,0,0,0,0,0.295553,0.295553,1.39859,3.97637
F1,0,1000,1.4142,1,2,0.289088,0.289622,0.0326674,0.0084614,-0.00856435,-0.0327894,0.0909035,-0.00660482,0.0894124,0.0117611,0.00156296,0.00176169,0.010271,0.0102708,0.0641818,0.0208412,0.02045,0.0109952,0.0109948,4.89091E-07,1.00391E-07,0.00427288,0.0041428,0.014001,0,0.0172596,0,0.288946,0.288961,1.38294,3.97637
F2,0,1000,1.4142,1,2,0.295916,0.29622,0.0203181,0.0202581,-0.0203854,-0.0204103,0.0910165,-0.00677846,0.089413,0.0117669,0.00156296,0.00176148,0.0102714,0.0102707,0.0641818,0.0208414,0.0204499,0.00923403,0.00923404,3.91533E-07,7.76735E-08,0.00426962,0.0041428,2.29823E-08,0,2.2113E-05,0,0.295916,0.295916,1.38298,3.97637
B,0,1000,1.4142,1,2,0.29592,0.296224,0.0203128,0.0202634,-0.0203801,-0.0204156,0.0910165,-0.00677853,0.089413,0.0117669,0.00156296,0.00176148,0.0102714,0.0102707,0.0641818,0.0208414,0.0204499,0.00923404,0.00923404,3.91525E-07,7.76706E-08,0.00426962,0.0041428,9.93772E-09,0,1.4541E-05,0,0.29592,0.29592,1.38298,3.97637
A,0,1000,1.4142,1,3,0.295553,0.29651,0.0203741,0.0202008,-0.0203544,-0.0204434,0.0909128,-0.00677792,0.0895165,0.0117671,0.00156297,0.00176152,0.0102714,0.0102708,0.0642516,0.0208063,0.0204154,0.00923362,0.00923499,3.91929E-07,7.76001E-08,0.00426983,0.00414282,0,0,0,0,0.295553,0.295553,1.39859,3.97637
F1,0,1000,1.4142,1,3,0.295873,0.296183,0.0203736,0.0202021,-0.0203545,-0.0204415,0.0910159,-0.00677777,0.0894129,0.0117669,0.00156296,0.00176148,0.0102714,0.0102707,0.0641818,0.0208414,0.0204499,0.00923392,0.00923424,3.91614E-07,7.77052E-08,0.00426962,0.0041428,4.85888E-07,0,0.000101676,0,0.295873,0.295873,1.38298,3.97637
